Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000216,13.689726,[102   7] ; [47 17],[93.87861272 15.12138728] ; [55.12138728  8.87861272],1
d3,1,0.000711,11.459801,[54 55] ; [15 49],[43.47398844 65.52601156] ; [25.52601156 38.47398844],1
a6,1,0.001325,10.30803,[70 39] ; [25 39],[59.85549133 49.14450867] ; [35.14450867 28.85549133],0
r2,1,0.001829,9.713747,[105   3] ; [53 10],[99.78947368  8.21052632] ; [58.21052632  4.78947368],0
v1,1,0.012653,6.21697,[47 59] ; [41 23],[54.87058824 51.12941176] ; [33.12941176 30.87058824],0
s8,1,0.013838,6.058642,[47 62] ; [40 24],[54.8150289 54.1849711] ; [32.1849711 31.8150289],0
a1,1,0.022613,5.198011,[  2 107] ; [ 6 58],[  5.04046243 103.95953757] ; [ 2.95953757 61.04046243],0
v4,1,0.027607,4.85244,[103   4] ; [55  8],[99.44705882  7.55294118] ; [58.55294118  4.44705882],0
b5,1,0.037336,4.335041,[72 37] ; [32 32],[65.52601156 43.47398844] ; [38.47398844 25.52601156],0
n3,1,0.056646,3.632969,[16  3] ; [10  8],[13.35135135  5.64864865] ; [12.64864865  5.35135135],0
p2,1,0.057496,3.608169,[90 18] ; [44 18],[85.12941176 22.87058824] ; [48.87058824 13.12941176],0
s7,1,0.057732,3.601376,[59 44] ; [46 18],[64.76047904 38.23952096] ; [40.23952096 23.76047904],0
v3,1,0.062743,3.463361,[33 73] ; [29 35],[38.65882353 67.34117647] ; [23.34117647 40.65882353],0
r3,1,0.063314,3.448367,[103   4] ; [57  7],[100.11695906   6.88304094] ; [59.88304094  4.11695906],0
p9,1,0.067762,3.33641,[91 15] ; [47 16],[86.55621302 19.44378698] ; [51.44378698 11.55621302],0
b4,1,0.094978,2.787918,[67 42] ; [31 33],[61.74566474 47.25433526] ; [36.25433526 27.74566474],0
a3,1,0.096433,2.763574,[61 48] ; [44 20],[66.15606936 42.84393064] ; [38.84393064 25.15606936],0
r1,1,0.110253,2.550588,[83 25] ; [42 22],[78.48837209 29.51162791] ; [46.51162791 17.48837209],0
p7,1,0.153374,2.038372,[66 38] ; [46 16],[70.1686747 33.8313253] ; [41.8313253 20.1686747],0
b2,1,0.158412,1.989316,[14 37] ; [20 29],[17.34 33.66] ; [16.66 32.34],0
b3,1,0.158412,1.989316,[14 37] ; [20 29],[17.34 33.66] ; [16.66 32.34],0
a8,1,0.186854,1.742249,[22 81] ; [ 8 53],[18.84146341 84.15853659] ; [11.15853659 49.84146341],0
n1,1,0.194319,1.684564,[ 6 13] ; [9 8],[ 7.91666667 11.08333333] ; [7.08333333 9.91666667],0
p1,1,0.206197,1.59793,[11 96] ; [ 3 60],[ 8.81176471 98.18823529] ; [ 5.18823529 57.81176471],0
n6,1,0.244006,1.357301,[89 18] ; [47 15],[86.10650888 20.89349112] ; [49.89349112 12.10650888],0
v2,1,0.245784,1.347109,[47 58] ; [33 28],[50.60240964 54.39759036] ; [29.39759036 31.60240964],0
p3,1,0.26004,1.268545,[44 65] ; [31 32],[47.52906977 61.47093023] ; [27.47093023 35.52906977],0
p11,1,0.274407,1.194583,[75 34] ; [49 15],[78.12716763 30.87283237] ; [45.87283237 18.12716763],0
p12,1,0.351527,0.867936,[  5 104] ; [ 5 57],[  6.37426901 102.62573099] ; [ 3.62573099 58.37426901],0
s4,1,0.385419,0.753345,[28 79] ; [13 51],[25.65497076 81.34502924] ; [15.34502924 48.65497076],0
u3,1,0.411577,0.67424,[28 18] ; [10 10],[26.48484848 19.51515152] ; [11.51515152  8.48484848],0
d4,1,0.422496,0.643363,[73 36] ; [39 25],[70.56647399 38.43352601] ; [41.43352601 22.56647399],0
p6,1,0.455394,0.557191,[41 67] ; [20 42],[38.75294118 69.24705882] ; [22.24705882 39.75294118],0
a2,1,0.490106,0.476294,[  8 101] ; [ 3 61],[  6.93063584 102.06936416] ; [ 4.06936416 59.93063584],0
