Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,0.000628,11.691321,[ 5 90] ; [2 2],[ 6.71717172 88.28282828] ; [0.28282828 3.71717172],1
s5,1,0.000945,10.933181,[13 84] ; [3 1],[15.36633663 81.63366337] ; [0.63366337 3.36633663],1
p3,1,0.118309,2.439572,[18 80] ; [2 2],[19.21568627 78.78431373] ; [0.78431373 3.21568627],0
s7,1,0.1274,2.323901,[25 69] ; [2 1],[26.16494845 67.83505155] ; [0.83505155 2.16494845],0
p2,1,0.134786,2.236496,[61 37] ; [1 3],[59.56862745 38.43137255] ; [2.43137255 1.56862745],0
v3,1,0.219775,1.505842,[22 73] ; [2 2],[23.03030303 71.96969697] ; [0.96969697 3.03030303],0
r3,1,0.238593,1.388889,[73 23] ; [2 2],[72. 24.] ; [3. 1.],0
p8,1,0.242976,1.363242,[33 64] ; [2 1],[33.95 63.05] ; [1.05 1.95],0
p1,1,0.297092,1.087201,[ 9 89] ; [1 3],[ 9.60784314 88.39215686] ; [0.39215686 3.60784314],0
b4,1,0.307632,1.040816,[48 50] ; [3 1],[49. 49.] ; [2. 2.],0
a6,1,0.34675,0.885315,[50 48] ; [3 1],[50.92156863 47.07843137] ; [2.07843137 1.92156863],0
s2,1,0.421695,0.645586,[30 67] ; [2 2],[30.73267327 66.26732673] ; [1.26732673 2.73267327],0
r1,1,0.434616,0.610457,[53 43] ; [3 1],[53.76 42.24] ; [2.24 1.76],0
p7,1,0.496282,0.462878,[40 55] ; [1 3],[39.34343434 55.65656566] ; [1.65656566 2.34343434],0
v1,1,0.562752,0.334962,[34 61] ; [2 2],[34.54545455 60.45454545] ; [1.45454545 2.54545455],0
d5,1,0.594861,0.282817,[37 60] ; [1 3],[36.4950495 60.5049505] ; [1.5049505 2.4950495],0
p6,1,0.61629,0.251116,[15 81] ; [1 3],[15.36 80.64] ; [0.64 3.36],0
r2,1,0.655924,0.198513,[81 16] ; [3 1],[80.67326733 16.32673267] ; [3.32673267 0.67326733],0
s8,1,0.692549,0.156339,[23 75] ; [1 2],[23.28712871 74.71287129] ; [0.71287129 2.28712871],0
p10,1,0.708758,0.13952,[57 39] ; [2 2],[56.64 39.36] ; [2.36 1.64],0
d2,1,0.738398,0.11154,[18 80] ; [1 3],[18.25490196 79.74509804] ; [0.74509804 3.25490196],0
n4,1,0.738467,0.111478,[65 32] ; [3 1],[65.30693069 31.69306931] ; [2.69306931 1.30693069],0
a3,1,0.740749,0.109469,[40 56] ; [2 2],[40.32 55.68] ; [1.68 2.32],0
a4,1,0.746583,0.104424,[18 79] ; [1 3],[18.24752475 78.75247525] ; [0.75247525 3.24752475],0
s3,1,0.772923,0.083263,[40 56] ; [1 2],[39.75757576 56.24242424] ; [1.24242424 1.75757576],0
u2,1,0.807903,0.059113,[24 34] ; [1 1],[24.16666667 33.83333333] ; [0.83333333 1.16666667],0
p9,1,0.979641,0.000651,[64 31] ; [2 1],[63.97959184 31.02040816] ; [2.02040816 0.97959184],0
a7,1,1.0,0.0,[48 48] ; [2 2],[48. 48.] ; [2. 2.],0
