Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.8e-05,18.351533,[39 13] ; [59 87],[25.73737374 26.26262626] ; [72.26262626 73.73737374],1
v1,1,4.5e-05,16.639502,[33 20] ; [ 44 101],[20.61111111 32.38888889] ; [56.38888889 88.61111111],1
a5,1,0.036541,4.37169,[39 14] ; [86 64],[32.63546798 20.36453202] ; [92.36453202 57.63546798],0
p12,1,0.037463,4.329236,[ 5 47] ; [  4 145],[ 2.32835821 49.67164179] ; [  6.67164179 142.32835821],0
p8,1,0.042932,4.09809,[28 23] ; [58 92],[21.82089552 29.17910448] ; [64.17910448 85.82089552],0
d3,1,0.051417,3.794652,[41 12] ; [94 56],[35.24630542 17.75369458] ; [99.75369458 50.24630542],0
p5,1,0.071925,3.238528,[ 5 47] ; [  5 145],[ 2.57425743 49.42574257] ; [  7.42574257 142.57425743],0
s8,1,0.073028,3.213622,[20 33] ; [ 37 112],[14.95544554 38.04455446] ; [ 42.04455446 106.95544554],0
r4,1,0.081783,3.029116,[46  7] ; [113  37],[41.51231527 11.48768473] ; [117.48768473  32.51231527],0
a6,1,0.092996,2.821738,[37 16] ; [85 65],[31.85221675 21.14778325] ; [90.14778325 59.85221675],0
b4,1,0.092996,2.821738,[37 16] ; [85 65],[31.85221675 21.14778325] ; [90.14778325 59.85221675],0
u2,1,0.10474,2.631838,[14  5] ; [31 28],[10.96153846  8.03846154] ; [34.03846154 24.96153846],0
s6,1,0.11384,2.500087,[30 22] ; [67 82],[25.09452736 26.90547264] ; [71.90547264 77.09452736],0
d1,1,0.134779,2.236576,[30 23] ; [67 83],[25.32512315 27.67487685] ; [71.67487685 78.32512315],0
r2,1,0.135095,2.232953,[49  4] ; [123  23],[45.80904523  7.19095477] ; [126.19095477  19.80904523],0
a7,1,0.162683,1.949112,[43 10] ; [107  43],[39.16256158 13.83743842] ; [110.83743842  39.16256158],0
d4,1,0.19679,1.66604,[46  7] ; [118  32],[42.81773399 10.18226601] ; [121.18226601  28.81773399],0
p1,1,0.197549,1.660402,[ 5 47] ; [  7 142],[ 3.10447761 48.89552239] ; [  8.89552239 140.10447761],0
s2,1,0.198595,1.652674,[21 32] ; [ 45 105],[17.23152709 35.76847291] ; [ 48.76847291 101.23152709],0
s7,1,0.210265,1.569602,[17 34] ; [ 35 109],[13.6 37.4] ; [ 38.4 105.6],0
b5,1,0.269027,1.221703,[36 17] ; [89 61],[32.63546798 20.36453202] ; [92.36453202 57.63546798],0
b1,1,0.30434,1.055081,[18 35] ; [63 87],[21.14778325 31.85221675] ; [59.85221675 90.14778325],0
v4,1,0.305617,1.049523,[49  4] ; [130  19],[46.96534653  6.03465347] ; [132.03465347  16.96534653],0
n3,1,0.331971,0.941194,[8 5] ; [39 13],[9.4 3.6] ; [37.6 14.4],0
r1,1,0.337096,0.921444,[40 13] ; [102  47],[37.25742574 15.74257426] ; [104.74257426  44.25742574],0
d5,1,0.396229,0.71974,[41 12] ; [107  43],[38.64039409 14.35960591] ; [109.35960591  40.64039409],0
a1,1,0.425883,0.634024,[ 4 49] ; [  7 143],[ 2.87192118 50.12807882] ; [  8.12807882 141.87192118],0
n2,1,0.44068,0.594512,[7 6] ; [34 18],[8.2 4.8] ; [32.8 19.2],0
