Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.002957,8.834112,[451  14] ; [2 1],[450.09615385  14.90384615] ; [2.90384615 0.09615385],0
u1,1,0.025075,5.018684,[ 81 388] ; [2 1],[ 82.47245763 386.52754237] ; [0.52754237 2.47245763],0
n1,1,0.167075,1.908995,[30 72] ; [2 1],[31.08571429 70.91428571] ; [0.91428571 2.08571429],0
n6,1,0.219188,1.509677,[414  51] ; [2 1],[413.33333333  51.66666667] ; [2.66666667 0.33333333],0
a4,1,0.364048,0.823882,[191 277] ; [2 1],[191.77070064 276.22929936] ; [1.22929936 1.77070064],0
s3,1,0.462157,0.540665,[252 210] ; [1 2],[251.36774194 210.63225806] ; [1.63225806 1.36774194],0
s2,1,0.527732,0.398758,[240 225] ; [1 2],[239.45512821 225.54487179] ; [1.54487179 1.45512821],0
s7,1,0.591108,0.288618,[220 230] ; [1 2],[219.53642384 230.46357616] ; [1.46357616 1.53642384],0
a2,1,0.62066,0.244941,[101 368] ; [1 2],[101.35169492 367.64830508] ; [0.64830508 2.35169492],0
n2,1,0.661075,0.19222,[79 23] ; [2 1],[78.68571429 23.31428571] ; [2.31428571 0.68571429],0
a7,1,0.694847,0.153888,[358 111] ; [2 1],[357.71186441 111.28813559] ; [2.28813559 0.71186441],0
v1,1,0.69699,0.151622,[254 204] ; [2 1],[254.3340564 203.6659436] ; [1.6659436 1.3340564],0
s8,1,0.705399,0.142916,[206 260] ; [1 2],[205.67590618 260.32409382] ; [1.32409382 1.67590618],0
n5,1,0.716389,0.131979,[352 113] ; [2 1],[351.73076923 113.26923077] ; [2.26923077 0.73076923],0
v3,1,0.78387,0.075229,[186 266] ; [1 2],[185.76703297 266.23296703] ; [1.23296703 1.76703297],0
b4,1,0.789414,0.071327,[277 192] ; [2 1],[277.22669492 191.77330508] ; [1.77330508 1.22669492],0
a5,1,0.808085,0.058999,[342 127] ; [2 1],[341.81355932 127.18644068] ; [2.18644068 0.81355932],0
n3,1,0.822294,0.050443,[74 28] ; [2 1],[73.82857143 28.17142857] ; [2.17142857 0.82857143],0
v2,1,0.822509,0.050319,[272 179] ; [2 1],[272.18942731 178.81057269] ; [1.81057269 1.18942731],0
d3,1,0.823672,0.049651,[339 129] ; [2 1],[338.82802548 129.17197452] ; [2.17197452 0.82802548],0
b3,1,0.834378,0.043719,[106 164] ; [1 2],[105.82417582 164.17582418] ; [1.17582418 1.82417582],0
b2,1,0.834378,0.043719,[106 164] ; [1 2],[105.82417582 164.17582418] ; [1.17582418 1.82417582],0
a6,1,0.884242,0.021198,[330 138] ; [2 1],[329.88535032 138.11464968] ; [2.11464968 0.88535032],0
s6,1,0.911394,0.012383,[321 140] ; [2 1],[320.91163793 140.08836207] ; [2.08836207 0.91163793],0
a3,1,0.949398,0.004027,[320 148] ; [2 1],[319.94904459 148.05095541] ; [2.05095541 0.94904459],0
