Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,88.429896,[364  99] ; [ 71 107],[314.20436817 148.79563183] ; [120.79563183  57.20436817],1
d3,1,0.0,78.063238,[359 104] ; [ 73 105],[312.0374415 150.9625585] ; [119.9625585  58.0374415],1
a2,1,0.0,27.889059,[137 329] ; [ 17 161],[111.43478261 354.56521739] ; [ 42.56521739 135.43478261],1
u1,1,0.0,26.55847,[100 366] ; [  8 170],[ 78.14906832 387.85093168] ; [ 29.85093168 148.14906832],1
r4,1,3.4e-05,17.204652,[430  36] ; [144  34],[415.34782609  50.65217391] ; [158.65217391  19.34782609],1
r1,1,8.9e-05,15.362339,[382  80] ; [122  56],[363.825  98.175] ; [140.175  37.825],1
d5,1,0.000242,13.476302,[392  72] ; [127  50],[375.68798752  88.31201248] ; [143.31201248  33.68798752],1
d1,1,0.000491,12.150065,[293 173] ; [85 93],[273.52173913 192.47826087] ; [104.47826087  73.52173913],1
b1,1,0.000789,11.267933,[151 315] ; [83 95],[169.32298137 296.67701863] ; [ 64.67701863 113.32298137],1
r2,1,0.004936,7.902918,[439  20] ; [157  18],[431.48895899  27.51104101] ; [164.51104101  10.48895899],0
b3,1,0.008427,6.94032,[103 175] ; [61 58],[114.84130982 163.15869018] ; [49.15869018 69.84130982],0
b2,1,0.008427,6.94032,[103 175] ; [61 58],[114.84130982 163.15869018] ; [49.15869018 69.84130982],0
v4,1,0.00849,6.927154,[445  16] ; [162  15],[438.60031348  22.39968652] ; [168.39968652   8.60031348],0
u3,1,0.008555,6.913539,[80 50] ; [18 28],[72.38636364 57.61363636] ; [25.61363636 20.38636364],0
p10,1,0.01133,6.412884,[423  39] ; [150  27],[414.28169014  47.71830986] ; [158.71830986  18.28169014],0
v2,1,0.022434,5.211787,[274 171] ; [88 83],[261.50974026 183.49025974] ; [100.49025974  70.50974026],0
r3,1,0.026661,4.912618,[446  17] ; [164  14],[440.60842434  22.39157566] ; [169.39157566   8.60842434],0
