Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,23.261609,[23 70] ; [56 38],[39.28877005 53.71122995] ; [39.71122995 54.28877005],1
v1,1,0.000416,12.458353,[41 53] ; [65 29],[53. 41.] ; [53. 41.],1
d4,1,0.001793,9.749958,[67 28] ; [86 11],[75.703125 19.296875] ; [77.296875 19.703125],0
d5,1,0.004108,8.235298,[66 29] ; [84 13],[74.21875 20.78125] ; [75.78125 21.21875],0
p8,1,0.013763,6.068351,[38 58] ; [54 40],[46.48421053 49.51578947] ; [45.51578947 48.48421053],0
r3,1,0.026379,4.930979,[85 11] ; [93  3],[89.  7.] ; [89.  7.],0
s1,1,0.02967,4.728288,[ 9 86] ; [ 2 93],[ 5.5 89.5] ; [ 5.5 89.5],0
p7,1,0.036767,4.361168,[54 40] ; [67 26],[60.82352941 33.17647059] ; [60.17647059 32.82352941],0
b1,1,0.036853,4.357179,[52 44] ; [38 59],[44.76683938 51.23316062] ; [45.23316062 51.76683938],0
n3,1,0.038603,4.278274,[15 13] ; [15  3],[18.26086957  9.73913043] ; [11.73913043  6.26086957],0
p10,1,0.046973,3.946342,[67 28] ; [77 16],[72.76595745 22.23404255] ; [71.23404255 21.76595745],0
p3,1,0.070394,3.273802,[41 54] ; [54 42],[47.2513089 47.7486911] ; [47.7486911 48.2513089],0
r4,1,0.071821,3.240895,[84 12] ; [92  5],[87.54404145  8.45595855] ; [88.45595855  8.54404145],0
p9,1,0.073391,3.205498,[69 27] ; [77 16],[74.15873016 21.84126984] ; [71.84126984 21.15873016],0
p1,1,0.073638,3.2,[ 9 87] ; [ 3 93],[ 6. 90.] ; [ 6. 90.],0
r2,1,0.07979,3.069175,[87  9] ; [91  3],[89.93684211  6.06315789] ; [88.06315789  5.93684211],0
a3,1,0.091884,2.841049,[66 30] ; [77 20],[71.12953368 24.87046632] ; [71.87046632 25.12953368],0
u4,1,0.099741,2.709686,[ 1 95] ; [ 5 92],[ 2.98445596 93.01554404] ; [ 3.01554404 93.98445596],0
s4,1,0.129776,2.295186,[22 73] ; [14 82],[17.90575916 77.09424084] ; [18.09424084 77.90575916],0
a5,1,0.134702,2.237466,[65 31] ; [75 22],[69.6373057 26.3626943] ; [70.3626943 26.6373057],0
n4,1,0.157373,1.999291,[73 23] ; [80 15],[76.90052356 19.09947644] ; [76.09947644 18.90052356],0
n1,1,0.219149,1.509932,[10 21] ; [9 9],[12.02040816 18.97959184] ; [ 6.97959184 11.02040816],0
b2,1,0.241864,1.369699,[26 36] ; [34 31],[29.29133858 32.70866142] ; [30.70866142 34.29133858],0
b3,1,0.241864,1.369699,[26 36] ; [34 31],[29.29133858 32.70866142] ; [30.70866142 34.29133858],0
s2,1,0.246114,1.34523,[42 53] ; [51 46],[46.015625 48.984375] ; [46.984375 50.015625],0
d1,1,0.280699,1.163701,[45 51] ; [53 44],[48.74611399 47.25388601] ; [49.25388601 47.74611399],0
b5,1,0.281084,1.161842,[47 49] ; [40 57],[43.2746114 52.7253886] ; [43.7253886 53.2746114],0
s6,1,0.281825,1.158268,[63 28] ; [58 36],[59.51891892 31.48108108] ; [61.48108108 32.51891892],0
s3,1,0.306342,1.04638,[59 37] ; [52 44],[55.5 40.5] ; [55.5 40.5],0
d2,1,0.348756,0.877979,[44 52] ; [51 46],[47.25388601 48.74611399] ; [47.74611399 49.25388601],0
d3,1,0.350798,0.87057,[48 48] ; [42 55],[44.76683938 51.23316062] ; [45.23316062 51.76683938],0
s5,1,0.370746,0.801161,[36 56] ; [42 50],[39. 53.] ; [39. 53.],0
v4,1,0.395984,0.720488,[86  9] ; [91  6],[87.578125  7.421875] ; [89.421875  7.578125],0
u3,1,0.418551,0.65438,[17 13] ; [ 9 11],[15.6 14.4] ; [10.4  9.6],0
s8,1,0.425348,0.635492,[44 51] ; [50 46],[46.7539267 48.2460733] ; [47.2460733 48.7539267],0
n2,1,0.453453,0.562007,[21 10] ; [14  4],[22.14285714  8.85714286] ; [12.85714286  5.14285714],0
a4,1,0.477359,0.504891,[45 50] ; [41 56],[42.55208333 52.44791667] ; [43.44791667 53.55208333],0
n6,1,0.480384,0.497991,[75 20] ; [78 16],[76.9047619 18.0952381] ; [76.0952381 17.9047619],0
p2,1,0.491507,0.473225,[71 24] ; [75 20],[73. 22.] ; [73. 22.],0
u1,1,0.538737,0.377886,[ 7 89] ; [ 5 92],[ 5.96891192 90.03108808] ; [ 6.03108808 90.96891192],0
a8,1,0.577247,0.310706,[10 80] ; [13 81],[11.25 78.75] ; [11.75 82.25],0
p4,1,0.607792,0.263403,[48 47] ; [51 43],[49.76190476 45.23809524] ; [49.23809524 44.76190476],0
p5,1,0.642161,0.215927,[13 81] ; [11 84],[11.93650794 82.06349206] ; [12.06349206 82.93650794],0
b4,1,0.713905,0.134407,[53 43] ; [51 46],[51.73056995 44.26943005] ; [52.26943005 44.73056995],0
s7,1,0.715272,0.133068,[48 43] ; [51 41],[49.2295082 41.7704918] ; [49.7704918 42.2295082],0
a6,1,0.724348,0.124365,[40 56] ; [38 59],[38.79792746 57.20207254] ; [39.20207254 57.79792746],0
p6,1,0.727596,0.12133,[35 60] ; [32 61],[33.85638298 61.14361702] ; [33.14361702 59.85638298],0
n5,1,0.765886,0.088661,[71 24] ; [72 22],[71.87830688 23.12169312] ; [71.12169312 22.87830688],0
a1,1,0.769677,0.08573,[ 5 91] ; [ 6 91],[ 5.47150259 90.52849741] ; [ 5.52849741 91.47150259],0
a2,1,0.782276,0.076372,[ 9 87] ; [ 8 89],[ 8.45595855 87.54404145] ; [ 8.54404145 88.45595855],0
u2,1,0.961749,0.0023,[16 14] ; [10  9],[15.91836735 14.08163265] ; [10.08163265  8.91836735],0
p12,1,0.969616,0.001451,[ 6 89] ; [ 6 87],[ 6.06382979 88.93617021] ; [ 5.93617021 87.06382979],0
p11,1,0.969717,0.001441,[75 21] ; [76 21],[75.10880829 20.89119171] ; [75.89119171 21.10880829],0
