Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,68.858642,[112 205] ; [109  32],[152.9628821 164.0371179] ; [68.0371179 72.9628821],1
v1,1,0.000123,14.753285,[117 209] ; [78 64],[135.83333333 190.16666667] ; [59.16666667 82.83333333],1
s8,1,0.000492,12.146782,[ 92 240] ; [63 80],[108.33684211 223.66315789] ; [46.66315789 96.33684211],1
d1,1,0.003247,8.663256,[150 183] ; [86 58],[164.75471698 168.24528302] ; [71.24528302 72.75471698],0
d2,1,0.004046,8.263081,[128 204] ; [75 67],[142.18565401 189.81434599] ; [60.81434599 81.18565401],0
s7,1,0.011808,6.339538,[109 212] ; [64 74],[120.9869281 200.0130719] ; [52.0130719 85.9869281],0
n4,1,0.012841,6.190951,[212 120] ; [108  35],[223.66315789 108.33684211] ; [96.33684211 46.66315789],0
b4,1,0.020139,5.399824,[184 149] ; [96 48],[195.47169811 137.52830189] ; [84.52830189 59.47169811],0
d3,1,0.022475,5.208646,[203 128] ; [104  40],[213.93052632 117.06947368] ; [93.06947368 50.93052632],0
r2,1,0.023531,5.128896,[284  41] ; [134   8],[290.8993576  34.1006424] ; [127.1006424  14.8993576],0
a3,1,0.024817,5.036644,[203 127] ; [104  40],[213.73417722 116.26582278] ; [93.26582278 50.73417722],0
b1,1,0.029428,4.742383,[127 206] ; [ 40 104],[116.58490566 216.41509434] ; [50.41509434 93.58490566],0
r1,1,0.035325,4.429376,[233  98] ; [114  29],[242.31434599  88.68565401] ; [104.68565401  38.31434599],0
n5,1,0.039564,4.236504,[212 118] ; [105  37],[221.63135593 108.36864407] ; [95.36864407 46.63135593],0
r4,1,0.04012,4.212796,[257  76] ; [123  21],[265.28301887  67.71698113] ; [114.71698113  29.28301887],0
d5,1,0.041769,4.144527,[238  94] ; [116  28],[246.90756303  85.09243697] ; [107.09243697  36.90756303],0
d4,1,0.042176,4.128117,[248  84] ; [119  24],[256.51368421  75.48631579] ; [110.48631579  32.51368421],0
n6,1,0.0449,4.022396,[245  86] ; [118  25],[253.48734177  77.51265823] ; [109.51265823  33.48734177],0
a2,1,0.055938,3.653902,[ 54 279] ; [ 34 110],[ 61.43396226 271.56603774] ; [ 26.56603774 117.43396226],0
a1,1,0.058943,3.566892,[ 12 321] ; [ 11 133],[ 16.05660377 316.94339623] ; [  6.94339623 137.05660377],0
s4,1,0.061005,3.509859,[ 62 266] ; [ 17 126],[ 55.014862 272.985138] ; [ 23.985138 119.014862],0
s2,1,0.07069,3.266919,[132 198] ; [70 73],[140.93023256 189.06976744] ; [61.06976744 81.93023256],0
a4,1,0.071678,3.244176,[120 210] ; [65 79],[128.79746835 201.20253165] ; [56.20253165 87.79746835],0
s6,1,0.075449,3.160313,[179 150] ; [88 51],[187.69871795 141.30128205] ; [79.30128205 59.69871795],0
