Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.00681,7.322461,[24 56] ; [11  6],[28.86597938 51.13402062] ; [ 6.13402062 10.86597938],0
b4,1,0.032175,4.589155,[52 30] ; [ 6 11],[48.04040404 33.95959596] ; [9.95959596 7.04040404],0
r1,1,0.035514,4.420288,[31 50] ; [ 2 15],[27.2755102 53.7244898] ; [ 5.7244898 11.2755102],0
p6,1,0.057687,3.602672,[12 66] ; [ 6 11],[14.77894737 63.22105263] ; [ 3.22105263 13.77894737],0
u2,1,0.086679,2.934993,[ 8 15] ; [5 2],[ 9.96666667 13.03333333] ; [3.03333333 3.96666667],0
p7,1,0.10488,2.629725,[27 51] ; [9 7],[29.87234043 48.12765957] ; [6.12765957 9.87234043],0
v3,1,0.114673,2.488612,[25 57] ; [ 2 15],[22.36363636 59.63636364] ; [ 4.63636364 12.36363636],0
v1,1,0.139862,2.179479,[33 44] ; [ 4 13],[30.30851064 46.69148936] ; [ 6.69148936 10.30851064],0
s7,1,0.150154,2.070684,[28 48] ; [9 7],[30.56521739 45.43478261] ; [6.43478261 9.56521739],0
p8,1,0.150497,2.067205,[21 60] ; [7 9],[23.3814433 57.6185567] ; [ 4.6185567 11.3814433],0
a5,1,0.175064,1.83904,[53 29] ; [8 9],[50.52525253 31.47474747] ; [10.47474747  6.52525253],0
s3,1,0.195005,1.679393,[32 45] ; [10  7],[34.40425532 42.59574468] ; [7.59574468 9.40425532],0
d3,1,0.226778,1.460955,[50 32] ; [13  4],[52.18181818 29.81818182] ; [10.81818182  6.18181818],0
a2,1,0.241524,1.371675,[14 68] ; [ 1 16],[12.42424242 69.57575758] ; [ 2.57575758 14.42424242],0
u3,1,0.255146,1.294904,[ 8 16] ; [4 3],[ 9.29032258 14.70967742] ; [2.70967742 4.29032258],0
p2,1,0.258558,1.27646,[44 35] ; [12  5],[46.08333333 32.91666667] ; [9.91666667 7.08333333],0
a7,1,0.269634,1.218606,[46 36] ; [12  5],[48.04040404 33.95959596] ; [9.95959596 7.04040404],0
n2,1,0.27282,1.202513,[24 13] ; [3 4],[22.70454545 14.29545455] ; [4.29545455 2.70454545],0
v4,1,0.28414,1.14718,[49 29] ; [13  4],[50.90526316 27.09473684] ; [11.09473684  5.90526316],0
n4,1,0.28906,1.123994,[50 32] ; [8 9],[48.04040404 33.95959596] ; [9.95959596 7.04040404],0
s6,1,0.326622,0.962246,[32 48] ; [9 8],[33.81443299 46.18556701] ; [7.18556701 9.81443299],0
a4,1,0.335984,0.925695,[34 47] ; [ 5 12],[32.23469388 48.76530612] ; [ 6.76530612 10.23469388],0
a3,1,0.351992,0.866263,[57 24] ; [10  7],[55.37755102 25.62244898] ; [11.62244898  5.37755102],0
n6,1,0.390033,0.738838,[50 28] ; [9 8],[48.44210526 29.55789474] ; [10.55789474  6.44210526],0
n5,1,0.399728,0.709144,[46 33] ; [8 9],[44.4375 34.5625] ; [9.5625 7.4375],0
p10,1,0.470021,0.521927,[43 35] ; [11  6],[44.33684211 33.66315789] ; [9.66315789 7.33684211],0
b5,1,0.513376,0.42718,[46 36] ; [11  6],[47.21212121 34.78787879] ; [9.78787879 7.21212121],0
p3,1,0.515131,0.42363,[26 53] ; [ 7 10],[27.15625 51.84375] ; [ 5.84375 11.15625],0
s5,1,0.549435,0.358331,[17 63] ; [ 2 12],[16.17021277 63.82978723] ; [ 2.82978723 11.17021277],0
a6,1,0.556334,0.346092,[45 37] ; [8 9],[43.8989899 38.1010101] ; [9.1010101 7.8989899],0
s8,1,0.603702,0.269449,[19 62] ; [ 5 12],[19.83673469 61.16326531] ; [ 4.16326531 12.83673469],0
u1,1,0.613113,0.255667,[ 8 74] ; [ 1 16],[ 7.45454545 74.54545455] ; [ 1.54545455 15.45454545],0
a1,1,0.613113,0.255667,[ 8 74] ; [ 1 16],[ 7.45454545 74.54545455] ; [ 1.54545455 15.45454545],0
r3,1,0.630106,0.231917,[52 28] ; [10  7],[51.13402062 28.86597938] ; [10.86597938  6.13402062],0
n3,1,0.630904,0.230837,[17 19] ; [4 3],[17.58139535 18.41860465] ; [3.41860465 3.58139535],0
p11,1,0.6971,0.151506,[44 38] ; [10  7],[44.72727273 37.27272727] ; [9.27272727 7.72727273],0
