Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,9e-06,19.778927,[12 15] ; [98 18],[20.76923077  6.23076923] ; [89.23076923 26.76923077],1
v4,1,1.9e-05,18.337111,[15 10] ; [107   9],[21.63120567  3.36879433] ; [100.36879433  15.63120567],1
p11,1,0.000249,13.423372,[12 15] ; [92 24],[19.63636364  7.36363636] ; [84.36363636 31.63636364],1
p8,1,0.000264,13.312825,[ 5 21] ; [66 46],[13.37681159 12.62318841] ; [57.62318841 54.37681159],1
r3,1,0.000453,12.301218,[16 11] ; [101  14],[22.24647887  4.75352113] ; [94.75352113 20.24647887],1
r1,1,0.000706,11.473944,[10 17] ; [83 33],[17.55944056  9.44055944] ; [75.44055944 40.55944056],1
p10,1,0.000864,11.098346,[13 13] ; [91 21],[19.5942029  6.4057971] ; [84.4057971 27.5942029],1
r2,1,0.000869,11.086784,[17  9] ; [105  11],[22.33802817  3.66197183] ; [99.66197183 16.33802817],1
s8,1,0.001882,9.660765,[ 2 25] ; [44 70],[ 8.80851064 18.19148936] ; [37.19148936 76.80851064],0
s7,1,0.002712,8.991786,[ 5 21] ; [56 52],[11.8358209 14.1641791] ; [49.1641791 58.8358209],0
s5,1,0.009034,6.816027,[ 2 25] ; [36 75],[ 7.43478261 19.56521739] ; [30.56521739 80.43478261],0
p9,1,0.014654,5.957614,[15 11] ; [90 22],[19.7826087  6.2173913] ; [85.2173913 26.7826087],0
s6,1,0.014742,5.947004,[10 17] ; [71 42],[15.62142857 11.37857143] ; [65.37857143 47.62142857],0
v1,1,0.015586,5.848972,[ 7 20] ; [59 55],[12.63829787 14.36170213] ; [53.36170213 60.63829787],0
a1,1,0.016777,5.719524,[ 3 24] ; [  2 114],[ 0.94405594 26.05594406] ; [  4.05594406 111.94405594],0
p4,1,0.021593,5.278317,[ 7 20] ; [57 56],[12.34285714 14.65714286] ; [51.65714286 61.34285714],0
p6,1,0.026304,4.935929,[ 4 23] ; [42 71],[ 8.87142857 18.12857143] ; [37.12857143 75.87142857],0
p3,1,0.027867,4.836281,[ 5 22] ; [47 67],[ 9.95744681 17.04255319] ; [42.04255319 71.95744681],0
a5,1,0.029963,4.711412,[ 9 18] ; [65 50],[14.07042254 12.92957746] ; [59.92957746 55.07042254],0
b4,1,0.04311,4.091079,[11 16] ; [72 44],[15.67132867 11.32867133] ; [67.32867133 48.67132867],0
