Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,6.6e-05,15.912521,[3 3] ; [ 10 155],[0.45614035 5.54385965] ; [ 12.54385965 152.45614035],1
a1,1,0.000325,12.919285,[1 5] ; [  1 164],[0.07017544 5.92982456] ; [  1.92982456 163.07017544],1
a4,1,0.009868,6.658623,[4 2] ; [ 35 128],[1.38461538 4.61538462] ; [ 37.61538462 125.38461538],0
u1,1,0.018089,5.58752,[1 5] ; [  3 162],[0.14035088 5.85964912] ; [  3.85964912 161.14035088],0
s7,1,0.05173,3.784482,[4 1] ; [57 97],[1.91823899 3.08176101] ; [59.08176101 94.91823899],0
p8,1,0.064526,3.417053,[5 1] ; [72 88],[2.78313253 3.21686747] ; [74.21686747 85.78313253],0
s2,1,0.101936,2.674994,[4 2] ; [ 55 106],[2.11976048 3.88023952] ; [ 56.88023952 104.11976048],0
p1,1,0.129741,2.295599,[2 4] ; [ 20 144],[0.77647059 5.22352941] ; [ 21.22352941 142.77647059],0
b5,1,0.189537,1.721213,[5 1] ; [93 72],[3.43859649 2.56140351] ; [94.56140351 70.43859649],0
a7,1,0.21424,1.542538,[5 1] ; [95 69],[3.52941176 2.47058824] ; [96.47058824 67.52941176],0
a6,1,0.218416,1.514747,[5 1] ; [96 69],[3.54385965 2.45614035] ; [97.45614035 67.54385965],0
p6,1,0.269531,1.219134,[3 3] ; [ 47 115],[1.78571429 4.21428571] ; [ 48.21428571 113.78571429],0
b4,1,0.350267,0.872488,[2 4] ; [87 78],[3.12280702 2.87719298] ; [85.87719298 79.12280702],0
s8,1,0.390648,0.736924,[3 3] ; [ 54 109],[2.02366864 3.97633136] ; [ 54.97633136 108.02366864],0
v3,1,0.403342,0.698339,[1 5] ; [ 53 108],[1.94011976 4.05988024] ; [ 52.05988024 108.94011976],0
p4,1,0.405805,0.691057,[4 2] ; [81 83],[3. 3.] ; [82. 82.],0
p3,1,0.424552,0.637681,[3 2] ; [69 95],[2.13017751 2.86982249] ; [69.86982249 94.13017751],0
b2,1,0.454508,0.559385,[2 3] ; [24 72],[1.28712871 3.71287129] ; [24.71287129 71.28712871],0
b3,1,0.454508,0.559385,[2 3] ; [24 72],[1.28712871 3.71287129] ; [24.71287129 71.28712871],0
p10,1,0.518933,0.416014,[5 1] ; [114  46],[4.30120482 1.69879518] ; [114.69879518  45.30120482],0
s5,1,0.541448,0.372862,[2 4] ; [ 36 123],[1.38181818 4.61818182] ; [ 36.61818182 122.38181818],0
a8,1,0.542657,0.370637,[1 4] ; [ 17 135],[0.57324841 4.42675159] ; [ 17.42675159 134.57324841],0
n5,1,0.599765,0.275351,[5 1] ; [121  43],[4.44705882 1.55294118] ; [121.55294118  42.44705882],0
v1,1,0.622236,0.242737,[2 4] ; [70 91],[2.58682635 3.41317365] ; [69.41317365 91.58682635],0
p5,1,0.626695,0.236569,[1 5] ; [ 17 146],[0.63905325 5.36094675] ; [ 17.36094675 145.63905325],0
p9,1,0.642155,0.215935,[5 1] ; [120  40],[4.51807229 1.48192771] ; [120.48192771  39.51807229],0
v2,1,0.652739,0.202464,[2 4] ; [66 89],[2.53416149 3.46583851] ; [65.46583851 89.53416149],0
p7,1,0.707662,0.140624,[4 2] ; [95 66],[3.55688623 2.44311377] ; [95.44311377 65.55688623],0
n1,1,0.721212,0.127334,[1 1] ; [18 30],[0.76 1.24] ; [18.24 29.76],0
b1,1,0.721325,0.127226,[2 4] ; [67 98],[2.42105263 3.57894737] ; [66.57894737 98.42105263],0
s6,1,0.738678,0.111292,[3 3] ; [91 69],[3.39759036 2.60240964] ; [90.60240964 69.39759036],0
s3,1,0.915618,0.011227,[3 3] ; [76 83],[2.87272727 3.12727273] ; [76.12727273 82.87272727],0
s4,1,0.943548,0.005014,[1 5] ; [ 29 134],[1.06508876 4.93491124] ; [ 28.93491124 134.06508876],0
