Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3e-06,21.901916,[47  8] ; [25 33],[35.04424779 19.95575221] ; [36.95575221 21.04424779],1
p4,1,5e-06,20.870991,[37 19] ; [14 45],[24.83478261 31.16521739] ; [26.16521739 32.83478261],1
p3,1,2.8e-05,17.580762,[36 20] ; [15 44],[24.83478261 31.16521739] ; [26.16521739 32.83478261],1
p2,1,0.000304,13.04586,[53  3] ; [41 19],[45.37931034 10.62068966] ; [48.62068966 11.37931034],1
p6,1,0.002421,9.199605,[22 32] ; [ 9 50],[14.81415929 39.18584071] ; [16.18584071 42.81415929],0
s8,1,0.004433,8.097493,[25 31] ; [12 48],[17.86206897 38.13793103] ; [19.13793103 40.86206897],0
p9,1,0.014582,5.966279,[46 10] ; [37 23],[40.06896552 15.93103448] ; [42.93103448 17.06896552],0
p10,1,0.030411,4.685931,[43 12] ; [35 24],[37.63157895 17.36842105] ; [40.36842105 18.63157895],0
v1,1,0.037636,4.321395,[28 27] ; [18 39],[22.58928571 32.41071429] ; [23.41071429 33.58928571],0
s6,1,0.041354,4.161439,[38 16] ; [31 29],[32.68421053 21.31578947] ; [36.31578947 23.68421053],0
s7,1,0.042151,4.129129,[23 32] ; [13 42],[18. 37.] ; [18. 37.],0
a5,1,0.044738,4.028475,[40 16] ; [32 28],[34.75862069 21.24137931] ; [37.24137931 22.75862069],0
v4,1,0.045965,3.982894,[53  3] ; [48 10],[49.61403509  6.38596491] ; [51.38596491  6.61403509],0
u2,1,0.053602,3.725066,[ 5 12] ; [16 11],[8.11363636 8.88636364] ; [12.88636364 14.11363636],0
r4,1,0.058298,3.585153,[51  5] ; [47 13],[47.31034483  8.68965517] ; [50.68965517  9.31034483],0
r3,1,0.063375,3.44677,[55  1] ; [54  6],[52.62068966  3.37931034] ; [56.37931034  3.62068966],0
p11,1,0.064422,3.419707,[45 11] ; [39 21],[40.55172414 15.44827586] ; [43.44827586 16.55172414],0
d5,1,0.071592,3.24613,[44 12] ; [38 22],[39.5862069 16.4137931] ; [42.4137931 17.5862069],0
a3,1,0.12879,2.30703,[39 17] ; [33 26],[35.06086957 20.93913043] ; [36.93913043 22.06086957],0
s5,1,0.133278,2.253899,[10 44] ; [ 5 52],[ 7.2972973 46.7027027] ; [ 7.7027027 49.2972973],0
n6,1,0.139447,2.184046,[45 11] ; [41 19],[41.51724138 14.48275862] ; [44.48275862 15.51724138],0
n4,1,0.139447,2.184046,[45 11] ; [41 19],[41.51724138 14.48275862] ; [44.48275862 15.51724138],0
a2,1,0.142255,2.1534,[11 45] ; [ 6 54],[ 8.20689655 47.79310345] ; [ 8.79310345 51.20689655],0
d2,1,0.147326,2.099717,[28 28] ; [22 38],[24.13793103 31.86206897] ; [25.86206897 34.13793103],0
a7,1,0.148194,2.090742,[39 17] ; [34 26],[35.24137931 20.75862069] ; [37.75862069 22.24137931],0
a6,1,0.174712,1.842037,[42 14] ; [38 22],[38.62068966 17.37931034] ; [41.37931034 18.62068966],0
d1,1,0.202895,1.621409,[29 27] ; [24 36],[25.5862069 30.4137931] ; [27.4137931 32.5862069],0
b1,1,0.211618,1.560325,[25 31] ; [20 40],[21.72413793 34.27586207] ; [23.27586207 36.72413793],0
u3,1,0.242284,1.367254,[ 7 10] ; [16 11],[8.88636364 8.11363636] ; [14.11363636 12.88636364],0
v3,1,0.258393,1.277345,[21 35] ; [16 42],[18.1754386 37.8245614] ; [18.8245614 39.1754386],0
u1,1,0.283909,1.148283,[ 7 49] ; [ 4 56],[ 5.31034483 50.68965517] ; [ 5.68965517 54.31034483],0
p5,1,0.283909,1.148283,[ 7 49] ; [ 4 56],[ 5.31034483 50.68965517] ; [ 5.68965517 54.31034483],0
b5,1,0.334717,0.930561,[33 23] ; [30 30],[30.4137931 25.5862069] ; [32.5862069 27.4137931],0
n1,1,0.373156,0.793129,[5 5] ; [ 7 14],[3.87096774 6.12903226] ; [ 8.12903226 12.87096774],0
d4,1,0.378263,0.776338,[43 13] ; [41 18],[40.90434783 15.09565217] ; [43.09565217 15.90434783],0
d3,1,0.378925,0.774186,[38 18] ; [36 24],[35.72413793 20.27586207] ; [38.27586207 21.72413793],0
n5,1,0.40736,0.686492,[41 15] ; [39 20],[38.95652174 17.04347826] ; [41.04347826 17.95652174],0
s4,1,0.47892,0.501321,[ 8 48] ; [ 6 54],[ 6.75862069 49.24137931] ; [ 7.24137931 52.75862069],0
v2,1,0.509953,0.434163,[27 28] ; [24 32],[25.27027027 29.72972973] ; [25.72972973 30.27027027],0
r1,1,0.509992,0.434083,[42 14] ; [41 18],[40.4173913 15.5826087] ; [42.5826087 16.4173913],0
r2,1,0.528189,0.397875,[52  3] ; [54  5],[51.14035088  3.85964912] ; [54.85964912  4.14035088],0
n3,1,0.583882,0.3,[6 4] ; [14  6],[6.66666667 3.33333333] ; [13.33333333  6.66666667],0
a1,1,0.591739,0.287636,[ 3 53] ; [ 2 58],[ 2.4137931 53.5862069] ; [ 2.5862069 57.4137931],0
b4,1,0.632965,0.228062,[34 22] ; [39 21],[35.24137931 20.75862069] ; [37.75862069 22.24137931],0
p1,1,0.649073,0.207071,[ 5 51] ; [ 4 56],[ 4.34482759 51.65517241] ; [ 4.65517241 55.34482759],0
n2,1,0.659658,0.193939,[8 2] ; [16  6],[7.5 2.5] ; [16.5  5.5],0
b2,1,0.662381,0.190644,[13 20] ; [12 23],[12.13235294 20.86764706] ; [12.86764706 22.13235294],0
b3,1,0.662381,0.190644,[13 20] ; [12 23],[12.13235294 20.86764706] ; [12.86764706 22.13235294],0
a4,1,0.860919,0.030697,[20 36] ; [22 37],[20.45217391 35.54782609] ; [21.54782609 37.45217391],0
a8,1,0.866093,0.028434,[ 6 46] ; [ 6 51],[ 5.72477064 46.27522936] ; [ 6.27522936 50.72477064],0
s1,1,0.971501,0.001276,[ 2 54] ; [ 2 56],[ 1.96491228 54.03508772] ; [ 2.03508772 55.96491228],0
