Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1.7e-05,18.544143,[13 24] ; [68 22],[23.5984252 13.4015748] ; [57.4015748 32.5984252],1
a6,1,0.0007,11.489761,[13 24] ; [61 29],[21.55905512 15.44094488] ; [52.44094488 37.55905512],1
d5,1,0.003414,8.571773,[23 14] ; [77 13],[29.13385827  7.86614173] ; [70.86614173 19.13385827],0
p2,1,0.004093,8.242259,[14 23] ; [59 31],[21.26771654 15.73228346] ; [51.73228346 38.26771654],0
b2,1,0.004862,7.930026,[14  9] ; [11 32],[ 8.71212121 14.28787879] ; [16.28787879 26.71212121],0
b3,1,0.004862,7.930026,[14  9] ; [11 32],[ 8.71212121 14.28787879] ; [16.28787879 26.71212121],0
b1,1,0.016184,5.782775,[19 18] ; [26 64],[13.11023622 23.88976378] ; [31.88976378 58.11023622],0
d4,1,0.017842,5.611573,[26 11] ; [79 11],[30.59055118  6.40944882] ; [74.40944882 15.59055118],0
a4,1,0.031827,4.607777,[19 18] ; [28 62],[13.69291339 23.30708661] ; [33.30708661 56.69291339],0
n1,1,0.037001,4.350348,[8 7] ; [ 7 24],[ 4.89130435 10.10869565] ; [10.10869565 20.89130435],0
a2,1,0.041426,4.15851,[ 1 36] ; [14 76],[ 4.37007874 32.62992126] ; [10.62992126 79.37007874],0
n4,1,0.058048,3.592289,[19 18] ; [30 60],[14.27559055 22.72440945] ; [34.72440945 55.27559055],0
p10,1,0.069765,3.288531,[14 22] ; [50 38],[18.58064516 17.41935484] ; [45.41935484 42.58064516],0
d1,1,0.088987,2.892606,[14 23] ; [49 41],[18.35433071 18.64566929] ; [44.64566929 45.35433071],0
b5,1,0.126222,2.338367,[18 19] ; [57 33],[21.8503937 15.1496063] ; [53.1496063 36.8503937],0
a1,1,0.14764,2.09647,[ 2 35] ; [ 1 89],[ 0.87401575 36.12598425] ; [ 2.12598425 87.87401575],0
v4,1,0.156465,2.008067,[28  8] ; [79 11],[30.57142857  5.42857143] ; [76.42857143 13.57142857],0
u3,1,0.163063,1.945588,[9 9] ; [25 11],[11.33333333  6.66666667] ; [22.66666667 13.33333333],0
p6,1,0.188844,1.726617,[ 2 35] ; [12 77],[ 4.11111111 32.88888889] ; [ 9.88888889 79.11111111],0
p9,1,0.201527,1.631272,[19 17] ; [56 30],[22.13114754 13.86885246] ; [52.86885246 33.13114754],0
p4,1,0.232233,1.427134,[ 8 29] ; [29 61],[10.77952756 26.22047244] ; [26.22047244 63.77952756],0
s1,1,0.249151,1.328058,[ 3 34] ; [ 3 87],[ 1.7480315 35.2519685] ; [ 4.2519685 85.7480315],0
p11,1,0.255945,1.29056,[23 14] ; [46 44],[20.1023622 16.8976378] ; [48.8976378 41.1023622],0
n6,1,0.271029,1.211532,[17 20] ; [51 39],[19.81102362 17.18897638] ; [48.18897638 41.81102362],0
