Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,26.991,[76 13] ; [10 18],[65.41880342 23.58119658] ; [20.58119658  7.41880342],1
r3,1,8e-06,19.846457,[88  1] ; [20  7],[82.86206897  6.13793103] ; [25.13793103  1.86206897],1
n5,1,1.2e-05,19.158289,[75 14] ; [12 16],[66.17948718 22.82051282] ; [20.82051282  7.17948718],1
r4,1,3.3e-05,17.239354,[81  8] ; [16 12],[73.78632479 15.21367521] ; [23.21367521  4.78632479],1
p11,1,9.6e-05,15.221634,[72 17] ; [12 16],[63.8974359 25.1025641] ; [20.1025641  7.8974359],1
b1,1,0.001097,10.656936,[24 65] ; [17 11],[31.18803419 57.81196581] ; [ 9.81196581 18.18803419],0
v3,1,0.004457,8.087611,[47 41] ; [ 6 21],[40.55652174 47.44347826] ; [12.44347826 14.55652174],0
p10,1,0.008182,6.993236,[75 13] ; [16 10],[70.24561404 17.75438596] ; [20.75438596  5.24561404],0
a7,1,0.016152,5.786305,[60 28] ; [12 16],[54.62068966 33.37931034] ; [17.37931034 10.62068966],0
r2,1,0.018041,5.592155,[84  4] ; [22  5],[81.11304348  6.88695652] ; [24.88695652  2.11304348],0
v4,1,0.028715,4.784594,[86  3] ; [23  4],[83.62931034  5.37068966] ; [25.37068966  1.62931034],0
p3,1,0.041471,4.156647,[45 44] ; [ 8 20],[40.31623932 48.68376068] ; [12.68376068 15.31623932],0
v2,1,0.05035,3.829752,[57 30] ; [12 15],[52.65789474 34.34210526] ; [16.34210526 10.65789474],0
p9,1,0.104512,2.635302,[77 12] ; [19  7],[74.29565217 14.70434783] ; [21.70434783  4.29565217],0
p5,1,0.12444,2.36053,[17 70] ; [ 2 26],[14.37391304 72.62608696] ; [ 4.62608696 23.37391304],0
p4,1,0.148874,2.083749,[52 37] ; [12 16],[48.68376068 40.31623932] ; [15.31623932 12.68376068],0
s6,1,0.160924,1.965517,[61 26] ; [15 12],[58. 29.] ; [18.  9.],0
u2,1,0.165372,1.924404,[25 20] ; [10  3],[27.15517241 17.84482759] ; [7.84482759 5.15517241],0
d2,1,0.172129,1.864307,[20 69] ; [ 3 25],[17.4957265 71.5042735] ; [ 5.5042735 22.4957265],0
s5,1,0.182438,1.777649,[21 63] ; [10 16],[23.67272727 60.32727273] ; [ 7.32727273 18.67272727],0
p8,1,0.187848,1.734417,[42 46] ; [ 9 18],[39.02608696 48.97391304] ; [11.97391304 15.02608696],0
a4,1,0.1962,1.670434,[23 65] ; [ 4 24],[20.48275862 67.51724138] ; [ 6.51724138 21.48275862],0
a1,1,0.213722,1.546034,[ 2 87] ; [ 2 26],[ 3.04273504 85.95726496] ; [ 0.95726496 27.04273504],0
p7,1,0.232878,1.423199,[58 29] ; [14 12],[55.43362832 31.56637168] ; [16.56637168  9.43362832],0
a6,1,0.259732,1.270185,[49 40] ; [12 16],[46.4017094 42.5982906] ; [14.5982906 13.4017094],0
r1,1,0.317481,0.999295,[63 26] ; [17 11],[60.85470085 28.14529915] ; [19.14529915  8.85470085],0
u3,1,0.318818,0.993789,[26 20] ; [10  4],[27.6 18.4] ; [8.4 5.6],0
a8,1,0.383062,0.760852,[11 69] ; [ 2 25],[ 9.71962617 70.28037383] ; [ 3.28037383 23.71962617],0
s2,1,0.392568,0.730973,[39 49] ; [15 13],[40.96551724 47.03448276] ; [13.03448276 14.96551724],0
s4,1,0.393301,0.728712,[13 76] ; [ 6 22],[14.45299145 74.54700855] ; [ 4.54700855 23.45299145],0
d5,1,0.443629,0.586878,[61 28] ; [17 11],[59.33333333 29.66666667] ; [18.66666667  9.33333333],0
b5,1,0.505144,0.444114,[54 35] ; [15 13],[52.48717949 36.51282051] ; [16.51282051 11.48717949],0
d1,1,0.539966,0.375602,[31 58] ; [ 8 20],[29.66666667 59.33333333] ; [ 9.33333333 18.66666667],0
s8,1,0.561899,0.336428,[34 55] ; [ 9 19],[32.70940171 56.29059829] ; [10.29059829 17.70940171],0
d3,1,0.57595,0.312828,[53 36] ; [15 13],[51.72649573 37.27350427] ; [16.27350427 11.72649573],0
p2,1,0.590817,0.289071,[71 18] ; [21  7],[69.98290598 19.01709402] ; [22.01709402  5.98290598],0
n3,1,0.600698,0.273945,[13  3] ; [8 3],[12.44444444  3.55555556] ; [8.55555556 2.44444444],0
d4,1,0.683887,0.165783,[67 22] ; [20  8],[66.17948718 22.82051282] ; [20.82051282  7.17948718],0
b4,1,0.688263,0.160972,[47 42] ; [16 12],[47.92307692 41.07692308] ; [15.07692308 12.92307692],0
u1,1,0.699014,0.149499,[ 2 87] ; [ 1 27],[ 2.28205128 86.71794872] ; [ 0.71794872 27.28205128],0
s1,1,0.712659,0.135635,[ 5 83] ; [ 1 25],[ 4.63157895 83.36842105] ; [ 1.36842105 24.63157895],0
s7,1,0.785598,0.074001,[34 48] ; [12 15],[34.60550459 47.39449541] ; [11.39449541 15.60550459],0
n2,1,0.824016,0.049454,[11  5] ; [8 3],[11.25925926  4.74074074] ; [7.74074074 3.25925926],0
