Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,32.006344,[249  33] ; [16 16],[237.99363057  44.00636943] ; [27.00636943  4.99363057],1
n5,1,1e-06,23.373902,[238  44] ; [15 16],[227.94249201  54.05750799] ; [25.05750799  5.94249201],1
p10,1,0.000945,10.932494,[245  35] ; [21 11],[238.71794872  41.28205128] ; [27.28205128  4.71794872],1
r4,1,0.001476,10.107792,[269  13] ; [26  6],[264.93630573  17.06369427] ; [30.06369427  1.93630573],0
a5,1,0.00158,9.982687,[221  61] ; [17 15],[213.74522293  68.25477707] ; [24.25477707  7.74522293],0
s4,1,0.002255,9.329698,[ 49 227] ; [13 19],[ 55.55844156 220.44155844] ; [ 6.44155844 25.55844156],0
p11,1,0.00776,7.088071,[232  50] ; [20 12],[226.31847134  55.68152866] ; [25.68152866  6.31847134],0
s7,1,0.019248,5.478886,[174  94] ; [14 18],[167.94666667 100.05333333] ; [20.05333333 11.94666667],0
v4,1,0.020232,5.391802,[275   6] ; [29  3],[272.9201278   8.0798722] ; [31.0798722  0.9201278],0
a3,1,0.035586,4.416826,[214  66] ; [19 13],[209.1025641  70.8974359] ; [23.8974359  8.1025641],0
b1,1,0.039795,4.226614,[114 168] ; [19 13],[119.44585987 162.55414013] ; [13.55414013 18.44585987],0
p7,1,0.040528,4.195641,[237  41] ; [22  9],[233.01618123  44.98381877] ; [25.98381877  5.01618123],0
r1,1,0.042537,4.113717,[235  47] ; [22 10],[230.8089172  51.1910828] ; [26.1910828  5.8089172],0
p4,1,0.050385,3.8286,[227  55] ; [21 11],[222.72611465  59.27388535] ; [25.27388535  6.72611465],0
p8,1,0.052019,3.77516,[196  84] ; [17 15],[191.15384615  88.84615385] ; [21.84615385 10.15384615],0
p5,1,0.05534,3.671804,[ 57 225] ; [ 2 30],[ 52.98726115 229.01273885] ; [ 6.01273885 25.98726115],0
b5,1,0.055498,3.66706,[162 120] ; [24  8],[167.04458599 114.95541401] ; [18.95541401 13.04458599],0
v3,1,0.063531,3.442718,[119 157] ; [ 8 23],[114.17589577 161.82410423] ; [12.82410423 18.17589577],0
p9,1,0.077068,3.125681,[256  25] ; [26  6],[253.16932907  27.83067093] ; [28.83067093  3.16932907],0
s6,1,0.084279,2.980392,[208  64] ; [20 12],[204.  68.] ; [24.  8.],0
a8,1,0.093228,2.817738,[ 39 218] ; [ 1 27],[ 36.07017544 220.92982456] ; [ 3.92982456 24.07017544],0
n2,1,0.096482,2.76276,[37 16] ; [12  1],[39.34848485 13.65151515] ; [9.65151515 3.34848485],0
u2,1,0.131839,2.270712,[37 31] ; [10  3],[39.45679012 28.54320988] ; [7.54320988 5.45679012],0
p12,1,0.136371,2.218433,[ 33 247] ; [ 1 31],[ 30.51282051 249.48717949] ; [ 3.48717949 28.51282051],0
p3,1,0.138383,2.195845,[187  95] ; [17 15],[183.21019108  98.78980892] ; [20.78980892 11.21019108],0
u1,1,0.160175,1.972572,[ 66 216] ; [ 4 28],[ 62.86624204 219.13375796] ; [ 7.13375796 24.86624204],0
p2,1,0.172283,1.862968,[252  30] ; [26  6],[249.66878981  32.33121019] ; [28.33121019  3.66878981],0
s5,1,0.175004,1.839548,[122 146] ; [ 9 19],[118.60810811 149.39189189] ; [12.39189189 15.60810811],0
s2,1,0.210749,1.566271,[172 108] ; [16 16],[168.71794872 111.28205128] ; [19.28205128 12.71794872],0
v2,1,0.230995,1.434727,[165 112] ; [15 16],[161.88311688 115.11688312] ; [18.11688312 12.88311688],0
s8,1,0.250868,1.318466,[161 119] ; [15 17],[157.94871795 122.05128205] ; [18.05128205 13.94871795],0
