Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,6e-06,20.460163,[15 19] ; [86 17],[25.06569343  8.93430657] ; [75.93430657 27.06569343],1
n6,1,0.000174,14.094948,[22 12] ; [95  9],[28.82608696  5.17391304] ; [88.17391304 15.82608696],1
p7,1,0.000449,12.317101,[15 18] ; [80 23],[23.05147059  9.94852941] ; [71.94852941 31.05147059],1
p6,1,0.002754,8.963364,[ 6 27] ; [49 54],[13.34558824 19.65441176] ; [41.65441176 61.34558824],0
v3,1,0.004967,7.891383,[ 6 26] ; [48 55],[12.8 19.2] ; [41.2 61.8],0
p4,1,0.007241,7.212251,[13 21] ; [67 37],[19.71014493 14.28985507] ; [60.28985507 43.71014493],0
s7,1,0.01227,6.271422,[21 13] ; [81 17],[26.27272727  7.72727273] ; [75.72727273 22.27272727],0
p10,1,0.019169,5.486027,[24  9] ; [92 11],[28.14705882  4.85294118] ; [87.85294118 15.14705882],0
p8,1,0.026094,4.949754,[12 22] ; [59 44],[17.62043796 16.37956204] ; [53.37956204 49.62043796],0
s6,1,0.056502,3.637202,[25  9] ; [90 13],[28.54014599  5.45985401] ; [86.45985401 16.54014599],0
d3,1,0.083404,2.997285,[16 18] ; [32 72],[11.82608696 22.17391304] ; [36.17391304 67.82608696],0
s2,1,0.113116,2.510135,[18 16] ; [70 33],[21.83941606 12.16058394] ; [66.16058394 36.83941606],0
a7,1,0.11683,2.459313,[24 10] ; [57 46],[20.10218978 13.89781022] ; [60.89781022 42.10218978],0
v1,1,0.120324,2.413102,[16 17] ; [65 37],[19.8 13.2] ; [61.2 40.8],0
n1,1,0.122887,2.380133,[2 7] ; [13 12],[3.97058824 5.02941176] ; [11.02941176 13.97058824],0
d2,1,0.154486,2.027384,[ 4 30] ; [24 80],[ 6.89855072 27.10144928] ; [21.10144928 82.89855072],0
r1,1,0.183661,1.767752,[24 10] ; [83 19],[26.75  7.25] ; [80.25 21.75],0
v2,1,0.186149,1.747834,[15 17] ; [59 39],[18.21538462 13.78461538] ; [55.78461538 42.21538462],0
p3,1,0.197187,1.663089,[13 21] ; [53 51],[16.26086957 17.73913043] ; [49.73913043 54.26086957],0
p12,1,0.207985,1.585396,[ 1 33] ; [10 93],[ 2.72992701 31.27007299] ; [ 8.27007299 94.72992701],0
a5,1,0.232093,1.427987,[18 16] ; [67 37],[20.94202899 13.05797101] ; [64.05797101 39.94202899],0
a1,1,0.232236,1.427112,[ 2 32] ; [  2 102],[ 0.98550725 33.01449275] ; [  3.01449275 100.98550725],0
r2,1,0.291365,1.113302,[28  5] ; [94  9],[29.60294118  3.39705882] ; [92.39705882 10.60294118],0
p9,1,0.358544,0.842986,[28  6] ; [92 12],[29.56521739  4.43478261] ; [90.43478261 13.56521739],0
b1,1,0.359428,0.839891,[12 22] ; [46 58],[14.28985507 19.71014493] ; [43.71014493 60.28985507],0
n2,1,0.385183,0.754095,[6 3] ; [21  5],[6.94285714 2.05714286] ; [20.05714286  5.94285714],0
u2,1,0.389601,0.740187,[8 3] ; [18 13],[6.80952381 4.19047619] ; [19.19047619 11.80952381],0
u3,1,0.397512,0.715841,[9 3] ; [19 12],[7.81395349 4.18604651] ; [20.18604651 10.81395349],0
p5,1,0.505904,0.442531,[ 4 30] ; [17 86],[ 5.21167883 28.78832117] ; [15.78832117 87.21167883],0
s4,1,0.518507,0.416861,[ 4 30] ; [17 87],[ 5.17391304 28.82608696] ; [15.82608696 88.17391304],0
a3,1,0.548748,0.359566,[22 12] ; [73 31],[23.4057971 10.5942029] ; [71.5942029 32.4057971],0
s3,1,0.571253,0.320591,[22 12] ; [72 31],[23.32846715 10.67153285] ; [70.67153285 32.32846715],0
p2,1,0.587049,0.294976,[27  7] ; [86 17],[28.04379562  5.95620438] ; [84.95620438 18.04379562],0
p11,1,0.588461,0.292754,[26  8] ; [84 20],[27.10144928  6.89855072] ; [82.89855072 21.10144928],0
d4,1,0.605693,0.266495,[21 13] ; [59 45],[19.71014493 14.28985507] ; [60.28985507 43.71014493],0
a8,1,0.699312,0.149188,[ 7 24] ; [19 79],[ 6.24806202 24.75193798] ; [19.75193798 78.24806202],0
d5,1,0.701145,0.147284,[19 15] ; [62 42],[19.95652174 14.04347826] ; [61.04347826 42.95652174],0
b2,1,0.733023,0.116354,[ 8 12] ; [31 39],[ 8.66666667 11.33333333] ; [30.33333333 39.66666667],0
b3,1,0.733023,0.116354,[ 8 12] ; [31 39],[ 8.66666667 11.33333333] ; [30.33333333 39.66666667],0
s5,1,0.753329,0.098755,[11 20] ; [39 62],[11.74242424 19.25757576] ; [38.25757576 62.74242424],0
b5,1,0.773505,0.082825,[18 16] ; [58 46],[18.72463768 15.27536232] ; [57.27536232 46.72463768],0
s1,1,0.813402,0.055714,[ 2 32] ; [ 5 98],[ 1.73722628 32.26277372] ; [ 5.26277372 97.73722628],0
v4,1,0.85207,0.034774,[32  2] ; [96  7],[31.76642336  2.23357664] ; [96.23357664  6.76642336],0
p1,1,0.860533,0.030869,[ 4 30] ; [11 92],[ 3.72262774 30.27737226] ; [11.27737226 91.72262774],0
u1,1,0.861916,0.030254,[ 2 32] ; [ 7 97],[ 2.2173913 31.7826087] ; [ 6.7826087 97.2173913],0
a4,1,0.872695,0.025676,[ 9 25] ; [29 75],[ 9.36231884 24.63768116] ; [28.63768116 75.36231884],0
a2,1,0.890858,0.018829,[ 3 31] ; [10 94],[ 3.20289855 30.79710145] ; [ 9.79710145 94.20289855],0
a6,1,0.907647,0.013458,[20 14] ; [60 44],[19.71014493 14.28985507] ; [60.28985507 43.71014493],0
n3,1,0.914143,0.011624,[7 2] ; [19  6],[6.88235294 2.11764706] ; [19.11764706  5.88235294],0
r4,1,0.971465,0.00128,[30  4] ; [92 12],[30.05797101  3.94202899] ; [91.94202899 12.05797101],0
r3,1,0.980451,0.0006,[32  2] ; [98  6],[32.02898551  1.97101449] ; [97.97101449  6.02898551],0
b4,1,0.995424,3.3e-05,[18 16] ; [55 49],[17.98550725 16.01449275] ; [55.01449275 48.98550725],0
