Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.8e-05,18.414067,[19 83] ; [18 13],[28.37593985 73.62406015] ; [ 8.62406015 22.37593985],1
p3,1,8.1e-05,15.534967,[19 86] ; [17 15],[27.59124088 77.40875912] ; [ 8.40875912 23.59124088],1
p10,1,0.001075,10.693884,[37 66] ; [22 10],[45.01481481 57.98518519] ; [13.98518519 18.01481481],0
p6,1,0.001112,10.631395,[ 7 96] ; [ 9 23],[12.20740741 90.79259259] ; [ 3.79259259 28.20740741],0
p4,1,0.001371,10.244817,[18 86] ; [14 17],[24.65185185 79.34814815] ; [ 7.34814815 23.65185185],0
b1,1,0.009716,6.686261,[54 52] ; [ 8 24],[47.62318841 58.37681159] ; [14.37681159 17.62318841],0
d2,1,0.012897,6.18314,[48 55] ; [ 7 25],[41.96296296 61.03703704] ; [13.03703704 18.96296296],0
p9,1,0.026091,4.95,[40 60] ; [20 12],[45.45454545 54.54545455] ; [14.54545455 17.45454545],0
p5,1,0.028908,4.773112,[  3 103] ; [ 4 28],[  5.37681159 100.62318841] ; [ 1.62318841 30.37681159],0
s2,1,0.035964,4.3988,[24 81] ; [13 18],[28.56617647 76.43382353] ; [ 8.43382353 22.56617647],0
a4,1,0.062313,3.474736,[43 62] ; [ 7 24],[38.60294118 66.39705882] ; [11.39705882 19.60294118],0
v2,1,0.067741,3.336921,[36 63] ; [17 14],[40.36153846 58.63846154] ; [12.63846154 18.36153846],0
b2,1,0.074581,3.179215,[28 34] ; [ 3 12],[24.96103896 37.03896104] ; [6.03896104 8.96103896],0
b3,1,0.074581,3.179215,[28 34] ; [ 3 12],[24.96103896 37.03896104] ; [6.03896104 8.96103896],0
r4,1,0.075233,3.164986,[61 45] ; [24  8],[65.28985507 40.71014493] ; [19.71014493 12.28985507],0
p11,1,0.075369,3.162035,[44 62] ; [19 13],[48.39130435 57.60869565] ; [14.60869565 17.39130435],0
s6,1,0.095578,2.777818,[34 72] ; [15 16],[37.91240876 68.08759124] ; [11.08759124 19.91240876],0
v3,1,0.095741,2.775093,[25 74] ; [13 19],[28.71755725 70.28244275] ; [ 9.28244275 22.71755725],0
v4,1,0.097621,2.743978,[73 32] ; [27  5],[76.64233577 28.35766423] ; [23.35766423  8.64233577],0
a2,1,0.130706,2.284094,[18 88] ; [ 2 30],[15.36231884 90.63768116] ; [ 4.63768116 27.36231884],0
a1,1,0.133429,2.252148,[13 93] ; [ 1 31],[10.75362319 95.24637681] ; [ 3.24637681 28.75362319],0
d4,1,0.162424,1.951512,[76 29] ; [19 13],[72.81021898 32.18978102] ; [22.18978102  9.81021898],0
a6,1,0.219849,1.505357,[56 49] ; [21 11],[59.01459854 45.98540146] ; [17.98540146 14.01459854],0
s4,1,0.232154,1.427616,[19 85] ; [ 3 29],[16.82352941 87.17647059] ; [ 5.17647059 26.82352941],0
a5,1,0.235913,1.404849,[57 49] ; [21 11],[59.91304348 46.08695652] ; [18.08695652 13.91304348],0
d1,1,0.274335,1.194944,[48 58] ; [11 21],[45.31884058 60.68115942] ; [13.68115942 18.31884058],0
n5,1,0.288963,1.124447,[63 41] ; [16 16],[60.41176471 43.58823529] ; [18.58823529 13.41176471],0
s7,1,0.296375,1.090433,[18 82] ; [ 3 27],[16.15384615 83.84615385] ; [ 4.84615385 25.15384615],0
r1,1,0.343175,0.898535,[59 46] ; [21 11],[61.31386861 43.68613139] ; [18.68613139 13.31386861],0
p12,1,0.364239,0.823223,[  3 103] ; [ 2 30],[  3.84057971 102.15942029] ; [ 1.15942029 30.84057971],0
d5,1,0.375078,0.786772,[65 40] ; [17 15],[62.84671533 42.15328467] ; [19.15328467 12.84671533],0
r2,1,0.395278,0.722643,[82 20] ; [27  4],[83.59398496 18.40601504] ; [25.40601504  5.59398496],0
u1,1,0.405039,0.693315,[12 94] ; [ 2 30],[10.75362319 95.24637681] ; [ 3.24637681 28.75362319],0
s3,1,0.414082,0.66705,[36 68] ; [ 8 22],[34.14925373 69.85074627] ; [ 9.85074627 20.14925373],0
n4,1,0.430396,0.621756,[64 41] ; [17 15],[62.08029197 42.91970803] ; [18.91970803 13.08029197],0
a3,1,0.479871,0.499156,[65 40] ; [17 14],[63.30882353 41.69117647] ; [18.69117647 12.30882353],0
n3,1,0.498634,0.457843,[26 20] ; [3 4],[25.16981132 20.83018868] ; [3.83018868 3.16981132],0
a7,1,0.505046,0.444318,[62 43] ; [21 11],[63.61313869 41.38686131] ; [19.38686131 12.61313869],0
n1,1,0.508813,0.436508,[20 28] ; [2 5],[19.2 28.8] ; [2.8 4.2],0
d3,1,0.522106,0.409731,[56 49] ; [15 17],[54.41605839 50.58394161] ; [16.58394161 15.41605839],0
s5,1,0.548744,0.359573,[15 86] ; [ 6 25],[16.06818182 84.93181818] ; [ 4.93181818 26.06818182],0
u3,1,0.559591,0.340413,[20 21] ; [6 9],[19.03571429 21.96428571] ; [6.96428571 8.03571429],0
b4,1,0.573167,0.317412,[59 47] ; [16 16],[57.60869565 48.39130435] ; [17.39130435 14.60869565],0
n6,1,0.584532,0.298965,[62 43] ; [20 11],[63.30882353 41.69117647] ; [18.69117647 12.30882353],0
a8,1,0.599283,0.276078,[10 92] ; [ 2 28],[ 9.27272727 92.72727273] ; [ 2.72727273 27.27272727],0
n2,1,0.601921,0.272109,[30 19] ; [5 2],[30.625 18.375] ; [4.375 2.625],0
r3,1,0.770189,0.085338,[76 29] ; [24  8],[76.64233577 28.35766423] ; [23.35766423  8.64233577],0
v1,1,0.770474,0.085121,[30 75] ; [10 22],[30.65693431 74.34306569] ; [ 9.34306569 22.65693431],0
s1,1,0.774716,0.081917,[11 92] ; [ 4 28],[11.44444444 91.55555556] ; [ 3.55555556 28.44444444],0
b5,1,0.800499,0.063858,[59 47] ; [17 15],[58.37681159 47.62318841] ; [17.62318841 14.37681159],0
u2,1,0.867055,0.028023,[17 23] ; [6 9],[16.72727273 23.27272727] ; [6.27272727 8.72727273],0
p1,1,0.992015,0.0001,[10 96] ; [ 3 29],[ 9.98550725 96.01449275] ; [ 3.01449275 28.98550725],0
