Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,130.829417,[295  62] ; [130 194],[222.79735683 134.20264317] ; [202.20264317 121.79735683],1
p7,1,0.0,46.883515,[274  79] ; [164 149],[232.15315315 120.84684685] ; [205.84684685 107.15315315],1
p8,1,0.0,39.623487,[230 124] ; [129 188],[189.39791356 164.60208644] ; [169.60208644 147.39791356],1
p6,1,0.0,33.681471,[168 184] ; [ 83 236],[131.67213115 220.32786885] ; [119.32786885 199.67213115],1
p5,1,0.0,32.222759,[ 61 293] ; [ 12 312],[ 38.11504425 315.88495575] ; [ 34.88495575 289.11504425],1
v1,1,8e-06,19.939656,[221 123] ; [151 170],[192.43308271 151.56691729] ; [179.56691729 141.43308271],1
p10,1,2.9e-05,17.472947,[315  40] ; [246  75],[294.60798817  60.39201183] ; [266.39201183  54.60798817],1
s7,1,3.9e-05,16.922121,[194 140] ; [133 184],[167.76958525 166.23041475] ; [159.23041475 157.76958525],1
s8,1,6e-05,16.091549,[196 159] ; [129 195],[169.91899853 185.08100147] ; [155.08100147 168.91899853],1
n5,1,0.000222,13.635738,[289  66] ; [225 100],[268.33823529  86.66176471] ; [245.66176471  79.33823529],1
n4,1,0.000281,13.191078,[301  55] ; [238  87],[281.76798825  74.23201175] ; [257.23201175  67.76798825],1
u1,1,0.000297,13.092353,[ 95 262] ; [ 50 277],[ 75.67982456 281.32017544] ; [ 69.32017544 257.67982456],1
p1,1,0.00031,13.006503,[ 39 315] ; [ 12 312],[ 26.62831858 327.37168142] ; [ 24.37168142 299.62831858],1
p2,1,0.000682,11.537927,[319  36] ; [263  63],[303.39207048  51.60792952] ; [278.60792952  47.39207048],1
p9,1,0.000756,11.345098,[320  35] ; [257  60],[304.8139881  50.1860119] ; [272.1860119  44.8139881],1
v3,1,0.000938,10.945319,[161 181] ; [106 203],[140.26728111 201.73271889] ; [126.73271889 182.26728111],1
s5,1,0.002341,9.260922,[141 201] ; [ 93 219],[122.36697248 219.63302752] ; [111.63302752 200.36697248],0
s6,1,0.003084,8.756838,[263  86] ; [207 112],[245.55389222 103.44610778] ; [224.44610778  94.55389222],0
b1,1,0.003247,8.66342,[149 208] ; [101 226],[130.48245614 226.51754386] ; [119.51754386 207.48245614],0
n6,1,0.014693,5.952943,[315  40] ; [267  58],[303.83823529  51.16176471] ; [278.16176471  46.83823529],0
d2,1,0.018223,5.574577,[209 147] ; [162 164],[193.65982405 162.34017595] ; [177.34017595 148.65982405],0
v2,1,0.020376,5.379362,[219 127] ; [168 141],[204.43053435 141.56946565] ; [182.56946565 126.43053435],0
p12,1,0.024032,5.092349,[ 35 319] ; [ 17 306],[ 27.19054653 326.80945347] ; [ 24.80945347 298.19054653],0
a3,1,0.026559,4.919284,[282  73] ; [236  91],[269.63343109  85.36656891] ; [248.36656891  78.63343109],0
a1,1,0.032211,4.58722,[ 22 335] ; [  9 318],[ 16.17982456 340.82017544] ; [ 14.82017544 312.17982456],0
p11,1,0.036173,4.38895,[293  64] ; [247  80],[281.84210526  75.15789474] ; [258.15789474  68.84210526],0
a2,1,0.040288,4.205709,[109 248] ; [ 77 250],[ 97.07894737 259.92105263] ; [ 88.92105263 238.07894737],0
a5,1,0.046011,3.981185,[289  68] ; [244  83],[278.18859649  78.81140351] ; [254.81140351  72.18859649],0
s3,1,0.047569,3.925149,[211 143] ; [167 154],[198.24 155.76] ; [179.76 141.24],0
d1,1,0.055358,3.671273,[264  93] ; [220 107],[252.61403509 104.38596491] ; [231.38596491  95.61403509],0
s2,1,0.06677,3.360693,[197 157] ; [158 167],[185.08100147 168.91899853] ; [169.91899853 155.08100147],0
v4,1,0.067061,3.353527,[351   6] ; [313  13],[347.06881406   9.93118594] ; [316.93118594   9.06881406],0
b5,1,0.093065,2.82055,[208 149] ; [211 116],[218.68859649 138.31140351] ; [200.31140351 126.68859649],0
b3,1,0.133155,2.255327,[ 97 139] ; [ 61 119],[ 89.63461538 146.36538462] ; [ 68.36538462 111.63461538],0
b2,1,0.133155,2.255327,[ 97 139] ; [ 61 119],[ 89.63461538 146.36538462] ; [ 68.36538462 111.63461538],0
a4,1,0.137398,2.206858,[189 167] ; [155 172],[179.30307467 176.69692533] ; [164.69692533 162.30307467],0
u3,1,0.177025,1.822424,[51 24] ; [52 38],[46.81818182 28.18181818] ; [56.18181818 33.81818182],0
n1,1,0.203234,1.618981,[26 30] ; [33 59],[22.32432432 33.67567568] ; [36.67567568 55.32432432],0
r3,1,0.384245,0.757075,[350   6] ; [322   3],[351.29515419   4.70484581] ; [320.70484581   4.29515419],0
n3,1,0.409466,0.680351,[45 11] ; [70 24],[42.93333333 13.06666667] ; [72.06666667 21.93333333],0
u4,1,0.44271,0.589248,[ 11 346] ; [  7 320],[  9.39473684 347.60526316] ; [  8.60526316 318.39473684],0
d4,1,0.520065,0.413765,[322  35] ; [290  37],[319.42105263  37.57894737] ; [292.57894737  34.42105263],0
b4,1,0.552936,0.352084,[206 151] ; [196 131],[209.81578947 147.18421053] ; [192.18421053 134.81578947],0
s4,1,0.558786,0.34181,[ 63 289] ; [ 52 269],[ 60.14858841 291.85141159] ; [ 54.85141159 266.14858841],0
n2,1,0.645099,0.212136,[43 13] ; [69 25],[41.81333333 14.18666667] ; [70.18666667 23.81333333],0
s1,1,0.837794,0.041908,[ 11 344] ; [  9 309],[ 10.54977712 344.45022288] ; [  9.45022288 308.54977712],0
u2,1,0.85267,0.034489,[43 31] ; [51 39],[42.41463415 31.58536585] ; [51.58536585 38.41463415],0
a6,1,0.86566,0.02862,[245 111] ; [227 100],[246.0204978 109.9795022] ; [225.9795022 101.0204978],0
r2,1,0.8674,0.027876,[348   7] ; [318   7],[347.69117647   7.30882353] ; [318.30882353   6.69117647],0
a7,1,0.871376,0.026215,[267  89] ; [247  80],[267.91215227  88.08784773] ; [246.08784773  80.91215227],0
d3,1,0.885989,0.020558,[267  90] ; [243  84],[266.18421053  90.81578947] ; [243.81578947  83.18421053],0
r1,1,0.901936,0.015182,[307  48] ; [280  45],[306.44852941  48.55147059] ; [280.55147059  44.44852941],0
a8,1,0.930682,0.007567,[ 46 273] ; [ 44 256],[ 46.3812601 272.6187399] ; [ 43.6187399 256.3812601],0
