Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,47.464822,[135  92] ; [14 73],[107.71656051 119.28343949] ; [41.28343949 45.71656051],1
d2,1,0.0,40.430801,[140  86] ; [19 68],[114.80511182 111.19488818] ; [44.19488818 42.80511182],1
a3,1,0.0,37.813912,[182  46] ; [38 48],[159.74522293  68.25477707] ; [60.25477707 25.74522293],1
n4,1,1e-06,23.858709,[188  39] ; [49 38],[171.3343949  55.6656051] ; [65.6656051 21.3343949],1
d1,1,1e-05,19.461386,[163  65] ; [39 48],[146.20952381  81.79047619] ; [55.79047619 31.20952381],1
u1,1,0.00056,11.904654,[ 47 181] ; [ 4 83],[ 36.91428571 191.08571429] ; [14.08571429 72.91428571],1
n5,1,0.007329,7.190602,[175  52] ; [54 33],[165.55095541  61.44904459] ; [63.44904459 23.55095541],0
v1,1,0.02259,5.199755,[ 95 127] ; [25 62],[ 86.21359223 135.78640777] ; [33.78640777 53.21359223],0
r2,1,0.023988,5.095507,[213  10] ; [77 10],[208.61290323  14.38709677] ; [81.38709677  5.61290323],0
a6,1,0.030052,4.706298,[158  70] ; [49 38],[149.82857143  78.17142857] ; [57.17142857 29.82857143],0
s8,1,0.031115,4.646617,[ 98 129] ; [26 61],[ 89.6433121 137.3566879] ; [34.3566879 52.6433121],0
b3,1,0.056628,3.633486,[56 93] ; [10 35],[50.69072165 98.30927835] ; [15.30927835 29.69072165],0
b2,1,0.056628,3.633486,[56 93] ; [10 35],[50.69072165 98.30927835] ; [15.30927835 29.69072165],0
d4,1,0.057336,3.612809,[198  30] ; [68 19],[192.53333333  35.46666667] ; [73.46666667 13.53333333],0
p11,1,0.072393,3.227902,[170  58] ; [56 31],[163.58095238  64.41904762] ; [62.41904762 24.58095238],0
p10,1,0.089243,2.887976,[173  53] ; [57 28],[167.13826367  58.86173633] ; [62.86173633 22.13826367],0
p9,1,0.09662,2.760474,[179  47] ; [59 25],[173.50967742  52.49032258] ; [64.49032258 19.50967742],0
a1,1,0.10077,2.693311,[ 12 216] ; [ 1 86],[  9.40952381 218.59047619] ; [ 3.59047619 83.40952381],0
b5,1,0.103132,2.656434,[129  99] ; [58 29],[135.35238095  92.64761905] ; [51.64761905 35.35238095],0
n6,1,0.109183,2.566011,[190  37] ; [66 21],[185.07006369  41.92993631] ; [70.92993631 16.07006369],0
p5,1,0.179411,1.802496,[ 28 198] ; [ 6 79],[ 24.7073955 201.2926045] ; [ 9.2926045 75.7073955],0
p7,1,0.196838,1.665681,[131  92] ; [43 42],[125.98051948  97.01948052] ; [48.01948052 36.98051948],0
s6,1,0.198707,1.651856,[145  77] ; [50 37],[140.09708738  81.90291262] ; [54.90291262 32.09708738],0
r1,1,0.240439,1.378018,[173  53] ; [61 26],[168.95846645  57.04153355] ; [65.04153355 21.95846645],0
