Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,26.76369,[14 25] ; [93 23],[26.92258065 12.07741935] ; [80.07741935 35.92258065],1
a4,1,2e-06,22.84135,[ 5 34] ; [66 50],[17.86451613 21.13548387] ; [53.13548387 62.86451613],1
d2,1,3.1e-05,17.329457,[12 27] ; [79 36],[23.04545455 15.95454545] ; [67.95454545 47.04545455],1
n4,1,0.000788,11.26838,[21 18] ; [94 22],[28.93548387 10.06451613] ; [86.06451613 29.93548387],1
a6,1,0.002349,9.25487,[14 25] ; [74 42],[22.14193548 16.85806452] ; [65.85806452 50.14193548],0
p11,1,0.003979,8.293427,[18 21] ; [83 33],[25.41290323 13.58709677] ; [75.58709677 40.41290323],0
p4,1,0.008278,6.972402,[13 26] ; [67 49],[20.12903226 18.87096774] ; [59.87096774 56.12903226],0
v2,1,0.008454,6.934644,[12 24] ; [65 46],[18.85714286 17.14285714] ; [58.14285714 52.85714286],0
u1,1,0.02088,5.336758,[ 3 36] ; [29 87],[ 8.0516129 30.9483871] ; [23.9483871 92.0516129],0
v1,1,0.027359,4.867987,[15 23] ; [65 43],[20.82191781 17.17808219] ; [59.17808219 48.82191781],0
v3,1,0.031831,4.607594,[ 8 27] ; [47 62],[13.36805556 21.63194444] ; [41.63194444 67.36805556],0
d1,1,0.035479,4.421991,[20 19] ; [81 35],[25.41290323 13.58709677] ; [75.58709677 40.41290323],0
r2,1,0.04755,3.925827,[35  4] ; [112   3],[37.22727273  1.77272727] ; [109.77272727   5.22727273],0
p6,1,0.075156,3.166656,[ 4 35] ; [27 88],[ 7.85064935 31.14935065] ; [23.14935065 91.85064935],0
p1,1,0.10681,2.600794,[ 7 32] ; [ 10 106],[ 4.27741935 34.72258065] ; [ 12.72258065 103.27741935],0
v4,1,0.107578,2.589442,[34  5] ; [110   6],[36.23225806  2.76774194] ; [107.76774194   8.23225806],0
