Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,5.3e-05,16.330645,[29 25] ; [ 2 25],[20.66666667 33.33333333] ; [10.33333333 16.66666667],1
a5,1,0.001453,10.137672,[38 16] ; [ 9 18],[31.33333333 22.66666667] ; [15.66666667 11.33333333],0
d4,1,0.002058,9.496676,[40 14] ; [10 16],[33.75 20.25] ; [16.25  9.75],0
r1,1,0.002261,9.324298,[39 15] ; [10 17],[32.66666667 21.33333333] ; [16.33333333 10.66666667],0
r2,1,0.002296,9.29626,[49  4] ; [17  9],[44.27848101  8.72151899] ; [21.72151899  4.27848101],0
v4,1,0.002963,8.830026,[48  6] ; [15 10],[43.06329114 10.93670886] ; [19.93670886  5.06329114],0
s8,1,0.003056,8.773988,[21 33] ; [ 2 25],[15.33333333 38.66666667] ; [ 7.66666667 19.33333333],0
a3,1,0.004676,8.000584,[42 12] ; [12 14],[36.45 17.55] ; [17.55  8.45],0
a7,1,0.014668,5.955882,[39 15] ; [12 15],[34. 20.] ; [17. 10.],0
a6,1,0.017257,5.67,[42 12] ; [14 13],[37.33333333 16.66666667] ; [18.66666667  8.33333333],0
r3,1,0.020305,5.385511,[44  9] ; [16 11],[39.75 13.25] ; [20.25  6.75],0
p7,1,0.021569,5.280243,[33 17] ; [10 16],[28.28947368 21.71052632] ; [14.71052632 11.28947368],0
v2,1,0.021947,5.25,[28 22] ; [ 7 18],[23.33333333 26.66666667] ; [11.66666667 13.33333333],0
v1,1,0.022076,5.239803,[27 24] ; [ 7 20],[22.23076923 28.76923077] ; [11.76923077 15.23076923],0
u2,1,0.02278,5.185227,[10  2] ; [6 9],[7.11111111 4.88888889] ; [8.88888889 6.11111111],0
r4,1,0.023634,5.12129,[38 16] ; [12 15],[33.33333333 20.66666667] ; [16.66666667 10.33333333],0
p8,1,0.054138,3.708426,[21 30] ; [ 5 21],[17.22077922 33.77922078] ; [ 8.77922078 17.22077922],0
p2,1,0.059224,3.558979,[38 14] ; [14 13],[34.2278481 17.7721519] ; [17.7721519  9.2278481],0
p4,1,0.066652,3.363615,[25 28] ; [ 7 20],[21.2 31.8] ; [10.8 16.2],0
p11,1,0.079914,3.066646,[35 19] ; [12 15],[31.33333333 22.66666667] ; [15.66666667 11.33333333],0
s5,1,0.08364,2.992705,[12 40] ; [ 2 25],[ 9.21518987 42.78481013] ; [ 4.78481013 22.21518987],0
