Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,6.8e-05,15.86561,[16 13] ; [10 55],[ 8.0212766 20.9787234] ; [17.9787234 47.0212766],1
s2,1,0.000482,12.184164,[18 11] ; [16 49],[10.4893617 18.5106383] ; [23.5106383 41.4893617],1
s3,1,0.000654,11.616517,[21  8] ; [22 42],[13.40860215 15.59139785] ; [29.59139785 34.40860215],1
s4,1,0.00084,11.149911,[11 18] ; [ 6 59],[ 5.24468085 23.75531915] ; [11.75531915 53.24468085],1
p10,1,0.001126,10.607652,[23  6] ; [28 37],[15.73404255 13.26595745] ; [35.26595745 29.73404255],0
s5,1,0.002223,9.3556,[11 15] ; [ 8 54],[ 5.61363636 20.38636364] ; [13.38636364 48.61363636],0
s6,1,0.002354,9.250759,[21  8] ; [25 40],[14.19148936 14.80851064] ; [31.80851064 33.19148936],0
p9,1,0.009204,6.782806,[23  6] ; [33 32],[17.27659574 11.72340426] ; [38.72340426 26.27659574],0
d3,1,0.018988,5.502607,[23  6] ; [35 30],[17.89361702 11.10638298] ; [40.10638298 24.89361702],0
n1,1,0.063515,3.443127,[5 4] ; [ 5 18],[2.8125 6.1875] ; [ 7.1875 15.8125],0
p6,1,0.065292,3.397576,[ 9 20] ; [ 9 53],[ 5.73626374 23.26373626] ; [12.26373626 49.73626374],0
p11,1,0.075476,3.159728,[20  9] ; [32 33],[16.04255319 12.95744681] ; [35.95744681 29.04255319],0
b3,1,0.092733,2.82628,[9 9] ; [10 27],[ 6.21818182 11.78181818] ; [12.78181818 24.21818182],0
b2,1,0.092733,2.82628,[9 9] ; [10 27],[ 6.21818182 11.78181818] ; [12.78181818 24.21818182],0
p3,1,0.113311,2.507419,[15 14] ; [22 42],[11.53763441 17.46236559] ; [25.46236559 38.53763441],0
n2,1,0.124178,2.363812,[8 1] ; [14  9],[6.1875 2.8125] ; [15.8125  7.1875],0
v1,1,0.151386,2.05823,[15 14] ; [23 41],[11.84946237 17.15053763] ; [26.15053763 37.84946237],0
a6,1,0.153578,2.036347,[21  8] ; [37 28],[17.89361702 11.10638298] ; [40.10638298 24.89361702],0
p5,1,0.160553,1.969011,[ 2 26] ; [ 1 64],[ 0.90322581 27.09677419] ; [ 2.09677419 62.90322581],0
d1,1,0.163503,1.941526,[17 12] ; [28 37],[13.88297872 15.11702128] ; [31.11702128 33.88297872],0
d4,1,0.192804,1.696062,[26  3] ; [51 14],[23.75531915  5.24468085] ; [53.24468085 11.75531915],0
r1,1,0.203141,1.619645,[18 11] ; [48 16],[20.58064516  8.41935484] ; [45.41935484 18.58064516],0
p2,1,0.223302,1.483025,[22  7] ; [41 24],[19.43617021  9.56382979] ; [43.56382979 21.43617021],0
p1,1,0.264438,1.245373,[ 5 24] ; [ 6 59],[ 3.39361702 25.60638298] ; [ 7.60638298 57.39361702],0
v4,1,0.27642,1.184607,[25  3] ; [52 13],[23.1827957  4.8172043] ; [53.8172043 11.1827957],0
b1,1,0.327588,0.958411,[12 17] ; [34 31],[14.19148936 14.80851064] ; [31.80851064 33.19148936],0
a2,1,0.38512,0.754295,[ 5 24] ; [ 7 58],[ 3.70212766 25.29787234] ; [ 8.29787234 56.70212766],0
a5,1,0.517808,0.418257,[19 10] ; [38 27],[17.58510638 11.41489362] ; [39.41489362 25.58510638],0
a3,1,0.544904,0.366525,[18 11] ; [36 29],[16.65957447 12.34042553] ; [37.34042553 27.65957447],0
d5,1,0.569232,0.32397,[23  6] ; [48 17],[21.90425532  7.09574468] ; [49.09574468 15.90425532],0
a7,1,0.580626,0.305224,[20  9] ; [41 24],[18.81914894 10.18085106] ; [42.18085106 22.81914894],0
a1,1,0.589279,0.291472,[ 1 28] ; [ 4 61],[ 1.54255319 27.45744681] ; [ 3.45744681 61.54255319],0
p7,1,0.604243,0.268643,[13 15] ; [26 38],[11.86956522 16.13043478] ; [27.13043478 36.86956522],0
v2,1,0.605786,0.266357,[12 13] ; [26 36],[10.91954023 14.08045977] ; [27.08045977 34.91954023],0
r4,1,0.61016,0.259942,[22  7] ; [46 19],[20.9787234  8.0212766] ; [47.0212766 17.9787234],0
r3,1,0.638466,0.220754,[26  3] ; [56  9],[25.29787234  3.70212766] ; [56.70212766  8.29787234],0
b4,1,0.681433,0.168517,[17 12] ; [41 24],[17.89361702 11.10638298] ; [40.10638298 24.89361702],0
p8,1,0.691158,0.157834,[12 16] ; [25 40],[11.13978495 16.86021505] ; [25.86021505 39.13978495],0
d2,1,0.712455,0.135837,[10 19] ; [25 40],[10.79787234 18.20212766] ; [24.20212766 40.79787234],0
b5,1,0.789127,0.071526,[17 12] ; [40 25],[17.58510638 11.41489362] ; [39.41489362 25.58510638],0
r2,1,0.818984,0.052373,[25  4] ; [54 10],[24.6344086  4.3655914] ; [54.3655914  9.6344086],0
u1,1,0.892031,0.018424,[ 2 27] ; [ 5 60],[ 2.15957447 26.84042553] ; [ 4.84042553 60.15957447],0
p4,1,0.899841,0.015841,[12 17] ; [26 39],[11.72340426 17.27659574] ; [26.27659574 38.72340426],0
v3,1,0.913385,0.011831,[ 7 19] ; [16 46],[ 6.79545455 19.20454545] ; [16.20454545 45.79545455],0
n3,1,0.93814,0.006023,[6 3] ; [15  8],[5.90625 3.09375] ; [15.09375  7.90625],0
n4,1,0.952027,0.003619,[10 19] ; [22 43],[ 9.87234043 19.12765957] ; [22.12765957 42.87234043],0
a4,1,0.979483,0.000661,[ 9 20] ; [20 45],[ 8.94680851 20.05319149] ; [20.05319149 44.94680851],0
