Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3e-06,22.071263,[15 25] ; [86 24],[26.93333333 13.06666667] ; [74.06666667 35.93333333],1
p8,1,0.000487,12.165338,[11 29] ; [64 43],[20.40816327 19.59183673] ; [54.59183673 52.40816327],1
p10,1,0.000659,11.600478,[26 13] ; [99 11],[32.71812081  6.28187919] ; [92.28187919 17.71812081],1
p9,1,0.001246,10.420413,[27 11] ; [101   9],[32.86486486  5.13513514] ; [95.13513514 14.86486486],0
n4,1,0.003462,8.546402,[18 22] ; [78 32],[25.6 14.4] ; [70.4 39.6],0
n6,1,0.008888,6.845269,[28 12] ; [96 13],[33.2885906  6.7114094] ; [90.7114094 18.2885906],0
d5,1,0.024126,5.085543,[36  3] ; [83 27],[31.14765101  7.85234899] ; [87.85234899 22.14765101],0
d2,1,0.038025,4.303909,[24 16] ; [45 65],[18.4 21.6] ; [50.6 59.4],0
p7,1,0.046109,3.977609,[21 19] ; [75 32],[26.12244898 13.87755102] ; [69.87755102 37.12244898],0
p2,1,0.061204,3.50445,[27 13] ; [90 20],[31.2  8.8] ; [85.8 24.2],0
n1,1,0.129524,2.298196,[ 3 13] ; [10 14],[ 5.2 10.8] ; [ 7.8 16.2],0
p4,1,0.131668,2.272727,[20 20] ; [70 40],[24. 16.] ; [66. 44.],0
b1,1,0.13529,2.23073,[18 22] ; [35 75],[14.13333333 25.86666667] ; [38.86666667 71.13333333],0
r1,1,0.141591,2.160586,[27 13] ; [87 23],[30.4  9.6] ; [83.6 26.4],0
s6,1,0.159366,1.980228,[29  8] ; [94 13],[31.60416667  5.39583333] ; [91.39583333 15.60416667],0
d3,1,0.173805,1.849812,[32  7] ; [78 32],[28.79194631 10.20805369] ; [81.20805369 28.79194631],0
p6,1,0.204389,1.610732,[13 27] ; [48 61],[16.37583893 23.62416107] ; [44.62416107 64.37583893],0
p12,1,0.228324,1.45127,[ 1 38] ; [  9 101],[ 2.61744966 36.38255034] ; [  7.38255034 102.61744966],0
n2,1,0.279227,1.170848,[11  5] ; [20  4],[12.4  3.6] ; [18.6  5.4],0
p3,1,0.300764,1.070804,[18 22] ; [60 50],[20.8 19.2] ; [57.2 52.8],0
s5,1,0.306647,1.045064,[21 14] ; [51 51],[18.39416058 16.60583942] ; [53.60583942 48.39416058],0
s7,1,0.337328,0.920561,[19 17] ; [68 42],[21.45205479 14.54794521] ; [65.54794521 44.45205479],0
r2,1,0.35171,0.867278,[39  1] ; [103   7],[37.86666667  2.13333333] ; [104.13333333   5.86666667],0
a7,1,0.355888,0.852352,[29 10] ; [73 37],[26.69798658 12.30201342] ; [75.30201342 34.69798658],0
s3,1,0.361551,0.8325,[27 13] ; [81 27],[29.18918919 10.81081081] ; [78.81081081 29.18918919],0
v1,1,0.388949,0.742225,[17 23] ; [55 54],[19.32885906 20.67114094] ; [52.67114094 56.32885906],0
p1,1,0.421415,0.646367,[ 5 35] ; [  9 101],[ 3.73333333 36.26666667] ; [10.26666667 99.73333333],0
n3,1,0.456057,0.555556,[13  3] ; [17  7],[12.  4.] ; [18.  6.],0
b5,1,0.512366,0.429232,[26 14] ; [65 45],[24.26666667 15.73333333] ; [66.73333333 43.26666667],0
s1,1,0.565757,0.329834,[ 1 39] ; [  5 104],[ 1.61073826 38.38926174] ; [  4.38926174 104.61073826],0
a4,1,0.58237,0.302419,[18 22] ; [44 66],[16.53333333 23.46666667] ; [45.46666667 64.53333333],0
b2,1,0.589224,0.291557,[ 3 14] ; [15 48],[ 3.825 13.175] ; [14.175 48.825],0
b3,1,0.589224,0.291557,[ 3 14] ; [15 48],[ 3.825 13.175] ; [14.175 48.825],0
a6,1,0.609446,0.260983,[24 16] ; [71 39],[25.33333333 14.66666667] ; [69.66666667 40.33333333],0
s8,1,0.639935,0.218827,[19 21] ; [57 53],[20.26666667 19.73333333] ; [55.73333333 54.26666667],0
r4,1,0.641605,0.216649,[37  3] ; [99 11],[36.26666667  3.73333333] ; [99.73333333 10.26666667],0
v2,1,0.660366,0.193079,[20 19] ; [50 56],[18.82758621 20.17241379] ; [51.17241379 54.82758621],0
v4,1,0.714332,0.133989,[38  2] ; [105   4],[38.38926174  1.61073826] ; [104.61073826   4.38926174],0
a2,1,0.731702,0.117555,[ 7 33] ; [22 88],[ 7.73333333 32.26666667] ; [21.26666667 88.73333333],0
v3,1,0.758746,0.094327,[11 28] ; [33 74],[11.75342466 27.24657534] ; [32.24657534 74.75342466],0
p5,1,0.759409,0.093793,[ 3 37] ; [ 10 100],[ 3.46666667 36.53333333] ; [  9.53333333 100.46666667],0
u1,1,0.824987,0.048901,[ 7 33] ; [21 89],[ 7.46666667 32.53333333] ; [20.53333333 89.46666667],0
a5,1,0.831876,0.04507,[28 12] ; [75 35],[27.46666667 12.53333333] ; [75.53333333 34.46666667],0
a8,1,0.868467,0.027425,[ 2 34] ; [ 5 98],[ 1.81294964 34.18705036] ; [ 5.18705036 97.81294964],0
u3,1,0.880229,0.022704,[8 5] ; [23 13],[8.2244898 4.7755102] ; [22.7755102 13.2244898],0
d1,1,0.901157,0.015426,[23 17] ; [62 48],[22.66666667 17.33333333] ; [62.33333333 47.66666667],0
s2,1,0.902948,0.014869,[28 12] ; [76 31],[28.29931973 11.70068027] ; [75.70068027 31.29931973],0
d4,1,0.903218,0.014786,[32  8] ; [87 23],[31.73333333  8.26666667] ; [87.26666667 22.73333333],0
a1,1,0.939098,0.005837,[ 1 39] ; [  3 107],[ 1.06666667 38.93333333] ; [  2.93333333 107.06666667],0
u2,1,0.947251,0.004377,[6 7] ; [17 19],[6.10204082 6.89795918] ; [16.89795918 19.10204082],0
a3,1,0.979061,0.000689,[27 13] ; [74 36],[26.93333333 13.06666667] ; [74.06666667 35.93333333],0
b4,1,1.0,0.0,[24 16] ; [66 44],[24. 16.] ; [66. 44.],0
