Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,39.20697,[ 9 21] ; [77 10],[22.05128205  7.94871795] ; [63.94871795 23.05128205],1
n6,1,1.2e-05,19.158289,[14 16] ; [75 12],[22.82051282  7.17948718] ; [66.17948718 20.82051282],1
p4,1,0.000347,12.796161,[ 8 22] ; [56 31],[16.41025641 13.58974359] ; [47.58974359 39.41025641],1
p7,1,0.001619,9.937447,[12 18] ; [60 23],[19.11504425 10.88495575] ; [52.88495575 30.11504425],0
r4,1,0.006144,7.507465,[20 10] ; [77 10],[24.87179487  5.12820513] ; [72.12820513 14.87179487],0
p10,1,0.018326,5.564709,[18 10] ; [73 13],[22.35087719  5.64912281] ; [68.64912281 17.35087719],0
a1,1,0.021422,5.292135,[ 3 27] ; [ 1 86],[ 1.02564103 28.97435897] ; [ 2.97435897 84.02564103],0
p8,1,0.023364,5.141232,[ 8 22] ; [43 42],[13.30434783 16.69565217] ; [37.69565217 47.30434783],0
u2,1,0.027365,4.867644,[14  3] ; [21 20],[10.25862069  6.74137931] ; [24.74137931 16.25862069],0
a4,1,0.04383,4.063089,[11 19] ; [16 70],[ 6.98275862 23.01724138] ; [20.01724138 65.98275862],0
p3,1,0.050917,3.810992,[ 9 21] ; [44 43],[13.58974359 16.41025641] ; [39.41025641 47.58974359],0
p2,1,0.06371,3.438081,[20 10] ; [72 15],[23.58974359  6.41025641] ; [68.41025641 18.58974359],0
d4,1,0.073399,3.205327,[26  4] ; [61 26],[22.30769231  7.69230769] ; [64.69230769 22.30769231],0
n2,1,0.075426,3.160797,[5 5] ; [14  3],[7.03703704 2.96296296] ; [11.96296296  5.03703704],0
p5,1,0.09091,2.858187,[ 2 28] ; [17 68],[ 4.95652174 25.04347826] ; [14.04347826 70.95652174],0
r3,1,0.106119,2.611082,[26  4] ; [82  4],[27.93103448  2.06896552] ; [80.06896552  5.93103448],0
b2,1,0.13845,2.195103,[6 6] ; [16 41],[3.82608696 8.17391304] ; [18.17391304 38.82608696],0
b3,1,0.13845,2.195103,[6 6] ; [16 41],[3.82608696 8.17391304] ; [18.17391304 38.82608696],0
s7,1,0.155221,2.020178,[ 9 20] ; [37 43],[12.23853211 16.76146789] ; [33.76146789 46.23853211],0
r2,1,0.166511,1.914076,[25  4] ; [81  5],[26.73043478  2.26956522] ; [79.26956522  6.73043478],0
p6,1,0.172965,1.85706,[ 7 20] ; [34 50],[ 9.97297297 17.02702703] ; [31.02702703 52.97297297],0
v2,1,0.189521,1.721335,[14 14] ; [55 31],[16.94736842 11.05263158] ; [52.05263158 33.94736842],0
u3,1,0.205828,1.600529,[13  5] ; [23 19],[10.8  7.2] ; [25.2 16.8],0
s2,1,0.207445,1.589168,[11 19] ; [43 43],[13.96551724 16.03448276] ; [40.03448276 45.96551724],0
n1,1,0.212183,1.556471,[4 6] ; [11  6],[5.55555556 4.44444444] ; [9.44444444 7.55555556],0
s6,1,0.218385,1.51495,[16 12] ; [60 26],[18.66666667  9.33333333] ; [57.33333333 28.66666667],0
a3,1,0.222911,1.485534,[12 18] ; [45 40],[14.86956522 15.13043478] ; [42.13043478 42.86956522],0
p11,1,0.23234,1.426478,[19 11] ; [65 22],[21.53846154  8.46153846] ; [62.46153846 24.53846154],0
v3,1,0.308246,1.038178,[11 18] ; [42 44],[13.36521739 15.63478261] ; [39.63478261 46.36521739],0
d1,1,0.369039,0.806897,[ 8 22] ; [31 56],[10. 20.] ; [29. 58.],0
p12,1,0.397443,0.716049,[ 1 28] ; [ 7 80],[ 2. 27.] ; [ 6. 81.],0
s3,1,0.401949,0.702489,[15 15] ; [50 35],[16.95652174 13.04347826] ; [48.04347826 36.95652174],0
s5,1,0.404035,0.696285,[ 9 17] ; [22 62],[ 7.32727273 18.67272727] ; [23.67272727 60.32727273],0
b4,1,0.432994,0.614778,[18 12] ; [45 42],[16.15384615 13.84615385] ; [46.84615385 40.15384615],0
n3,1,0.455924,0.555882,[7 3] ; [14  3],[7.77777778 2.22222222] ; [13.22222222  3.77777778],0
p9,1,0.484627,0.488434,[23  6] ; [73 13],[24.20869565  4.79130435] ; [71.79130435 14.20869565],0
a6,1,0.486724,0.48376,[14 16] ; [47 40],[15.64102564 14.35897436] ; [45.35897436 41.64102564],0
r1,1,0.490942,0.474461,[19 11] ; [61 26],[20.51282051  9.48717949] ; [59.48717949 27.51282051],0
d3,1,0.502074,0.45055,[19 11] ; [49 38],[17.43589744 12.56410256] ; [50.56410256 36.43589744],0
b5,1,0.573514,0.316838,[19 11] ; [50 37],[17.69230769 12.30769231] ; [51.30769231 35.69230769],0
s8,1,0.652418,0.202865,[10 20] ; [33 54],[11.02564103 18.97435897] ; [31.97435897 55.02564103],0
s1,1,0.688378,0.160847,[ 2 28] ; [ 4 80],[ 1.57894737 28.42105263] ; [ 4.42105263 79.57894737],0
u1,1,0.757232,0.095554,[ 1 29] ; [ 2 85],[ 0.76923077 29.23076923] ; [ 2.23076923 84.76923077],0
a8,1,0.786745,0.073192,[ 3 25] ; [10 69],[ 3.40186916 24.59813084] ; [ 9.59813084 69.40186916],0
b1,1,0.828835,0.046741,[11 19] ; [30 57],[10.51282051 19.48717949] ; [30.48717949 56.51282051],0
v4,1,0.865891,0.028521,[28  2] ; [81  5],[28.18965517  1.81034483] ; [80.81034483  5.18965517],0
a7,1,0.868346,0.027476,[19 11] ; [53 33],[18.62068966 11.37931034] ; [53.37931034 32.62068966],0
s4,1,0.941329,0.005417,[ 5 25] ; [14 73],[ 4.87179487 25.12820513] ; [14.12820513 72.87179487],0
d2,1,0.956424,0.002986,[ 6 24] ; [17 70],[ 5.8974359 24.1025641] ; [17.1025641 69.8974359],0
p1,1,0.957188,0.002882,[ 3 27] ; [ 9 78],[ 3.07692308 26.92307692] ; [ 8.92307692 78.07692308],0
d5,1,1.0,0.0,[20 10] ; [58 29],[20. 10.] ; [58. 29.],0
