Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.022234,5.227371,[3 1] ; [ 6 23],[1.09090909 2.90909091] ; [ 7.90909091 21.09090909],0
s2,1,0.022234,5.227371,[3 1] ; [ 6 23],[1.09090909 2.90909091] ; [ 7.90909091 21.09090909],0
s8,1,0.04295,4.097354,[2 2] ; [ 3 25],[0.625 3.375] ; [ 4.375 23.625],0
s4,1,0.078403,3.097701,[2 2] ; [ 4 25],[0.72727273 3.27272727] ; [ 5.27272727 23.72727273],0
p11,1,0.086611,2.936268,[3 1] ; [ 9 20],[1.45454545 2.54545455] ; [10.54545455 18.45454545],0
a5,1,0.086611,2.936268,[3 1] ; [ 9 20],[1.45454545 2.54545455] ; [10.54545455 18.45454545],0
v3,1,0.086926,2.930403,[2 2] ; [ 4 24],[0.75 3.25] ; [ 5.25 22.75],0
p10,1,0.09769,2.742857,[3 1] ; [ 9 19],[1.5 2.5] ; [10.5 17.5],0
p5,1,0.09769,2.742857,[1 3] ; [ 1 27],[0.25 3.75] ; [ 1.75 26.25],0
v2,1,0.105659,2.617976,[1 3] ; [ 1 26],[0.25806452 3.74193548] ; [ 1.74193548 25.25806452],0
r1,1,0.120024,2.417009,[3 1] ; [10 19],[1.57575758 2.42424242] ; [11.42424242 17.57575758],0
r4,1,0.133002,2.257105,[2 2] ; [ 5 24],[0.84848485 3.15151515] ; [ 6.15151515 22.84848485],0
b5,1,0.159657,1.977476,[3 1] ; [11 18],[1.6969697 2.3030303] ; [12.3030303 16.6969697],0
s3,1,0.196706,1.666667,[2 1] ; [ 8 19],[1. 2.] ; [ 9. 18.],0
n6,1,0.257673,1.281218,[3 1] ; [13 16],[1.93939394 2.06060606] ; [14.06060606 14.93939394],0
p7,1,0.273016,1.201533,[2 1] ; [10 19],[1.125 1.875] ; [10.875 18.125],0
p2,1,0.316079,1.005103,[3 1] ; [14 15],[2.06060606 1.93939394] ; [14.93939394 14.06060606],0
p4,1,0.360505,0.836132,[2 2] ; [ 8 21],[1.21212121 2.78787879] ; [ 8.78787879 20.21212121],0
v1,1,0.360505,0.836132,[2 2] ; [ 8 21],[1.21212121 2.78787879] ; [ 8.78787879 20.21212121],0
b1,1,0.380804,0.768103,[3 1] ; [15 14],[2.18181818 1.81818182] ; [15.81818182 13.18181818],0
a3,1,0.385284,0.753774,[3 1] ; [14 13],[2.19354839 1.80645161] ; [14.80645161 12.19354839],0
s1,1,0.399858,0.708754,[1 3] ; [ 3 26],[0.48484848 3.51515152] ; [ 3.51515152 25.48484848],0
a6,1,0.545323,0.365764,[2 2] ; [10 19],[1.45454545 2.54545455] ; [10.54545455 18.45454545],0
n4,1,0.643297,0.214456,[2 2] ; [18 11],[2.42424242 1.57575758] ; [17.57575758 11.42424242],0
s5,1,0.706063,0.142241,[1 3] ; [ 5 24],[0.72727273 3.27272727] ; [ 5.27272727 23.72727273],0
p1,1,0.706063,0.142241,[1 3] ; [ 5 24],[0.72727273 3.27272727] ; [ 5.27272727 23.72727273],0
p9,1,0.772561,0.083536,[2 2] ; [11 15],[1.73333333 2.26666667] ; [11.26666667 14.73333333],0
b2,1,0.773976,0.082471,[1 2] ; [ 8 11],[1.22727273 1.77272727] ; [ 7.77272727 11.22727273],0
b3,1,0.773976,0.082471,[1 2] ; [ 8 11],[1.22727273 1.77272727] ; [ 7.77272727 11.22727273],0
b4,1,0.845582,0.037931,[2 2] ; [16 13],[2.18181818 1.81818182] ; [15.81818182 13.18181818],0
s6,1,0.881863,0.022084,[1 3] ; [ 8 20],[1.125 2.875] ; [ 7.875 20.125],0
n5,1,0.913303,0.011853,[3 1] ; [21  8],[2.90909091 1.09090909] ; [21.09090909  7.90909091],0
d4,1,0.913303,0.011853,[1 3] ; [ 8 21],[1.09090909 2.90909091] ; [ 7.90909091 21.09090909],0
p3,1,0.969915,0.001422,[1 3] ; [ 7 22],[0.96969697 3.03030303] ; [ 7.03030303 21.96969697],0
