Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,113.660587,[25 51] ; [319  43],[59.68949772 16.31050228] ; [284.31050228  77.68949772],1
n6,1,0.0,34.787988,[51 25] ; [333  30],[66.47835991  9.52164009] ; [317.52164009  45.47835991],1
p10,1,0.000162,14.232663,[55 21] ; [320  40],[65.36697248 10.63302752] ; [309.63302752  50.36697248],1
v3,1,0.000347,12.798147,[19 53] ; [174 178],[32.77358491 39.22641509] ; [160.22641509 191.77358491],1
r1,1,0.004187,8.200801,[54 22] ; [307  55],[62.63926941 13.36073059] ; [298.36073059  63.63926941],0
s7,1,0.004607,8.027558,[30 41] ; [207 135],[40.7433414 30.2566586] ; [196.2566586 145.7433414],0
p11,1,0.004878,7.924139,[55 22] ; [308  55],[63.525 13.475] ; [299.475  63.525],0
u1,1,0.005795,7.61291,[ 8 69] ; [ 90 273],[17.15 59.85] ; [ 80.85 282.15],0
a4,1,0.006494,7.407883,[26 51] ; [184 178],[36.83371298 40.16628702] ; [173.16628702 188.83371298],0
a3,1,0.007385,7.176869,[48 29] ; [278  83],[57.31050228 19.68949772] ; [268.68949772  92.31050228],0
a8,1,0.008004,7.032686,[ 2 68] ; [ 47 281],[ 8.61809045 61.38190955] ; [ 40.38190955 287.61809045],0
r4,1,0.012187,6.283419,[68  9] ; [347  16],[72.625  4.375] ; [342.375  20.625],0
p9,1,0.012435,6.247739,[61 15] ; [326  35],[67.30434783  8.69565217] ; [319.69565217  41.30434783],0
d2,1,0.013699,6.076542,[30 47] ; [197 165],[39.81548975 37.18451025] ; [187.18451025 174.81548975],0
p4,1,0.027882,4.835357,[55 22] ; [299  64],[61.95 15.05] ; [292.05  70.95],0
p6,1,0.03061,4.674694,[27 47] ; [180 178],[35.45833333 38.54166667] ; [171.54166667 186.45833333],0
a2,1,0.037641,4.32119,[13 64] ; [103 260],[20.3 56.7] ; [ 95.7 267.3],0
a5,1,0.044903,4.022292,[53 24] ; [288  75],[59.675 17.325] ; [281.325  81.675],0
d1,1,0.058198,3.588009,[41 36] ; [235 128],[48.3 28.7] ; [227.7 135.3],0
p5,1,0.059657,3.546881,[ 8 69] ; [ 70 290],[13.74370709 63.25629291] ; [ 64.25629291 295.74370709],0
v1,1,0.061714,3.490702,[37 36] ; [221 133],[44.10772834 28.89227166] ; [213.89227166 140.10772834],0
n1,1,0.085971,2.948241,[ 5 15] ; [25 28],[ 8.21917808 11.78082192] ; [21.78082192 31.21917808],0
d5,1,0.091282,2.851618,[60 17] ; [310  52],[64.89749431 12.10250569] ; [305.10250569  56.89749431],0
v2,1,0.110468,2.547508,[37 34] ; [221 134],[43. 28.] ; [215. 140.],0
u3,1,0.114634,2.489149,[22  7] ; [50 34],[18.47787611 10.52212389] ; [53.52212389 30.47787611],0
n3,1,0.145833,2.115301,[13  7] ; [43 10],[15.34246575  4.65753425] ; [40.65753425 12.34246575],0
r2,1,0.146401,2.10935,[72  5] ; [348  11],[74.17431193  2.82568807] ; [345.82568807  13.17431193],0
s4,1,0.150346,2.06874,[18 59] ; [ 59 299],[13.62988506 63.37011494] ; [ 63.37011494 294.62988506],0
s2,1,0.159537,1.978608,[36 41] ; [200 160],[41.58352403 35.41647597] ; [194.41647597 165.58352403],0
s3,1,0.17689,1.823564,[39 37] ; [215 145],[44.27522936 31.72477064] ; [209.72477064 150.27522936],0
s8,1,0.193436,1.691252,[35 42] ; [193 167],[40.17391304 36.82608696] ; [187.82608696 172.17391304],0
a6,1,0.194917,1.680056,[48 29] ; [253 109],[52.79498861 24.20501139] ; [248.20501139 113.79498861],0
b2,1,0.218514,1.514102,[13 28] ; [101 140],[16.57446809 24.42553191] ; [ 97.42553191 143.57446809],0
b3,1,0.218514,1.514102,[13 28] ; [101 140],[16.57446809 24.42553191] ; [ 97.42553191 143.57446809],0
p2,1,0.245505,1.348703,[64 12] ; [322  40],[66.97716895  9.02283105] ; [319.02283105  42.97716895],0
p12,1,0.327164,0.960092,[ 6 71] ; [ 42 319],[ 8.43835616 68.56164384] ; [ 39.56164384 321.43835616],0
p8,1,0.329084,0.9525,[47 30] ; [240 119],[50.68577982 26.31422018] ; [236.31422018 122.68577982],0
a7,1,0.340889,0.907086,[60 17] ; [263  99],[56.65375854 20.34624146] ; [266.34624146  95.65375854],0
r3,1,0.344274,0.894452,[73  4] ; [351  11],[74.3690205  2.6309795] ; [349.6309795  12.3690205],0
b4,1,0.367246,0.812963,[48 29] ; [206 157],[44.45 32.55] ; [209.55 153.45],0
d4,1,0.421581,0.645904,[62 15] ; [305  57],[64.37129841 12.62870159] ; [302.62870159  59.37129841],0
b1,1,0.56873,0.324812,[31 46] ; [159 204],[33.25 43.75] ; [156.75 206.25],0
u2,1,0.659243,0.194444,[17 11] ; [47 37],[16. 12.] ; [48. 36.],0
p1,1,0.725381,0.123395,[10 65] ; [ 43 319],[ 9.09610984 65.90389016] ; [ 43.90389016 318.09610984],0
s5,1,0.794815,0.067633,[31 44] ; [137 208],[30. 45.] ; [138. 207.],0
d3,1,0.818204,0.052834,[52 25] ; [250 113],[52.85 24.15] ; [249.15 113.85],0
s1,1,0.832812,0.044562,[ 2 75] ; [ 11 350],[ 2.28538813 74.71461187] ; [ 10.71461187 350.28538813],0
a1,1,0.885685,0.020669,[ 5 72] ; [ 22 341],[ 4.725 72.275] ; [ 22.275 340.725],0
s6,1,0.943312,0.005056,[55 22] ; [255 100],[55.25462963 21.74537037] ; [254.74537037 100.25462963],0
p7,1,0.959835,0.002536,[58 18] ; [273  86],[57.82988506 18.17011494] ; [273.17011494  85.82988506],0
n2,1,0.966736,0.001739,[15  5] ; [40 13],[15.06849315  4.93150685] ; [39.93150685 13.06849315],0
b5,1,0.979765,0.000643,[44 33] ; [208 155],[44.1 32.9] ; [207.9 155.1],0
