Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2e-06,22.919114,[52 38] ; [200  41],[68.51963746 21.48036254] ; [183.48036254  57.51963746],1
b1,1,3e-06,21.718096,[51 41] ; [ 68 174],[32.77844311 59.22155689] ; [ 86.22155689 155.77844311],1
p9,1,0.002251,9.333099,[65 26] ; [207  34],[74.55421687 16.44578313] ; [197.44578313  43.55421687],0
n6,1,0.005119,7.837041,[63 27] ; [202  39],[72.05438066 17.94561934] ; [192.94561934  48.05438066],0
a5,1,0.005723,7.635393,[52 40] ; [175  67],[62.52694611 29.47305389] ; [164.47305389  77.52694611],0
n4,1,0.007652,7.113101,[56 34] ; [186  56],[65.60240964 24.39759036] ; [176.39759036  65.60240964],0
r4,1,0.009504,6.725535,[70 22] ; [212  30],[77.67664671 14.32335329] ; [204.32335329  37.67664671],0
r3,1,0.012806,6.195782,[82 10] ; [230   9],[86.71903323  5.28096677] ; [225.28096677  13.71903323],0
v4,1,0.020598,5.360513,[81 10] ; [229  10],[85.48484848  5.51515152] ; [224.51515152  14.48484848],0
a3,1,0.032537,4.569999,[56 35] ; [178  64],[63.94594595 27.05405405] ; [170.05405405  71.94594595],0
d1,1,0.051918,3.778418,[40 52] ; [134 108],[47.92814371 44.07185629] ; [126.07185629 115.92814371],0
p12,1,0.063192,3.451551,[ 1 91] ; [ 14 227],[ 4.14414414 87.85585586] ; [ 10.85585586 230.14414414],0
v3,1,0.088178,2.907319,[22 67] ; [ 81 153],[28.38080495 60.61919505] ; [ 74.61919505 159.38080495],0
n5,1,0.091269,2.851852,[55 35] ; [170  70],[61.36363636 28.63636364] ; [163.63636364  76.36363636],0
s1,1,0.104408,2.636882,[ 5 85] ; [  5 233],[ 2.74390244 87.25609756] ; [  7.25609756 230.74390244],0
d5,1,0.125714,2.34465,[68 23] ; [199  43],[72.96396396 18.03603604] ; [194.03603604  47.96396396],0
s5,1,0.130549,2.285968,[31 56] ; [ 64 173],[25.50925926 61.49074074] ; [ 69.49074074 167.50925926],0
s2,1,0.140702,2.170259,[52 40] ; [113 125],[46. 46.] ; [119. 119.],0
n3,1,0.146895,2.104204,[22 11] ; [52 13],[24.91836735  8.08163265] ; [49.08163265 15.91836735],0
s4,1,0.155332,2.019095,[18 74] ; [ 32 208],[13.85542169 78.14457831] ; [ 36.14457831 203.85542169],0
u2,1,0.164257,1.934592,[15 18] ; [38 25],[18.21875 14.78125] ; [34.78125 28.21875],0
v2,1,0.17992,1.798285,[41 47] ; [127 104],[46.34482759 41.65517241] ; [121.65517241 109.34482759],0
r1,1,0.203804,1.614902,[64 27] ; [185  55],[68.45619335 22.54380665] ; [180.54380665  59.45619335],0
s8,1,0.206714,1.594294,[38 54] ; [ 82 160],[33.05389222 58.94610778] ; [ 86.94610778 155.05389222],0
d4,1,0.250061,1.322963,[68 23] ; [194  47],[71.81325301 19.18674699] ; [190.18674699  50.81325301],0
a6,1,0.281211,1.161228,[61 31] ; [175  67],[65.00598802 26.99401198] ; [170.99401198  71.00598802],0
d3,1,0.291372,1.113271,[57 33] ; [168  74],[60.9939759 29.0060241] ; [164.0060241  77.9939759],0
n2,1,0.341798,0.903677,[21 12] ; [46 17],[23.03125  9.96875] ; [43.96875 19.03125],0
p5,1,0.344805,0.892484,[ 3 89] ; [ 14 227],[ 4.6966967 87.3033033] ; [ 12.3033033 228.6966967],0
p1,1,0.365391,0.819279,[ 6 86] ; [ 10 231],[ 4.42042042 87.57957958] ; [ 11.57957958 229.42042042],0
r2,1,0.402673,0.700328,[82  9] ; [222  17],[83.83030303  7.16969697] ; [220.16969697  18.83030303],0
s7,1,0.409175,0.681197,[40 45] ; [ 98 136],[36.77115987 48.22884013] ; [101.22884013 132.77115987],0
b2,1,0.489752,0.47707,[14 29] ; [59 95],[15.93401015 27.06598985] ; [57.06598985 96.93401015],0
b3,1,0.489752,0.47707,[14 29] ; [59 95],[15.93401015 27.06598985] ; [57.06598985 96.93401015],0
a8,1,0.492126,0.471875,[ 9 74] ; [ 30 187],[10.79 72.21] ; [ 28.21 188.79],0
a4,1,0.503478,0.447598,[39 53] ; [112 129],[41.71771772 50.28228228] ; [109.28228228 131.71771772],0
b4,1,0.553985,0.350227,[53 39] ; [148  94],[55.36526946 36.63473054] ; [145.63473054  96.36526946],0
p3,1,0.562225,0.335867,[37 55] ; [ 89 153],[34.70658683 57.29341317] ; [ 91.29341317 150.70658683],0
p6,1,0.597877,0.27821,[26 66] ; [ 61 179],[24.10843373 67.89156627] ; [ 62.89156627 177.10843373],0
u3,1,0.624261,0.239923,[19 16] ; [38 26],[20.15151515 14.84848485] ; [36.84848485 27.15151515],0
b5,1,0.649219,0.206886,[61 31] ; [154  88],[59.22155689 32.77844311] ; [155.77844311  86.22155689],0
a2,1,0.687561,0.161738,[24 68] ; [ 58 184],[22.58682635 69.41317365] ; [ 59.41317365 182.58682635],0
a1,1,0.71709,0.131298,[ 2 90] ; [  7 235],[ 2.47904192 89.52095808] ; [  6.52095808 235.47904192],0
u1,1,0.734201,0.115289,[16 76] ; [ 46 196],[17.07784431 74.92215569] ; [ 44.92215569 197.07784431],0
n1,1,0.749933,0.101587,[11 22] ; [19 44],[10.3125 22.6875] ; [19.6875 43.3125],0
s3,1,0.771756,0.084145,[50 42] ; [133 104],[51.17325228 40.82674772] ; [131.82674772 105.17325228],0
u4,1,0.821639,0.050822,[ 1 91] ; [  2 240],[ 0.82634731 91.17365269] ; [  2.17365269 239.82634731],0
