Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.000233,13.542943,[7 2] ; [ 1 15],[2.88 6.12] ; [ 5.12 10.88],1
a4,1,0.000278,13.211429,[8 1] ; [ 2 13],[3.75 5.25] ; [6.25 8.75],1
v2,1,0.021368,5.296517,[5 4] ; [ 2 14],[2.52 6.48] ; [ 4.48 11.52],0
a2,1,0.021925,5.251736,[4 5] ; [ 1 15],[1.8 7.2] ; [ 3.2 12.8],0
n3,1,0.071031,3.259028,[2 3] ; [7 1],[3.46153846 1.53846154] ; [5.53846154 2.46153846],0
b3,1,0.143235,2.142857,[1 4] ; [6 4],[2.33333333 2.66666667] ; [4.66666667 5.33333333],0
p3,1,0.143235,2.142857,[5 3] ; [ 5 11],[3.33333333 4.66666667] ; [6.66666667 9.33333333],0
b2,1,0.143235,2.142857,[1 4] ; [6 4],[2.33333333 2.66666667] ; [4.66666667 5.33333333],0
p5,1,0.155132,2.021053,[3 5] ; [ 2 14],[1.66666667 6.33333333] ; [ 3.33333333 12.66666667],0
b1,1,0.158379,1.989638,[8 1] ; [10  6],[6.48 2.52] ; [11.52  4.48],0
n4,1,0.173568,1.851852,[7 2] ; [8 8],[5.4 3.6] ; [9.6 6.4],0
a3,1,0.223543,1.481481,[8 1] ; [10  5],[6.75 2.25] ; [11.25  3.75],0
s4,1,0.238149,1.391519,[2 7] ; [ 1 15],[1.08 7.92] ; [ 1.92 14.08],0
n2,1,0.252244,1.310833,[3 2] ; [7 1],[3.84615385 1.15384615] ; [6.15384615 1.84615385],0
s7,1,0.371093,0.8,[4 4] ; [ 5 11],[3. 5.] ; [ 6. 10.],0
v3,1,0.382677,0.762085,[5 4] ; [ 6 10],[3.96 5.04] ; [7.04 8.96],0
r1,1,0.382677,0.762085,[5 4] ; [ 6 10],[3.96 5.04] ; [7.04 8.96],0
p6,1,0.412494,0.671601,[3 6] ; [ 3 13],[2.16 6.84] ; [ 3.84 12.16],0
r2,1,0.412494,0.671601,[6 3] ; [13  3],[6.84 2.16] ; [12.16  3.84],0
a7,1,0.420345,0.649351,[6 3] ; [8 8],[5.04 3.96] ; [8.96 7.04],0
p10,1,0.431847,0.617851,[7 2] ; [10  6],[6.12 2.88] ; [10.88  5.12],0
v4,1,0.431847,0.617851,[7 2] ; [10  6],[6.12 2.88] ; [10.88  5.12],0
p2,1,0.558185,0.342857,[4 4] ; [10  6],[4.66666667 3.33333333] ; [9.33333333 6.66666667],0
p11,1,0.570632,0.321626,[5 4] ; [7 9],[4.32 4.68] ; [7.68 8.32],0
p8,1,0.570632,0.321626,[5 4] ; [7 9],[4.32 4.68] ; [7.68 8.32],0
b5,1,0.609834,0.260417,[6 3] ; [9 7],[5.4 3.6] ; [9.6 6.4],0
p1,1,0.617017,0.250083,[1 8] ; [ 3 13],[1.44 7.56] ; [ 2.56 13.44],0
r4,1,0.629412,0.232859,[2 7] ; [ 5 11],[2.52 6.48] ; [ 4.48 11.52],0
s5,1,0.656005,0.198413,[3 6] ; [ 4 12],[2.52 6.48] ; [ 4.48 11.52],0
s2,1,0.733701,0.115741,[4 5] ; [ 6 10],[3.6 5.4] ; [6.4 9.6],0
a6,1,0.733701,0.115741,[5 4] ; [10  6],[5.4 3.6] ; [9.6 6.4],0
p4,1,0.733701,0.115741,[4 5] ; [ 6 10],[3.6 5.4] ; [6.4 9.6],0
n6,1,0.789561,0.071225,[5 4] ; [8 8],[4.68 4.32] ; [8.32 7.68],0
s6,1,0.789561,0.071225,[5 4] ; [8 8],[4.68 4.32] ; [8.32 7.68],0
s3,1,0.808605,0.058673,[3 6] ; [ 4 10],[2.73913043 6.26086957] ; [4.26086957 9.73913043],0
b4,1,0.834969,0.043403,[6 3] ; [10  6],[5.76 3.24] ; [10.24  5.76],0
s8,1,0.834969,0.043403,[2 7] ; [ 3 13],[1.8 7.2] ; [ 3.2 12.8],0
p9,1,0.875956,0.024366,[7 2] ; [12  4],[6.84 2.16] ; [12.16  3.84],0
n5,1,0.914641,0.011489,[6 3] ; [11  5],[6.12 2.88] ; [10.88  5.12],0
a1,1,0.918299,0.010522,[1 8] ; [ 2 14],[1.08 7.92] ; [ 1.92 14.08],0
s1,1,0.918299,0.010522,[1 8] ; [ 2 14],[1.08 7.92] ; [ 1.92 14.08],0
n1,1,0.928177,0.008125,[3 2] ; [5 3],[3.07692308 1.92307692] ; [4.92307692 3.07692308],0
p7,1,0.968296,0.00158,[3 4] ; [7 9],[3.04347826 3.95652174] ; [6.95652174 9.04347826],0
