Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,186.066754,[250  70] ; [101 281],[160. 160.] ; [191. 191.],1
s2,1,0.0,100.973139,[246  87] ; [145 251],[178.60493827 154.39506173] ; [212.39506173 183.60493827],1
s3,1,0.0,80.904752,[248  84] ; [163 230],[188.20965517 143.79034483] ; [222.79034483 170.20965517],1
s6,1,0.0,76.362689,[281  51] ; [211 178],[226.5520111 105.4479889] ; [265.4479889 123.5520111],1
p6,1,0.0,32.222842,[160 170] ; [108 279],[123.34728033 206.65271967] ; [144.65271967 242.34728033],1
s5,1,0.0,29.805489,[146 169] ; [103 285],[111.57183499 203.42816501] ; [137.42816501 250.57183499],1
p3,1,1e-06,23.477967,[201 134] ; [165 228],[168.42032967 166.57967033] ; [197.57967033 195.42032967],1
p9,1,4e-06,21.308842,[305  27] ; [309  79],[283.12222222  48.87777778] ; [330.87777778  57.12222222],1
d1,1,9e-06,19.63376,[261  74] ; [250 148],[233.54024557 101.45975443] ; [277.45975443 120.54024557],1
p4,1,1.5e-05,18.736776,[230 104] ; [207 183],[201.59944751 132.40055249] ; [235.40055249 154.59944751],1
v3,1,1.7e-05,18.469236,[156 162] ; [127 257],[128.1965812 189.8034188] ; [154.8034188 229.1965812],1
v1,1,1.7e-05,18.46241,[207 117] ; [186 203],[178.58625526 145.41374474] ; [214.41374474 174.58625526],1
n4,1,5.7e-05,16.206666,[278  56] ; [280 117],[254.95485636  79.04514364] ; [303.04514364  93.95485636],1
d2,1,5.9e-05,16.135514,[203 132] ; [181 215],[175.97811218 159.02188782] ; [208.02188782 187.97811218],1
a3,1,9.8e-05,15.178899,[273  61] ; [274 122],[250.27123288  83.72876712] ; [296.72876712  99.27123288],1
p10,1,0.000101,15.11022,[291  40] ; [300  91],[270.9432133  60.0567867] ; [320.0567867  70.9432133],1
n5,1,0.000119,14.802227,[267  66] ; [266 128],[244.1389271  88.8610729] ; [288.8610729 105.1389271],1
p5,1,0.000223,13.625142,[ 53 277] ; [ 29 366],[ 37.32413793 292.67586207] ; [ 44.67586207 350.32413793],1
a5,1,0.000389,12.584381,[275  60] ; [282 116],[254.56343793  80.43656207] ; [302.43656207  95.56343793],1
p12,1,0.000655,11.613547,[ 39 293] ; [ 19 373],[ 26.59668508 305.40331492] ; [ 31.40331492 360.59668508],1
u1,1,0.000699,11.493013,[ 87 248] ; [ 63 335],[ 68.55388813 266.44611187] ; [ 81.44611187 316.55388813],1
p8,1,0.000805,11.229207,[196 133] ; [184 207],[173.63888889 155.36111111] ; [206.36111111 184.63888889],1
u4,1,0.001174,10.530186,[ 15 320] ; [  3 395],[  8.22646658 326.77353342] ; [  9.77353342 388.22646658],0
p7,1,0.001488,10.093824,[226  97] ; [225 160],[205.75282486 117.24717514] ; [245.24717514 139.75282486],0
v2,1,0.011338,6.411505,[203 118] ; [206 177],[186.49005682 134.50994318] ; [222.50994318 160.49005682],0
r1,1,0.011643,6.364413,[288  47] ; [312  84],[274.96580027  60.03419973] ; [325.03419973  70.96580027],0
r4,1,0.012861,6.188066,[316  19] ; [355  43],[306.66439291  28.33560709] ; [364.33560709  33.66439291],0
d5,1,0.02207,5.240219,[304  31] ; [339  59],[293.86766712  41.13233288] ; [349.13233288  48.86766712],0
a8,1,0.023252,5.149547,[ 50 255] ; [ 38 326],[ 40.11958146 264.88041854] ; [ 47.88041854 316.11958146],0
n6,1,0.025522,4.988095,[291  42] ; [322  74],[280.01234568  52.98765432] ; [332.98765432  63.01234568],0
b2,1,0.028019,4.826906,[103 128] ; [ 71 136],[ 91.76712329 139.23287671] ; [ 82.23287671 124.76712329],0
b3,1,0.028019,4.826906,[103 128] ; [ 71 136],[ 91.76712329 139.23287671] ; [ 82.23287671 124.76712329],0
p11,1,0.045853,3.986969,[273  62] ; [300  98],[261.87585266  73.12414734] ; [311.12414734  86.87585266],0
u3,1,0.049384,3.862263,[46 16] ; [72 49],[39.97814208 22.02185792] ; [78.02185792 42.97814208],0
a2,1,0.057789,3.599727,[ 99 236] ; [ 93 305],[ 87.74897681 247.25102319] ; [104.25102319 293.74897681],0
a7,1,0.058871,3.568911,[239  95] ; [309  89],[250.04371585  83.95628415] ; [297.95628415 100.04371585],0
r2,1,0.059588,3.548806,[321   9] ; [373  22],[315.88965517  14.11034483] ; [378.11034483  16.88965517],0
u2,1,0.060135,3.533651,[44 17] ; [70 51],[38.20879121 22.79120879] ; [75.79120879 45.20879121],0
s4,1,0.060694,3.518328,[ 67 266] ; [ 58 333],[ 57.49309392 275.50690608] ; [ 67.50690608 323.49309392],0
p1,1,0.072635,3.222443,[ 30 303] ; [ 22 373],[ 23.78571429 309.21428571] ; [ 28.21428571 366.78571429],0
n1,1,0.120462,2.411303,[31 40] ; [31 66],[26.20238095 44.79761905] ; [35.79761905 61.20238095],0
a6,1,0.209562,1.57445,[224 110] ; [284 114],[231.79234973 102.20765027] ; [276.20765027 121.79234973],0
p2,1,0.209942,1.571824,[286  48] ; [323  70],[279.78817056  54.21182944] ; [329.21182944  63.78817056],0
b1,1,0.220265,1.502642,[136 199] ; [144 254],[127.96725784 207.03274216] ; [152.03274216 245.96725784],0
a4,1,0.222994,1.485001,[170 165] ; [184 214],[161.78717599 173.21282401] ; [192.21282401 205.78717599],0
r3,1,0.303776,1.057543,[324  11] ; [377  19],[321.25170999  13.74829001] ; [379.74829001  16.25170999],0
s1,1,0.394574,0.724799,[ 12 318] ; [ 10 383],[ 10.04149378 319.95850622] ; [ 11.95850622 381.04149378],0
d3,1,0.54501,0.366333,[263  72] ; [305  93],[259.59072306  75.40927694] ; [308.40927694  89.59072306],0
a1,1,0.564739,0.331565,[ 21 314] ; [ 21 377],[ 19.19508868 315.80491132] ; [ 22.80491132 375.19508868],0
n3,1,0.571397,0.320351,[47 25] ; [68 30],[48.70588235 23.29411765] ; [66.29411765 31.70588235],0
b4,1,0.671848,0.179448,[196 139] ; [239 159],[198.80627558 136.19372442] ; [236.19372442 161.80627558],0
n2,1,0.817134,0.053469,[51 21] ; [71 27],[51.67058824 20.32941176] ; [70.32941176 27.67058824],0
b5,1,0.969378,0.001474,[205 130] ; [243 155],[204.74761255 130.25238745] ; [243.25238745 154.74761255],0
