Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1.1e-05,19.312449,[33 20] ; [ 7 34],[22.55319149 30.44680851] ; [17.44680851 23.55319149],1
p9,1,2.5e-05,17.731053,[46  7] ; [19 22],[36.64893617 16.35106383] ; [28.35106383 12.64893617],1
n5,1,0.000513,12.069169,[41 11] ; [18 23],[32.98924731 19.01075269] ; [26.01075269 14.98924731],1
p6,1,0.000531,12.00368,[29 24] ; [ 8 33],[20.86170213 32.13829787] ; [16.13829787 24.86170213],1
n6,1,0.001957,9.589809,[46  6] ; [25 16],[39.69892473 12.30107527] ; [31.30107527  9.69892473],0
s5,1,0.002286,9.304511,[25 25] ; [ 7 31],[18.18181818 31.81818182] ; [13.81818182 24.18181818],0
n4,1,0.002363,9.244002,[40 12] ; [19 22],[32.98924731 19.01075269] ; [26.01075269 14.98924731],0
s2,1,0.002837,8.90965,[37 16] ; [16 25],[29.88297872 23.11702128] ; [23.11702128 17.88297872],0
a3,1,0.004318,8.144919,[38 14] ; [18 23],[31.31182796 20.68817204] ; [24.68817204 16.31182796],0
p2,1,0.013225,6.138793,[48  5] ; [29 12],[43.41489362  9.58510638] ; [33.58510638  7.41489362],0
b4,1,0.013517,6.100107,[33 20] ; [15 26],[27.06382979 25.93617021] ; [20.93617021 20.06382979],0
n1,1,0.016148,5.78669,[12  7] ; [1 7],[9.14814815 9.85185185] ; [3.85185185 4.14814815],0
p1,1,0.021556,5.281243,[ 9 43] ; [ 1 40],[ 5.59139785 46.40860215] ; [ 4.40860215 36.59139785],0
s6,1,0.024562,5.054471,[42  8] ; [26 15],[37.36263736 12.63736264] ; [30.63736264 10.36263736],0
d2,1,0.035127,4.438978,[31 22] ; [15 26],[25.93617021 27.06382979] ; [20.06382979 20.93617021],0
a8,1,0.036533,4.372069,[ 7 37] ; [ 1 39],[ 4.19047619 39.80952381] ; [ 3.80952381 36.19047619],0
v4,1,0.038276,4.292698,[50  3] ; [33  8],[46.79787234  6.20212766] ; [36.20212766  4.79787234],0
v1,1,0.054014,3.712257,[30 23] ; [15 26],[25.37234043 27.62765957] ; [19.62765957 21.37234043],0
p10,1,0.059863,3.541183,[33 19] ; [18 23],[28.51612903 23.48387097] ; [22.48387097 18.51612903],0
a4,1,0.070778,3.264883,[28 25] ; [14 27],[23.68085106 29.31914894] ; [18.31914894 22.68085106],0
u1,1,0.088663,2.898479,[14 39] ; [ 5 36],[10.71276596 42.28723404] ; [ 8.28723404 32.71276596],0
u2,1,0.089346,2.88612,[9 6] ; [ 7 15],[6.48648649 8.51351351] ; [ 9.51351351 12.48648649],0
