Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.033179,4.536526,[6 6] ; [ 1 10],[3.65217391 8.34782609] ; [3.34782609 7.65217391],0
p9,1,0.048734,3.8845,[5 7] ; [9 2],[7.30434783 4.69565217] ; [6.69565217 4.30434783],0
b3,1,0.052958,3.745238,[1 6] ; [4 2],[2.69230769 4.30769231] ; [2.30769231 3.69230769],0
b2,1,0.052958,3.745238,[1 6] ; [4 2],[2.69230769 4.30769231] ; [2.30769231 3.69230769],0
v1,1,0.056745,3.630051,[ 2 10] ; [6 5],[4.17391304 7.82608696] ; [3.82608696 7.17391304],0
n3,1,0.065087,3.402778,[3 1] ; [1 5],[1.6 2.4] ; [2.4 3.6],0
p2,1,0.075529,3.158571,[7 5] ; [10  1],[8.86956522 3.13043478] ; [8.13043478 2.86956522],0
s2,1,0.103522,2.650421,[ 1 11] ; [4 7],[2.60869565 9.39130435] ; [2.39130435 8.60869565],0
s5,1,0.103522,2.650421,[ 1 11] ; [4 7],[2.60869565 9.39130435] ; [2.39130435 8.60869565],0
b4,1,0.133918,2.246483,[10  2] ; [6 5],[8.34782609 3.65217391] ; [7.65217391 3.34782609],0
n6,1,0.145251,2.121429,[6 6] ; [8 2],[7.63636364 4.36363636] ; [6.36363636 3.63636364],0
s8,1,0.146976,2.103355,[3 9] ; [6 5],[4.69565217 7.30434783] ; [4.30434783 6.69565217],0
p8,1,0.146976,2.103355,[3 9] ; [6 5],[4.69565217 7.30434783] ; [4.30434783 6.69565217],0
n2,1,0.196706,1.666667,[3 1] ; [2 4],[2. 2.] ; [3. 3.],0
a6,1,0.264589,1.244589,[6 6] ; [3 8],[4.69565217 7.30434783] ; [4.30434783 6.69565217],0
n5,1,0.264589,1.244589,[6 6] ; [8 3],[7.30434783 4.69565217] ; [6.69565217 4.30434783],0
n4,1,0.264589,1.244589,[6 6] ; [8 3],[7.30434783 4.69565217] ; [6.69565217 4.30434783],0
v3,1,0.28255,1.154783,[ 2 10] ; [4 7],[3.13043478 8.86956522] ; [2.86956522 8.13043478],0
p6,1,0.28255,1.154783,[ 2 10] ; [4 7],[3.13043478 8.86956522] ; [2.86956522 8.13043478],0
p3,1,0.28255,1.154783,[ 2 10] ; [4 7],[3.13043478 8.86956522] ; [2.86956522 8.13043478],0
u3,1,0.293718,1.1025,[2 3] ; [3 1],[2.77777778 2.22222222] ; [2.22222222 1.77777778],0
a7,1,0.305319,1.050816,[8 4] ; [5 6],[6.7826087 5.2173913] ; [6.2173913 4.7826087],0
p4,1,0.305319,1.050816,[4 8] ; [6 5],[5.2173913 6.7826087] ; [4.7826087 6.2173913],0
a8,1,0.314648,1.011065,[3 9] ; [ 1 10],[2.08695652 9.91304348] ; [1.91304348 9.08695652],0
p10,1,0.408451,0.683304,[8 4] ; [9 2],[8.86956522 3.13043478] ; [8.13043478 2.86956522],0
d4,1,0.408451,0.683304,[8 4] ; [9 2],[8.86956522 3.13043478] ; [8.13043478 2.86956522],0
d1,1,0.408451,0.683304,[4 8] ; [2 9],[3.13043478 8.86956522] ; [2.86956522 8.13043478],0
s1,1,0.483578,0.490783,[ 1 11] ; [2 9],[ 1.56521739 10.43478261] ; [1.43478261 9.56521739],0
s6,1,0.536809,0.381485,[5 7] ; [6 5],[5.73913043 6.26086957] ; [5.26086957 5.73913043],0
s3,1,0.537892,0.379461,[ 2 10] ; [3 8],[2.60869565 9.39130435] ; [2.39130435 8.60869565],0
p5,1,0.537892,0.379461,[ 2 10] ; [3 8],[2.60869565 9.39130435] ; [2.39130435 8.60869565],0
v2,1,0.551848,0.354016,[4 8] ; [5 6],[4.69565217 7.30434783] ; [4.30434783 6.69565217],0
r3,1,0.75235,0.099567,[8 4] ; [8 3],[8.34782609 3.65217391] ; [7.65217391 3.34782609],0
u2,1,0.764177,0.09,[3 2] ; [2 2],[2.77777778 2.22222222] ; [2.22222222 1.77777778],0
b1,1,0.794625,0.067761,[7 5] ; [7 4],[7.30434783 4.69565217] ; [6.69565217 4.30434783],0
v4,1,0.794625,0.067761,[7 5] ; [7 4],[7.30434783 4.69565217] ; [6.69565217 4.30434783],0
r4,1,0.794625,0.067761,[5 7] ; [4 7],[4.69565217 7.30434783] ; [4.30434783 6.69565217],0
b5,1,0.794625,0.067761,[7 5] ; [7 4],[7.30434783 4.69565217] ; [6.69565217 4.30434783],0
p11,1,0.794625,0.067761,[7 5] ; [7 4],[7.30434783 4.69565217] ; [6.69565217 4.30434783],0
d3,1,0.827435,0.047521,[6 6] ; [5 6],[5.73913043 6.26086957] ; [5.26086957 5.73913043],0
a5,1,0.854757,0.033508,[7 5] ; [6 5],[6.7826087 5.2173913] ; [6.2173913 4.7826087],0
p7,1,0.854757,0.033508,[7 5] ; [6 5],[6.7826087 5.2173913] ; [6.2173913 4.7826087],0
d5,1,0.878854,0.023232,[8 4] ; [7 4],[7.82608696 4.17391304] ; [7.17391304 3.82608696],0
d2,1,0.901321,0.015374,[3 9] ; [3 8],[3.13043478 8.86956522] ; [2.86956522 8.13043478],0
u1,1,0.948644,0.004149,[ 1 11] ; [ 1 10],[ 1.04347826 10.95652174] ; [ 0.95652174 10.04347826],0
p1,1,0.948644,0.004149,[ 1 11] ; [ 1 10],[ 1.04347826 10.95652174] ; [ 0.95652174 10.04347826],0
a2,1,0.948644,0.004149,[ 1 11] ; [ 1 10],[ 1.04347826 10.95652174] ; [ 0.95652174 10.04347826],0
a1,1,0.948644,0.004149,[ 1 11] ; [ 1 10],[ 1.04347826 10.95652174] ; [ 0.95652174 10.04347826],0
a3,1,1.0,0.0,[7 4] ; [7 4],[7. 4.] ; [7. 4.],0
