Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,32.355556,[28 24] ; [140  16],[42. 10.] ; [126.  30.],1
p10,1,2e-06,23.137716,[27 26] ; [130  25],[40.00480769 12.99519231] ; [116.99519231  38.00480769],1
r3,1,2e-06,23.065229,[40 14] ; [152   6],[48.90566038  5.09433962] ; [143.09433962  14.90566038],1
n5,1,6.6e-05,15.925254,[28 25] ; [126  30],[39.05263158 13.94736842] ; [114.94736842  41.05263158],1
p2,1,8.7e-05,15.396037,[29 24] ; [126  28],[39.68599034 13.31400966] ; [115.31400966  38.68599034],1
r4,1,0.000124,14.726098,[34 20] ; [138  21],[43.6056338 10.3943662] ; [128.3943662  30.6056338],1
n6,1,0.000392,12.569373,[33 19] ; [135  22],[41.79904306 10.20095694] ; [126.20095694  30.79904306],1
n4,1,0.000425,12.420306,[31 22] ; [130  28],[40.44075829 12.55924171] ; [120.55924171  37.44075829],1
s1,1,0.001095,10.659458,[ 6 48] ; [  2 155],[ 2.04739336 51.95260664] ; [  5.95260664 151.04739336],0
p7,1,0.003748,8.402157,[24 28] ; [105  48],[32.72195122 19.27804878] ; [96.27804878 56.72195122],0
b1,1,0.005093,7.846212,[35 19] ; [68 91],[26.11267606 27.88732394] ; [76.88732394 82.11267606],0
s8,1,0.012336,6.261991,[17 36] ; [82 76],[24.86729858 28.13270142] ; [74.13270142 83.86729858],0
s7,1,0.017339,5.661683,[18 30] ; [88 66],[25.18811881 22.81188119] ; [80.81188119 73.18811881],0
a5,1,0.02234,5.219109,[34 20] ; [125  34],[40.30985915 13.69014085] ; [118.69014085  40.30985915],0
p8,1,0.026334,4.933942,[18 35] ; [79 74],[24.95631068 28.04368932] ; [72.04368932 80.95631068],0
p6,1,0.034868,4.45162,[12 41] ; [58 92],[18.27586207 34.72413793] ; [51.72413793 98.27586207],0
r1,1,0.037876,4.310603,[34 20] ; [123  36],[39.8028169 14.1971831] ; [117.1971831  41.8028169],0
v4,1,0.049186,3.868998,[43 11] ; [143  16],[47.15492958  6.84507042] ; [138.84507042  20.15492958],0
r2,1,0.0938,2.807913,[43  9] ; [143  14],[46.27751196  5.72248804] ; [139.72248804  17.27751196],0
v1,1,0.096692,2.759272,[24 29] ; [90 64],[29.1884058 23.8115942] ; [84.8115942 69.1884058],0
a6,1,0.101104,2.68804,[15 39] ; [64 95],[20.02816901 33.97183099] ; [ 58.97183099 100.02816901],0
p5,1,0.120751,2.407558,[ 3 50] ; [ 21 134],[ 6.11538462 46.88461538] ; [ 17.88461538 137.11538462],0
a3,1,0.129532,2.298103,[37 16] ; [127  32],[41. 12.] ; [123.  36.],0
s3,1,0.173989,1.848232,[25 27] ; [93 65],[29.21904762 22.78095238] ; [88.78095238 69.21904762],0
d5,1,0.183848,1.766238,[42 12] ; [136  23],[45.12676056  8.87323944] ; [132.87323944  26.12676056],0
v2,1,0.18597,1.749257,[24 30] ; [84 69],[28.17391304 25.82608696] ; [79.82608696 73.17391304],0
p12,1,0.19449,1.683276,[ 1 52] ; [ 10 143],[ 2.83009709 50.16990291] ; [  8.16990291 144.83009709],0
b4,1,0.195558,1.67524,[33 21] ; [81 78],[28.90140845 25.09859155] ; [85.09859155 73.90140845],0
p4,1,0.211966,1.557949,[24 28] ; [87 68],[27.88405797 24.11594203] ; [83.11594203 71.88405797],0
b2,1,0.212512,1.554229,[12 20] ; [55 55],[15.09859155 16.90140845] ; [51.90140845 58.09859155],0
b3,1,0.212512,1.554229,[12 20] ; [55 55],[15.09859155 16.90140845] ; [51.90140845 58.09859155],0
s6,1,0.216105,1.530047,[29 23] ; [100  53],[32.72195122 19.27804878] ; [96.27804878 56.72195122],0
d2,1,0.21781,1.518739,[33 20] ; [83 75],[29.13744076 23.86255924] ; [86.86255924 71.13744076],0
n2,1,0.222483,1.48828,[15  9] ; [27  8],[17.08474576  6.91525424] ; [24.91525424 10.08474576],0
a1,1,0.245458,1.348973,[ 6 48] ; [ 10 149],[ 4.05633803 49.94366197] ; [ 11.94366197 147.05633803],0
v3,1,0.31927,0.991935,[17 33] ; [65 90],[20. 30.] ; [62. 93.],0
s5,1,0.330608,0.946516,[18 33] ; [65 86],[20.95544554 30.04455446] ; [62.04455446 88.95544554],0
s2,1,0.344257,0.894515,[24 30] ; [82 76],[27. 27.] ; [79. 79.],0
a8,1,0.357256,0.847516,[ 3 50] ; [ 15 138],[ 4.63106796 48.36893204] ; [ 13.36893204 139.63106796],0
b5,1,0.359537,0.83951,[28 26] ; [71 88],[25.09859155 28.90140845] ; [73.90140845 85.09859155],0
s4,1,0.4119,0.67331,[12 42] ; [ 27 130],[ 9.98104265 44.01895735] ; [ 29.01895735 127.98104265],0
p3,1,0.427013,0.630934,[24 29] ; [81 76],[26.5 26.5] ; [78.5 78.5],0
u2,1,0.464236,0.535662,[8 9] ; [18 13],[9.20833333 7.79166667] ; [16.79166667 14.20833333],0
u1,1,0.476486,0.506894,[ 2 52] ; [ 10 149],[ 3.04225352 50.95774648] ; [  8.95774648 150.04225352],0
d1,1,0.527194,0.399797,[31 23] ; [99 60],[32.95774648 21.04225352] ; [97.04225352 61.95774648],0
p1,1,0.589577,0.291005,[ 5 49] ; [ 11 146],[ 4.09478673 49.90521327] ; [ 11.90521327 145.09478673],0
u4,1,0.619834,0.246101,[ 1 53] ; [  5 154],[ 1.52112676 52.47887324] ; [  4.47887324 154.52112676],0
n3,1,0.622283,0.242672,[14 10] ; [22 12],[14.89655172  9.10344828] ; [21.10344828 12.89655172],0
d3,1,0.663674,0.189091,[26 28] ; [82 77],[27.38028169 26.61971831] ; [80.61971831 78.38028169],0
a2,1,0.749709,0.101776,[ 4 50] ; [ 14 145],[ 4.56338028 49.43661972] ; [ 13.43661972 145.56338028],0
u3,1,0.844579,0.038431,[8 9] ; [16 16],[8.32653061 8.67346939] ; [15.67346939 16.32653061],0
n1,1,0.92757,0.008263,[10 14] ; [15 20],[10.16949153 13.83050847] ; [14.83050847 20.16949153],0
a4,1,0.936787,0.00629,[26 27] ; [79 80],[26.25 26.75] ; [78.75 80.25],0
