Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,7e-06,20.094307,[39 13] ; [ 8 24],[29.0952381 22.9047619] ; [17.9047619 14.0952381],1
r3,1,0.00254,9.111779,[41 11] ; [15 17],[34.66666667 17.33333333] ; [21.33333333 10.66666667],0
v4,1,0.019267,5.477116,[39 13] ; [16 16],[34.04761905 17.95238095] ; [20.95238095 11.04761905],0
r2,1,0.023167,5.155943,[45  6] ; [21 10],[41.04878049  9.95121951] ; [24.95121951  6.04878049],0
u2,1,0.051883,3.779526,[12  9] ; [ 3 10],[ 9.26470588 11.73529412] ; [5.73529412 7.26470588],0
v3,1,0.064733,3.411775,[19 31] ; [ 6 26],[15.24390244 34.75609756] ; [ 9.75609756 22.24390244],0
d3,1,0.077194,3.123015,[19 33] ; [18 14],[22.9047619 29.0952381] ; [14.0952381 17.9047619],0
u3,1,0.105264,2.62392,[13  9] ; [4 9],[10.68571429 11.31428571] ; [6.31428571 6.68571429],0
n2,1,0.109281,2.56459,[14 10] ; [4 9],[11.67567568 12.32432432] ; [6.32432432 6.67567568],0
a7,1,0.128589,2.309459,[30 22] ; [13 19],[26.61904762 25.38095238] ; [16.38095238 15.61904762],0
d2,1,0.132648,2.261233,[23 29] ; [19 12],[26.31325301 25.68674699] ; [15.68674699 15.31325301],0
s8,1,0.136095,2.221563,[ 9 42] ; [ 2 30],[ 6.75903614 44.24096386] ; [ 4.24096386 27.75903614],0
p10,1,0.148761,2.084908,[11 40] ; [ 3 29],[ 8.60240964 42.39759036] ; [ 5.39759036 26.60240964],0
s5,1,0.148761,2.084908,[11 40] ; [ 3 29],[ 8.60240964 42.39759036] ; [ 5.39759036 26.60240964],0
n3,1,0.17196,1.865769,[11  9] ; [4 9],[ 9.09090909 10.90909091] ; [5.90909091 7.09090909],0
a6,1,0.177634,1.817308,[23 29] ; [19 13],[26. 26.] ; [16. 16.],0
s6,1,0.209582,1.574312,[23 28] ; [10 22],[20.27710843 30.72289157] ; [12.72289157 19.27710843],0
b4,1,0.224257,1.476923,[33 19] ; [16 16],[30.33333333 21.66666667] ; [18.66666667 13.33333333],0
s3,1,0.238168,1.391402,[20 32] ; [ 8 23],[17.54216867 34.45783133] ; [10.45783133 20.54216867],0
s4,1,0.253652,1.303077,[ 4 48] ; [ 5 27],[ 5.57142857 46.42857143] ; [ 3.42857143 28.57142857],0
a1,1,0.253652,1.303077,[ 4 48] ; [ 5 27],[ 5.57142857 46.42857143] ; [ 3.42857143 28.57142857],0
p1,1,0.278412,1.174825,[ 3 49] ; [ 4 28],[ 4.33333333 47.66666667] ; [ 2.66666667 29.33333333],0
p8,1,0.283176,1.151783,[ 7 45] ; [ 7 24],[ 8.77108434 43.22891566] ; [ 5.22891566 25.77108434],0
n6,1,0.288316,1.127469,[33 19] ; [16 15],[30.69879518 21.30120482] ; [18.30120482 12.69879518],0
s2,1,0.299387,1.076923,[15 37] ; [ 6 26],[13. 39.] ; [ 8. 24.],0
p11,1,0.333227,0.936315,[20 32] ; [ 9 23],[17.95238095 34.04761905] ; [11.04761905 20.95238095],0
s7,1,0.38579,0.75217,[12 36] ; [ 5 25],[10.46153846 37.53846154] ; [ 6.53846154 23.46153846],0
d5,1,0.399489,0.709865,[31 21] ; [22 10],[32.80952381 19.19047619] ; [20.19047619 11.80952381],0
