Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.0,32.051643,[  7 330] ; [16 79],[ 17.94212963 319.05787037] ; [ 5.05787037 89.94212963],1
s6,1,0.0,25.837001,[147 189] ; [69 25],[168.78139535 167.21860465] ; [47.21860465 46.78139535],1
s2,1,4e-06,21.515824,[ 80 255] ; [46 49],[ 98.1627907 236.8372093] ; [27.8372093 67.1627907],1
d4,1,0.000452,12.302575,[253  85] ; [87  8],[265.40415704  72.59584296] ; [74.59584296 20.40415704],1
v1,1,0.004312,8.147539,[147 183] ; [57 36],[159.14893617 170.85106383] ; [44.85106383 48.14893617],0
p10,1,0.006367,7.443465,[237  96] ; [80 14],[247.21545667  85.78454333] ; [69.78454333 24.21545667],0
s3,1,0.00837,6.952503,[113 219] ; [46 48],[123.91549296 208.08450704] ; [35.08450704 58.91549296],0
p3,1,0.011161,6.439491,[121 214] ; [48 47],[131.6627907 203.3372093] ; [37.3372093 57.6627907],0
a5,1,0.013303,6.128351,[211 127] ; [73 23],[221.1797235 116.8202765] ; [62.8202765 33.1797235],0
b5,1,0.015067,5.908658,[222 116] ; [50 46],[211.83410138 126.16589862] ; [60.16589862 35.83410138],0
a7,1,0.016093,5.792685,[254  82] ; [60 35],[244.78886311  91.21113689] ; [69.21113689 25.78886311],0
p12,1,0.018309,5.566382,[ 12 324] ; [ 9 86],[ 16.3712297 319.6287703] ; [ 4.6287703 90.3712297],0
n6,1,0.0185,5.54815,[261  76] ; [84 11],[269.13194444  67.86805556] ; [75.86805556 19.13194444],0
d1,1,0.041865,4.140635,[168 170] ; [59 37],[176.78801843 161.21198157] ; [50.21198157 45.78801843],0
s4,1,0.043834,4.062928,[ 38 296] ; [18 75],[ 43.80327869 290.19672131] ; [12.19672131 80.80327869],0
r4,1,0.050051,3.839757,[292  46] ; [90  6],[297.50230415  40.49769585] ; [84.49769585 11.50230415],0
s8,1,0.050493,3.825012,[ 55 283] ; [24 72],[ 61.52534562 276.47465438] ; [17.47465438 78.52534562],0
p7,1,0.051952,3.777303,[180 149] ; [62 32],[188.22222222 140.77777778] ; [53.77777778 40.22222222],0
p9,1,0.052342,3.764812,[252  82] ; [79 14],[258.90866511  75.09133489] ; [72.09133489 20.90866511],0
a4,1,0.06082,3.514876,[122 214] ; [45 51],[129.88888889 206.11111111] ; [37.11111111 58.88888889],0
p6,1,0.063429,3.445365,[ 79 253] ; [31 62],[ 85.92941176 246.07058824] ; [24.07058824 68.92941176],0
p1,1,0.069828,3.287055,[ 18 319] ; [10 85],[ 21.84259259 315.15740741] ; [ 6.15740741 88.84259259],0
p8,1,0.080181,3.061226,[148 184] ; [52 43],[155.50351288 176.49648712] ; [44.49648712 50.50351288],0
p4,1,0.102402,2.667729,[156 177] ; [53 41],[162.99063232 170.00936768] ; [46.00936768 47.99063232],0
b2,1,0.10643,2.606452,[ 54 124] ; [22 30],[ 58.8173913 119.1826087] ; [17.1826087 34.8173913],0
b3,1,0.10643,2.606452,[ 54 124] ; [22 30],[ 58.8173913 119.1826087] ; [17.1826087 34.8173913],0
d2,1,0.124071,2.365168,[132 206] ; [45 49],[138.48611111 199.51388889] ; [38.51388889 55.48611111],0
a1,1,0.130957,2.28112,[ 10 328] ; [ 6 90],[ 12.46082949 325.53917051] ; [ 3.53917051 92.46082949],0
a6,1,0.140143,2.17639,[238 100] ; [60 36],[232.08294931 105.91705069] ; [65.91705069 30.08294931],0
u1,1,0.150711,2.06504,[ 32 306] ; [14 82],[ 35.82488479 302.17511521] ; [10.17511521 85.82488479],0
u2,1,0.210944,1.564933,[70 61] ; [15 21],[66.67664671 64.32335329] ; [18.32335329 17.67664671],0
r1,1,0.238952,1.386765,[249  87] ; [76 19],[253.36426914  82.63573086] ; [71.63573086 23.36426914],0
r2,1,0.290696,1.116394,[310  24] ; [92  4],[312.25116279  21.74883721] ; [89.74883721  6.25116279],0
b1,1,0.292441,1.10835,[129 209] ; [31 65],[124.60829493 213.39170507] ; [35.39170507 60.60829493],0
d5,1,0.30276,1.061996,[257  80] ; [78 18],[260.72748268  76.27251732] ; [74.27251732 21.72748268],0
p11,1,0.309064,1.034671,[258  80] ; [78 18],[261.67741935  76.32258065] ; [74.32258065 21.67741935],0
n2,1,0.352274,0.865248,[65 28] ; [13  3],[66.55045872 26.44954128] ; [11.44954128  4.55045872],0
b4,1,0.381793,0.76492,[198 140] ; [61 35],[201.70967742 136.29032258] ; [57.29032258 38.70967742],0
a2,1,0.551374,0.354861,[ 58 280] ; [19 77],[ 59.96774194 278.03225806] ; [17.03225806 78.96774194],0
p2,1,0.561111,0.337785,[266  69] ; [78 17],[268.  67.] ; [76. 19.],0
n5,1,0.641991,0.216147,[220 114] ; [65 30],[221.88811189 112.11188811] ; [63.11188811 31.88811189],0
v2,1,0.706553,0.141744,[161 158] ; [49 44],[162.59708738 156.40291262] ; [47.40291262 45.59708738],0
v3,1,0.726652,0.122208,[101 224] ; [31 63],[102.38663484 222.61336516] ; [29.61336516 64.38663484],0
n1,1,0.734966,0.114601,[27 66] ; [ 5 10],[27.55555556 65.44444444] ; [ 4.44444444 10.55555556],0
n4,1,0.778431,0.079166,[223 114] ; [65 31],[224.147806 112.852194] ; [63.852194 32.147806],0
a3,1,0.821945,0.050645,[205 132] ; [59 36],[205.94444444 131.05555556] ; [58.05555556 36.94444444],0
s1,1,0.850162,0.035688,[  6 326] ; [ 2 93],[  6.22014052 325.77985948] ; [ 1.77985948 93.22014052],0
r3,1,0.866241,0.028371,[315  23] ; [89  6],[315.36258661  22.63741339] ; [88.63741339  6.36258661],0
a8,1,0.916096,0.011099,[ 29 279] ; [ 9 83],[ 29.26 278.74] ; [ 8.74 83.26],0
n3,1,0.92704,0.008385,[68 24] ; [12  4],[68.14814815 23.85185185] ; [11.85185185  4.14814815],0
u3,1,0.951761,0.00366,[71 59] ; [20 17],[70.83832335 59.16167665] ; [20.16167665 16.83832335],0
d3,1,0.957053,0.0029,[218 118] ; [62 34],[217.77777778 118.22222222] ; [62.22222222 33.77777778],0
