Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,24.75,[11 22] ; [55 11],[22. 11.] ; [44. 22.],1
p9,1,1.3e-05,18.960614,[15 18] ; [58  9],[24.09  8.91] ; [48.91 18.09],1
r4,1,0.003376,8.592469,[24 10] ; [62  5],[28.95049505  5.04950495] ; [57.04950495  9.95049505],0
s4,1,0.004321,8.143569,[13 21] ; [ 9 58],[ 7.40594059 26.59405941] ; [14.59405941 52.40594059],0
p8,1,0.005877,7.587504,[12 22] ; [43 24],[18.51485149 15.48514851] ; [36.48514851 30.51485149],0
r3,1,0.009927,6.647949,[28  6] ; [65  2],[31.30693069  2.69306931] ; [61.69306931  5.30693069],0
p7,1,0.009982,6.63816,[19 15] ; [53 13],[24.48  9.52] ; [47.52 18.48],0
r1,1,0.021912,5.252724,[20 14] ; [53 13],[24.82  9.18] ; [48.18 17.82],0
r2,1,0.032078,4.594342,[29  5] ; [63  2],[31.5959596  2.4040404] ; [60.4040404  4.5959596],0
b3,1,0.032849,4.553627,[ 2 16] ; [17 27],[ 5.51612903 12.48387097] ; [13.48387097 30.51612903],0
b2,1,0.032849,4.553627,[ 2 16] ; [17 27],[ 5.51612903 12.48387097] ; [13.48387097 30.51612903],0
a7,1,0.037179,4.342199,[19 15] ; [51 16],[23.56435644 10.43564356] ; [46.43564356 20.56435644],0
a6,1,0.050898,3.811613,[16 18] ; [45 22],[20.53465347 13.46534653] ; [40.46534653 26.53465347],0
n6,1,0.053256,3.735859,[15 18] ; [44 23],[19.47 13.53] ; [39.53 27.47],0
b1,1,0.057696,3.602392,[21 13] ; [28 39],[16.4950495 17.5049505] ; [32.5049505 34.4950495],0
p2,1,0.070359,3.274627,[25  9] ; [58  8],[28.22  5.78] ; [54.78 11.22],0
s8,1,0.103054,2.657633,[10 24] ; [31 36],[13.8019802 20.1980198] ; [27.1980198 39.8019802],0
u2,1,0.115926,2.471514,[6 7] ; [16  6],[8.17142857 4.82857143] ; [13.82857143  8.17142857],0
d2,1,0.133351,2.253052,[18 16] ; [25 42],[14.47524752 19.52475248] ; [28.52475248 38.47524752],0
u3,1,0.236289,1.402597,[9 5] ; [18  4],[10.5  3.5] ; [16.5  5.5],0
v2,1,0.24811,1.333912,[13 19] ; [34 30],[15.66666667 16.33333333] ; [31.33333333 32.66666667],0
u1,1,0.249711,1.324919,[ 2 32] ; [ 9 58],[ 3.7029703 30.2970297] ; [ 7.2970297 59.7029703],0
a5,1,0.27907,1.171615,[23 11] ; [52 15],[25.24752475  8.75247525] ; [49.75247525 17.24752475],0
s2,1,0.287644,1.130615,[18 16] ; [28 39],[15.48514851 18.51485149] ; [30.51485149 36.48514851],0
n4,1,0.293376,1.104065,[13 21] ; [33 34],[15.48514851 18.51485149] ; [30.51485149 36.48514851],0
p6,1,0.348315,0.879588,[12 22] ; [28 34],[14.16666667 19.83333333] ; [25.83333333 36.16666667],0
p12,1,0.36366,0.825215,[ 1 33] ; [ 5 62],[ 2.01980198 31.98019802] ; [ 3.98019802 63.01980198],0
p4,1,0.395883,0.720795,[21 13] ; [47 20],[22.89108911 11.10891089] ; [45.10891089 21.89108911],0
a3,1,0.408211,0.684005,[20 14] ; [45 22],[21.88118812 12.11881188] ; [43.11881188 23.88118812],0
b5,1,0.439724,0.597001,[22 12] ; [38 29],[20.1980198 13.8019802] ; [39.8019802 27.1980198],0
v1,1,0.445601,0.581818,[12 21] ; [28 35],[13.75 19.25] ; [26.25 36.75],0
a2,1,0.451945,0.565768,[ 5 29] ; [14 53],[ 6.3960396 27.6039604] ; [12.6039604 54.3960396],0
n2,1,0.492519,0.471018,[7 2] ; [9 5],[6.26086957 2.73913043] ; [9.73913043 4.26086957],0
