Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,0.014973,5.919676,[ 2 40] ; [3 7],[ 4.03846154 37.96153846] ; [0.96153846 9.03846154],0
v1,1,0.024547,5.055556,[ 7 35] ; [5 5],[ 9.69230769 32.30769231] ; [2.30769231 7.69230769],0
a3,1,0.025471,4.991603,[21 20] ; [9 1],[24.11764706 16.88235294] ; [5.88235294 4.11764706],0
r4,1,0.031747,4.612115,[ 1 41] ; [2 8],[ 2.42307692 39.57692308] ; [0.57692308 9.42307692],0
v2,1,0.038639,4.276655,[ 5 36] ; [4 6],[ 7.23529412 33.76470588] ; [1.76470588 8.23529412],0
r1,1,0.060452,3.52493,[12 30] ; [6 4],[14.53846154 27.46153846] ; [3.46153846 6.53846154],0
r2,1,0.099958,2.706209,[24 16] ; [8 1],[26.12244898 13.87755102] ; [5.87755102 3.12244898],0
n2,1,0.118648,2.435079,[10 14] ; [4 1],[11.5862069 12.4137931] ; [2.4137931 2.5862069],0
p2,1,0.181799,1.782857,[18 24] ; [2 8],[16.15384615 25.84615385] ; [3.84615385 6.15384615],0
p12,1,0.260178,1.26781,[ 1 41] ; [1 9],[ 1.61538462 40.38461538] ; [0.38461538 9.61538462],0
b5,1,0.313359,1.016463,[20 22] ; [3 7],[18.57692308 23.42307692] ; [4.42307692 5.57692308],0
p8,1,0.321313,0.983595,[10 31] ; [4 6],[11.25490196 29.74509804] ; [2.74509804 7.25490196],0
d4,1,0.328424,0.955102,[24 18] ; [4 6],[22.61538462 19.38461538] ; [5.38461538 4.61538462],0
a2,1,0.351382,0.868461,[ 4 38] ; [2 8],[ 4.84615385 37.15384615] ; [1.15384615 8.84615385],0
p1,1,0.351382,0.868461,[ 4 38] ; [2 8],[ 4.84615385 37.15384615] ; [1.15384615 8.84615385],0
s8,1,0.351382,0.868461,[ 4 38] ; [2 8],[ 4.84615385 37.15384615] ; [1.15384615 8.84615385],0
d2,1,0.352513,0.864389,[14 27] ; [5 5],[15.2745098 25.7254902] ; [3.7254902 6.2745098],0
n4,1,0.380722,0.768369,[23 19] ; [7 3],[24.23076923 17.76923077] ; [5.76923077 4.23076923],0
n5,1,0.411635,0.674074,[28 14] ; [8 2],[29.07692308 12.92307692] ; [6.92307692 3.07692308],0
b2,1,0.451259,0.567488,[12 17] ; [4 3],[12.88888889 16.11111111] ; [3.11111111 3.88888889],0
b3,1,0.451259,0.567488,[12 17] ; [4 3],[12.88888889 16.11111111] ; [3.11111111 3.88888889],0
n1,1,0.453319,0.56234,[10 14] ; [3 2],[10.75862069 13.24137931] ; [2.24137931 2.75862069],0
p7,1,0.487416,0.482225,[14 27] ; [2 7],[13.12 27.88] ; [2.88 6.12],0
a1,1,0.500271,0.454361,[ 5 37] ; [2 8],[ 5.65384615 36.34615385] ; [1.34615385 8.65384615],0
s2,1,0.500271,0.454361,[ 5 37] ; [2 8],[ 5.65384615 36.34615385] ; [1.34615385 8.65384615],0
p10,1,0.505587,0.44319,[17 24] ; [3 7],[16.07843137 24.92156863] ; [3.92156863 6.07843137],0
u1,1,0.523167,0.407645,[ 2 40] ; [1 9],[ 2.42307692 39.57692308] ; [0.57692308 9.42307692],0
n6,1,0.527179,0.399826,[16 25] ; [5 5],[16.88235294 24.11764706] ; [4.11764706 5.88235294],0
v4,1,0.569479,0.323556,[21 21] ; [6 4],[21.80769231 20.19230769] ; [5.19230769 4.80769231],0
a5,1,0.569479,0.323556,[21 21] ; [6 4],[21.80769231 20.19230769] ; [5.19230769 4.80769231],0
a7,1,0.583792,0.300144,[17 25] ; [5 5],[17.76923077 24.23076923] ; [4.23076923 5.76923077],0
s4,1,0.599495,0.275758,[ 7 35] ; [1 9],[ 6.46153846 35.53846154] ; [1.53846154 8.46153846],0
p4,1,0.601933,0.27209,[13 29] ; [2 7],[12.35294118 29.64705882] ; [2.64705882 6.35294118],0
s3,1,0.628656,0.233888,[11 29] ; [2 8],[10.4 29.6] ; [2.6 7.4],0
d5,1,0.664032,0.188662,[22 20] ; [6 4],[22.61538462 19.38461538] ; [5.38461538 4.61538462],0
b4,1,0.664032,0.188662,[22 20] ; [6 4],[22.61538462 19.38461538] ; [5.38461538 4.61538462],0
p6,1,0.675693,0.175014,[ 6 35] ; [2 8],[ 6.43137255 34.56862745] ; [1.56862745 8.43137255],0
p3,1,0.684522,0.165079,[10 32] ; [3 7],[10.5 31.5] ; [2.5 7.5],0
p11,1,0.684522,0.165079,[11 31] ; [2 8],[10.5 31.5] ; [2.5 7.5],0
a4,1,0.728362,0.120621,[14 27] ; [4 6],[14.47058824 26.52941176] ; [3.52941176 6.47058824],0
n3,1,0.755189,0.097222,[10 14] ; [2 2],[10.28571429 13.71428571] ; [1.71428571 2.28571429],0
p5,1,0.777217,0.08006,[ 3 38] ; [1 9],[ 3.21568627 37.78431373] ; [0.78431373 9.21568627],0
s7,1,0.794405,0.06791,[ 7 31] ; [2 7],[ 7.27659574 30.72340426] ; [1.72340426 7.27659574],0
d1,1,0.839955,0.040784,[14 28] ; [3 7],[13.73076923 28.26923077] ; [3.26923077 6.73076923],0
a6,1,0.892269,0.018342,[20 22] ; [5 5],[20.19230769 21.80769231] ; [4.80769231 5.19230769],0
d3,1,0.892269,0.018342,[20 22] ; [5 5],[20.19230769 21.80769231] ; [4.80769231 5.19230769],0
b1,1,0.911402,0.012381,[26 16] ; [6 4],[25.84615385 16.15384615] ; [6.15384615 3.84615385],0
p9,1,0.929018,0.007935,[15 24] ; [4 6],[15.12244898 23.87755102] ; [3.87755102 6.12244898],0
