Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,9.5e-05,15.229215,[29  1] ; [10 10],[23.4  6.6] ; [15.6  4.4],1
a6,1,0.000378,12.636864,[22  9] ; [ 4 16],[15.80392157 15.19607843] ; [10.19607843  9.80392157],1
d3,1,0.008378,6.950806,[25  6] ; [ 9 11],[20.66666667 10.33333333] ; [13.33333333  6.66666667],0
d2,1,0.01461,5.962914,[ 8 23] ; [12  8],[12.15686275 18.84313725] ; [ 7.84313725 12.15686275],0
p9,1,0.027469,4.861111,[28  2] ; [14  6],[25.2  4.8] ; [16.8  3.2],0
p1,1,0.027469,4.861111,[ 2 28] ; [ 6 14],[ 4.8 25.2] ; [ 3.2 16.8],0
a4,1,0.035264,4.43233,[ 8 23] ; [11  9],[11.54901961 19.45098039] ; [ 7.45098039 12.54901961],0
p7,1,0.037416,4.331387,[13 17] ; [14  5],[16.53061224 13.46938776] ; [10.46938776  8.53061224],0
b5,1,0.049946,3.84328,[18 13] ; [ 6 14],[14.58823529 16.41176471] ; [ 9.41176471 10.58823529],0
s4,1,0.077535,3.115836,[ 8 23] ; [10 10],[10.94117647 20.05882353] ; [ 7.05882353 12.94117647],0
p11,1,0.092056,2.83805,[24  7] ; [11  9],[21.2745098  9.7254902] ; [13.7254902  6.2745098],0
p2,1,0.137007,2.211257,[25  5] ; [13  7],[22.8  7.2] ; [15.2  4.8],0
b2,1,0.182566,1.776608,[8 8] ; [ 4 11],[6.19354839 9.80645161] ; [5.80645161 9.19354839],0
b3,1,0.182566,1.776608,[8 8] ; [ 4 11],[6.19354839 9.80645161] ; [5.80645161 9.19354839],0
s8,1,0.278927,1.17231,[14 17] ; [ 6 14],[12.15686275 18.84313725] ; [ 7.84313725 12.15686275],0
u2,1,0.308512,1.037037,[8 4] ; [4 5],[6.85714286 5.14285714] ; [5.14285714 3.85714286],0
u3,1,0.308512,1.037037,[8 4] ; [4 5],[6.85714286 5.14285714] ; [5.14285714 3.85714286],0
v1,1,0.320472,0.98702,[17 13] ; [ 8 11],[15.30612245 14.69387755] ; [9.69387755 9.30612245],0
s3,1,0.358152,0.844363,[21 10] ; [11  9],[19.45098039 11.54901961] ; [12.54901961  7.45098039],0
