Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,55.120328,[106   1] ; [42 34],[86.53551913 20.46448087] ; [61.46448087 14.53551913],1
d5,1,0.0,46.392848,[104   3] ; [43 33],[85.95081967 21.04918033] ; [61.04918033 14.95081967],1
d2,1,0.0,44.417158,[74 32] ; [15 61],[51.83516484 54.16483516] ; [37.16483516 38.83516484],1
d3,1,0.0,37.956347,[97 10] ; [38 38],[78.93442623 28.06557377] ; [56.06557377 19.93442623],1
a5,1,1.8e-05,18.367702,[91 16] ; [43 33],[78.34972678 28.65027322] ; [55.65027322 20.34972678],1
a2,1,0.000309,13.015284,[34 73] ; [ 7 69],[23.9726776 83.0273224] ; [17.0273224 58.9726776],1
p11,1,0.001218,10.462829,[91 16] ; [49 27],[81.8579235 25.1420765] ; [58.1420765 17.8579235],0
u1,1,0.003491,8.531423,[22 85] ; [ 4 72],[15.20218579 91.79781421] ; [10.79781421 65.20218579],0
a4,1,0.006432,7.425245,[59 48] ; [26 49],[49.97252747 57.02747253] ; [35.02747253 39.97252747],0
r1,1,0.006927,7.291735,[90 16] ; [51 24],[82.57458564 23.42541436] ; [58.42541436 16.57458564],0
n1,1,0.007912,7.053361,[ 5 19] ; [13  9],[ 9.39130435 14.60869565] ; [ 8.60869565 13.39130435],0
n4,1,0.008639,6.896031,[87 20] ; [48 27],[79.36813187 27.63186813] ; [55.63186813 19.36813187],0
a3,1,0.016116,5.790129,[80 27] ; [44 32],[72.50273224 34.49726776] ; [51.49726776 24.50273224],0
a7,1,0.022504,5.206415,[84 23] ; [48 28],[77.18032787 29.81967213] ; [54.81967213 21.18032787],0
v2,1,0.032473,4.57335,[62 41] ; [33 42],[54.97191011 48.02808989] ; [40.02808989 34.97191011],0
v3,1,0.039979,4.218768,[41 60] ; [19 55],[34.62857143 66.37142857] ; [25.37142857 48.62857143],0
r2,1,0.040239,4.207792,[100   5] ; [65 10],[96.25  8.75] ; [68.75  6.25],0
n6,1,0.054687,3.691617,[90 16] ; [55 20],[84.91712707 21.08287293] ; [60.08287293 14.91712707],0
b4,1,0.060778,3.516034,[67 40] ; [37 39],[60.80874317 46.19125683] ; [43.19125683 32.80874317],0
p6,1,0.064922,3.406946,[47 57] ; [24 52],[41.02222222 62.97777778] ; [29.97777778 46.02222222],0
r3,1,0.067549,3.3416,[103   4] ; [68  8],[99.98360656  7.01639344] ; [71.01639344  4.98360656],0
b1,1,0.080746,3.049827,[33 74] ; [33 43],[38.59016393 68.40983607] ; [27.40983607 48.59016393],0
r4,1,0.114083,2.496736,[96 11] ; [62 14],[92.38251366 14.61748634] ; [65.61748634 10.38251366],0
s2,1,0.117865,2.445465,[60 45] ; [34 41],[54.83333333 50.16666667] ; [39.16666667 35.83333333],0
p12,1,0.135809,2.224815,[  6 101] ; [ 1 75],[  4.09289617 102.90710383] ; [ 2.90710383 73.09289617],0
s5,1,0.156663,2.006143,[36 68] ; [18 55],[31.72881356 72.27118644] ; [22.27118644 50.72881356],0
n2,1,0.179239,1.803922,[15  8] ; [19  4],[17.  6.] ; [17.  6.],0
a8,1,0.184753,1.758971,[10 87] ; [12 57],[12.85542169 84.14457831] ; [ 9.14457831 59.85542169],0
a6,1,0.262044,1.257925,[72 35] ; [45 31],[68.40983607 38.59016393] ; [48.59016393 27.40983607],0
u3,1,0.305595,1.049616,[18  9] ; [16 14],[16.10526316 10.89473684] ; [17.89473684 12.10526316],0
s4,1,0.354116,0.858652,[18 88] ; [ 9 66],[15.8121547 90.1878453] ; [11.1878453 63.8121547],0
u4,1,0.373005,0.79363,[  1 106] ; [ 2 74],[  1.75409836 105.24590164] ; [ 1.24590164 74.75409836],0
s1,1,0.374219,0.789608,[  4 101] ; [ 5 69],[ 5.27932961 99.72067039] ; [ 3.72067039 70.27932961],0
p7,1,0.392279,0.731865,[67 39] ; [52 23],[69.69060773 36.30939227] ; [49.30939227 25.69060773],0
b5,1,0.411061,0.675729,[64 43] ; [50 26],[66.6557377 40.3442623] ; [47.3442623 28.6557377],0
n5,1,0.441568,0.592203,[82 24] ; [55 21],[79.79120879 26.20879121] ; [57.20879121 18.79120879],0
s6,1,0.456663,0.554061,[75 30] ; [49 25],[72.73743017 32.26256983] ; [51.26256983 22.73743017],0
b2,1,0.459816,0.546342,[27 46] ; [13 30],[25.17241379 47.82758621] ; [14.82758621 28.17241379],0
b3,1,0.459816,0.546342,[27 46] ; [13 30],[25.17241379 47.82758621] ; [14.82758621 28.17241379],0
v4,1,0.571683,0.319874,[101   5] ; [70  5],[100.14364641   5.85635359] ; [70.85635359  4.14364641],0
p2,1,0.623499,0.24098,[92 14] ; [64 12],[90.85714286 15.14285714] ; [65.14285714 10.85714286],0
p8,1,0.66898,0.182798,[55 51] ; [36 38],[53.58888889 52.41111111] ; [37.41111111 36.58888889],0
p5,1,0.682085,0.167788,[ 9 98] ; [ 5 69],[ 8.27624309 98.72375691] ; [ 5.72375691 68.27624309],0
p9,1,0.738741,0.111236,[85 20] ; [60 16],[84.1160221 20.8839779] ; [60.8839779 15.1160221],0
n3,1,0.743325,0.107226,[16  7] ; [17  6],[16.5  6.5] ; [16.5  6.5],0
u2,1,0.828794,0.046763,[15 11] ; [17 14],[14.59649123 11.40350877] ; [17.40350877 13.59649123],0
s7,1,0.831002,0.045547,[51 55] ; [33 38],[50.30508475 55.69491525] ; [33.69491525 37.30508475],0
v1,1,0.831213,0.045431,[59 47] ; [40 34],[58.3 47.7] ; [40.7 33.3],0
s3,1,0.858888,0.031609,[55 47] ; [42 34],[55.58426966 46.41573034] ; [41.41573034 34.58426966],0
p10,1,0.87135,0.026226,[82 24] ; [58 16],[82.44444444 23.55555556] ; [57.55555556 16.44444444],0
s8,1,0.94178,0.005334,[48 58] ; [34 42],[47.75824176 58.24175824] ; [34.24175824 41.75824176],0
a1,1,0.94208,0.005279,[  4 103] ; [ 3 73],[  4.09289617 102.90710383] ; [ 2.90710383 73.09289617],0
p1,1,0.992073,9.9e-05,[  7 100] ; [ 5 71],[ 7.01639344 99.98360656] ; [ 4.98360656 71.01639344],0
