Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,65.409353,[27 99] ; [182  99],[64.7027027 61.2972973] ; [144.2972973 136.7027027],1
s3,1,0.0,51.529156,[35 91] ; [184  94],[68.3019802 57.6980198] ; [150.6980198 127.3019802],1
s7,1,0.0,47.672016,[27 92] ; [166 108],[58.44020356 60.55979644] ; [134.55979644 139.44020356],1
s8,1,0.0,38.457452,[30 98] ; [159 123],[59.00487805 68.99512195] ; [129.99512195 152.00487805],1
s5,1,0.0,34.804949,[ 16 111] ; [118 161],[41.91625616 85.08374384] ; [ 92.08374384 186.91625616],1
p9,1,0.001079,10.686866,[97 29] ; [251  30],[107.73464373  18.26535627] ; [240.26535627  40.73464373],0
d5,1,0.002392,9.221356,[94 34] ; [243  40],[104.95377129  23.04622871] ; [232.04622871  50.95377129],0
v4,1,0.003849,8.353561,[114  12] ; [274   8],[119.82352941   6.17647059] ; [268.17647059  13.82352941],0
r4,1,0.005147,7.827186,[107  21] ; [263  21],[114.95145631  13.04854369] ; [255.04854369  28.95145631],0
p10,1,0.007188,7.22541,[93 33] ; [238  42],[102.72413793  23.27586207] ; [228.27586207  51.72413793],0
d4,1,0.00914,6.795264,[97 31] ; [244  39],[106.19951338  21.80048662] ; [234.80048662  48.19951338],0
n6,1,0.012974,6.172615,[96 30] ; [243  39],[104.69117647  21.30882353] ; [234.30882353  47.69117647],0
a2,1,0.022839,5.180701,[ 25 103] ; [ 86 198],[34.48543689 93.51456311] ; [ 76.51456311 207.48543689],0
s4,1,0.027708,4.846158,[ 12 116] ; [ 50 231],[ 19.40342298 108.59657702] ; [ 42.59657702 238.40342298],0
p4,1,0.031929,4.602296,[67 60] ; [181 102],[76.8195122 50.1804878] ; [171.1804878 111.8195122],0
r3,1,0.034851,4.452458,[116  10] ; [274   9],[120.14669927   5.85330073] ; [269.85330073  13.14669927],0
s1,1,0.040027,4.216732,[  7 119] ; [  5 272],[  3.75186104 122.24813896] ; [  8.24813896 268.75186104],0
