Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.6e-05,18.641147,[35 27] ; [ 6 36],[24.44230769 37.55769231] ; [16.55769231 25.44230769],1
s8,1,1.8e-05,18.372,[31 31] ; [ 4 38],[20.86538462 41.13461538] ; [14.13461538 27.86538462],1
s3,1,3.1e-05,17.347228,[39 22] ; [ 9 32],[28.70588235 32.29411765] ; [19.29411765 21.70588235],1
s5,1,9.7e-05,15.197343,[25 34] ; [ 3 39],[16.35643564 42.64356436] ; [11.64356436 30.35643564],1
a5,1,0.000427,12.411158,[50 12] ; [20 22],[41.73076923 20.26923077] ; [28.26923077 13.73076923],1
s7,1,0.000944,10.93459,[30 31] ; [ 7 34],[22.12745098 38.87254902] ; [14.87254902 26.12745098],1
s4,1,0.006431,7.425275,[13 49] ; [ 1 41],[ 8.34615385 53.65384615] ; [ 5.65384615 36.34615385],0
r3,1,0.011377,6.405462,[61  1] ; [36  6],[57.82692308  4.17307692] ; [39.17307692  2.82692308],0
a4,1,0.035753,4.408849,[22 40] ; [ 7 35],[17.28846154 44.71153846] ; [11.71153846 30.28846154],0
r4,1,0.050003,3.841363,[56  6] ; [32 10],[52.46153846  9.53846154] ; [35.53846154  6.46153846],0
n2,1,0.05773,3.601441,[12  2] ; [5 5],[9.91666667 4.08333333] ; [7.08333333 2.91666667],0
u2,1,0.068815,3.311069,[18  8] ; [ 8 11],[15.02222222 10.97777778] ; [10.97777778  8.02222222],0
u3,1,0.074023,3.191474,[16  9] ; [ 7 12],[13.06818182 11.93181818] ; [9.93181818 9.06818182],0
p3,1,0.091771,2.843032,[37 25] ; [18 24],[32.78846154 29.21153846] ; [22.21153846 19.78846154],0
p5,1,0.100407,2.699064,[ 7 55] ; [ 1 40],[ 4.81553398 57.18446602] ; [ 3.18446602 37.81553398],0
d4,1,0.127388,2.324052,[52 10] ; [30 12],[48.88461538 13.11538462] ; [33.11538462  8.88461538],0
v2,1,0.133432,2.252108,[26 34] ; [24 17],[29.7029703 30.2970297] ; [20.2970297 20.7029703],0
p10,1,0.134469,2.240136,[47 14] ; [26 15],[43.65686275 17.34313725] ; [29.34313725 11.65686275],0
r2,1,0.151939,2.052671,[52  8] ; [40  2],[54.11764706  5.88235294] ; [37.88235294  4.11764706],0
p1,1,0.187999,1.733233,[ 4 56] ; [ 6 35],[ 5.94059406 54.05940594] ; [ 4.05940594 36.94059406],0
a7,1,0.248577,1.331285,[44 18] ; [34  8],[46.5 15.5] ; [31.5 10.5],0
v3,1,0.313124,1.017452,[22 39] ; [10 28],[19.71717172 41.28282828] ; [12.28282828 25.71717172],0
n3,1,0.323727,0.97383,[11  3] ; [6 4],[9.91666667 4.08333333] ; [7.08333333 2.91666667],0
b5,1,0.337099,0.921434,[34 28] ; [27 15],[36.36538462 25.63461538] ; [24.63461538 17.36538462],0
a2,1,0.348636,0.878414,[ 8 54] ; [ 3 39],[ 6.55769231 55.44230769] ; [ 4.44230769 37.55769231],0
p7,1,0.382616,0.762281,[48 12] ; [29 11],[46.2 13.8] ; [30.8  9.2],0
p2,1,0.383715,0.758766,[53  8] ; [33  8],[51.43137255  9.56862745] ; [34.56862745  6.43137255],0
p11,1,0.385488,0.753127,[44 18] ; [33  9],[45.90384615 16.09615385] ; [31.09615385 10.90384615],0
n6,1,0.386006,0.751486,[40 21] ; [24 18],[37.90291262 23.09708738] ; [26.09708738 15.90291262],0
n1,1,0.403713,0.697239,[5 9] ; [2 8],[4.08333333 9.91666667] ; [2.91666667 7.08333333],0
d5,1,0.409851,0.679234,[50 12] ; [31 11],[48.28846154 13.71153846] ; [32.71153846  9.28846154],0
d2,1,0.417485,0.657383,[24 38] ; [13 29],[22.05769231 39.94230769] ; [14.94230769 27.05769231],0
v1,1,0.44587,0.58113,[25 35] ; [14 27],[23.16831683 36.83168317] ; [15.83168317 25.16831683],0
p9,1,0.488756,0.479263,[48 14] ; [30 12],[46.5 15.5] ; [31.5 10.5],0
r1,1,0.488756,0.479263,[48 14] ; [30 12],[46.5 15.5] ; [31.5 10.5],0
p6,1,0.49054,0.475342,[22 38] ; [12 28],[20.4 39.6] ; [13.6 26.4],0
p12,1,0.509531,0.43503,[ 5 57] ; [ 2 40],[ 4.17307692 57.82692308] ; [ 2.82692308 39.17307692],0
u1,1,0.509531,0.43503,[ 5 57] ; [ 2 40],[ 4.17307692 57.82692308] ; [ 2.82692308 39.17307692],0
p4,1,0.517259,0.419355,[35 27] ; [21 21],[33.38461538 28.61538462] ; [22.61538462 19.38461538],0
b4,1,0.555306,0.347897,[39 23] ; [24 18],[37.55769231 24.44230769] ; [25.44230769 16.55769231],0
b2,1,0.615183,0.252696,[ 8 27] ; [ 4 19],[ 7.24137931 27.75862069] ; [ 4.75862069 18.24137931],0
b3,1,0.615183,0.252696,[ 8 27] ; [ 4 19],[ 7.24137931 27.75862069] ; [ 4.75862069 18.24137931],0
d3,1,0.617315,0.249659,[47 15] ; [30 12],[45.90384615 16.09615385] ; [31.09615385 10.90384615],0
s1,1,0.716884,0.131498,[ 4 58] ; [ 2 40],[ 3.57692308 58.42307692] ; [ 2.42307692 39.57692308],0
a3,1,0.738718,0.111256,[36 26] ; [23 19],[35.17307692 26.82692308] ; [23.82692308 18.17307692],0
v4,1,0.766018,0.088558,[57  5] ; [37  4],[56.58252427  5.41747573] ; [37.41747573  3.58252427],0
b1,1,0.772576,0.083525,[19 43] ; [14 28],[19.67307692 42.32692308] ; [13.32692308 28.67307692],0
n4,1,0.786116,0.073635,[22 40] ; [16 26],[22.65384615 39.34615385] ; [15.34615385 26.65384615],0
a6,1,0.856461,0.032718,[38 24] ; [25 17],[37.55769231 24.44230769] ; [25.44230769 16.55769231],0
a8,1,0.871827,0.02603,[ 3 49] ; [ 2 38],[ 2.82608696 49.17391304] ; [ 2.17391304 37.82608696],0
d1,1,0.932507,0.007173,[33 29] ; [22 20],[32.78846154 29.21153846] ; [22.21153846 19.78846154],0
