Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,113.63343,[193  58] ; [ 73 176],[133.532 117.468] ; [132.468 116.532],1
s2,1,0.0,80.420085,[196  64] ; [ 94 165],[145.27938343 114.72061657] ; [144.72061657 114.27938343],1
s3,1,0.0,62.178962,[197  61] ; [108 148],[153.09338521 104.90661479] ; [151.90661479 104.09338521],1
s6,1,0.0,57.328937,[217  40] ; [137 119],[177.34502924  79.65497076] ; [176.65497076  79.34502924],1
s5,1,1e-06,23.205365,[120 127] ; [ 70 183],[ 93.86 153.14] ; [ 96.14 156.86],1
p3,1,3e-06,21.626301,[166  96] ; [110 146],[139.5984556 122.4015444] ; [136.4015444 119.5984556],1
p9,1,2.4e-05,17.833064,[239  20] ; [203  53],[222.28737864  36.71262136] ; [219.71262136  36.28737864],1
p6,1,2.5e-05,17.743529,[126 133] ; [ 77 176],[102.68945312 156.31054688] ; [100.31054688 152.68945312],1
p4,1,0.000216,13.689721,[187  74] ; [144 113],[166.77799228  94.22200772] ; [164.22200772  92.77799228],1
v3,1,0.000272,13.25285,[125 122] ; [ 85 162],[105. 142.] ; [105. 142.],1
n5,1,0.000359,12.732131,[214  45] ; [180  80],[196.62042389  62.37957611] ; [197.37957611  62.62042389],1
p10,1,0.000466,12.248697,[229  30] ; [198  60],[213.91295938  45.08704062] ; [213.08704062  44.91295938],1
v1,1,0.000737,11.393086,[160  92] ; [125 132],[141.10019646 110.89980354] ; [143.89980354 113.10019646],1
v4,1,0.001327,10.30446,[258   3] ; [242  17],[250.96153846  10.03846154] ; [249.03846154   9.96153846],0
p5,1,0.001464,10.123651,[ 41 217] ; [ 18 240],[ 29.5 228.5] ; [ 29.5 228.5],0
n4,1,0.001996,9.553364,[223  38] ; [194  66],[208.90019194  52.09980806] ; [208.09980806  51.90019194],0
r4,1,0.002236,9.345236,[252  10] ; [232  28],[242.92720307  19.07279693] ; [241.07279693  18.92720307],0
p8,1,0.002276,9.312403,[156 101] ; [120 134],[138.81017613 118.18982387] ; [137.18982387 116.81017613],0
p12,1,0.00317,8.706761,[ 32 227] ; [ 13 245],[ 22.54352031 236.45647969] ; [ 22.45647969 235.54352031],0
p7,1,0.009628,6.702512,[176  76] ; [150 105],[162.03550296  89.96449704] ; [163.96449704  91.03550296],0
s4,1,0.00988,6.656467,[ 56 204] ; [ 33 222],[ 44.93203883 215.06796117] ; [ 44.06796117 210.93203883],0
n6,1,0.013007,6.168135,[231  28] ; [211  48],[221.  38.] ; [221.  38.],0
u4,1,0.017209,5.67496,[ 14 248] ; [  4 256],[  9.03448276 252.96551724] ; [  8.96551724 251.03448276],0
a5,1,0.027603,4.852719,[230  32] ; [210  50],[220.84291188  41.15708812] ; [219.15708812  40.84291188],0
n1,1,0.061499,3.496503,[27 28] ; [21 44],[22. 33.] ; [26. 39.],0
p11,1,0.081632,3.032113,[213  49] ; [195  65],[204.7816092  57.2183908] ; [203.2183908  56.7816092],0
a6,1,0.082735,3.010335,[183  78] ; [199  60],[191.73461538  69.26538462] ; [190.26538462  68.73461538],0
u1,1,0.087508,2.919629,[ 81 181] ; [ 63 197],[ 72.27586207 189.72413793] ; [ 71.72413793 188.27586207],0
b3,1,0.088025,2.910122,[ 82 104] ; [49 92],[ 74.51376147 111.48623853] ; [56.48623853 84.51376147],0
b2,1,0.088025,2.910122,[ 82 104] ; [49 92],[ 74.51376147 111.48623853] ; [56.48623853 84.51376147],0
a3,1,0.088042,2.909811,[218  43] ; [201  58],[210.30576923  50.69423077] ; [208.69423077  50.30576923],0
r3,1,0.094863,2.78986,[256   6] ; [245  13],[252.42692308   9.57307692] ; [248.57307692   9.42692308],0
u3,1,0.096558,2.761496,[33 11] ; [35 24],[29.04854369 14.95145631] ; [38.95145631 20.04854369],0
d3,1,0.115166,2.481859,[225  37] ; [234  25],[230.82149712  31.17850288] ; [228.17850288  30.82149712],0
b1,1,0.142414,2.151682,[107 155] ; [ 90 170],[ 98.87739464 163.12260536] ; [ 98.12260536 161.87739464],0
a8,1,0.148675,2.085789,[ 35 201] ; [ 24 207],[ 29.81584582 206.18415418] ; [ 29.18415418 201.81584582],0
u2,1,0.160717,1.96747,[31 13] ; [33 25],[27.60784314 16.39215686] ; [36.39215686 21.60784314],0
d2,1,0.212333,1.555445,[197  65] ; [180  76],[190.68339768  71.31660232] ; [186.31660232  69.68339768],0
p2,1,0.234439,1.413725,[222  40] ; [206  49],[216.89748549  45.10251451] ; [211.10251451  43.89748549],0
a7,1,0.239291,1.384766,[196  66] ; [205  54],[201.65451056  60.34548944] ; [199.34548944  59.65451056],0
a1,1,0.268406,1.224875,[ 18 244] ; [ 12 248],[ 15.05747126 246.94252874] ; [ 14.94252874 245.05747126],0
r1,1,0.348713,0.878136,[228  33] ; [218  40],[224.28901734  36.71098266] ; [221.71098266  36.28901734],0
v2,1,0.361934,0.831171,[158  95] ; [145 103],[153.01197605  99.98802395] ; [149.98802395  98.01197605],0
n3,1,0.3726,0.794975,[36 20] ; [46 18],[38.26666667 17.73333333] ; [43.73333333 20.26666667],0
p1,1,0.451526,0.566819,[ 25 236] ; [ 20 239],[ 22.58653846 238.41346154] ; [ 22.41346154 236.58653846],0
n2,1,0.557764,0.343591,[39 17] ; [42 23],[37.48760331 18.51239669] ; [43.51239669 21.48760331],0
b4,1,0.57865,0.308422,[155 107] ; [160 100],[158.10344828 103.89655172] ; [156.89655172 103.10344828],0
a4,1,0.737788,0.11208,[152 110] ; [154 105],[153.88099808 108.11900192] ; [152.11900192 106.88099808],0
d5,1,0.750752,0.1009,[256   5] ; [253   6],[255.47884615   5.52115385] ; [253.52115385   5.47884615],0
b5,1,0.80332,0.062028,[163  99] ; [159 101],[161.61685824 100.38314176] ; [160.38314176  99.61685824],0
a2,1,0.978743,0.00071,[ 93 169] ; [ 92 168],[ 92.85440613 169.14559387] ; [ 92.14559387 167.85440613],0
d4,1,0.982438,0.000485,[257   4] ; [253   4],[256.96911197   4.03088803] ; [253.03088803   3.96911197],0
s1,1,0.993704,6.2e-05,[  8 249] ; [  8 250],[  7.98446602 249.01553398] ; [  8.01553398 249.98446602],0
