Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,44.652483,[38 44] ; [148  24],[60.04724409 21.95275591] ; [125.95275591  46.04724409],1
a3,1,0.0,43.999173,[33 48] ; [142  31],[55.80708661 25.19291339] ; [119.19291339  53.80708661],1
d1,1,0.0,34.605681,[17 65] ; [104  69],[38.90980392 43.09019608] ; [82.09019608 90.90980392],1
d4,1,0.0,28.726668,[42 39] ; [144  28],[59.54940711 21.45059289] ; [126.45059289  45.54940711],1
a4,1,1e-06,23.479774,[19 63] ; [95 76],[36.9486166 45.0513834] ; [77.0513834 93.9486166],1
p3,1,1e-05,19.423935,[21 60] ; [95 76],[37.28571429 43.71428571] ; [78.71428571 92.28571429],1
d2,1,1.4e-05,18.924267,[24 58] ; [100  71],[40.18972332 41.81027668] ; [83.81027668 87.18972332],1
s7,1,0.000358,12.738956,[26 52] ; [96 70],[39. 39.] ; [83. 83.],1
s8,1,0.001256,10.405602,[25 57] ; [89 82],[36.9486166 45.0513834] ; [77.0513834 93.9486166],0
r1,1,0.003066,8.767844,[50 32] ; [136  37],[59.81176471 22.18823529] ; [126.18823529  46.81176471],0
n4,1,0.005419,7.734066,[53 29] ; [138  33],[61.90513834 20.09486166] ; [129.09486166  41.90513834],0
n6,1,0.008389,6.948406,[56 25] ; [143  28],[63.96428571 17.03571429] ; [135.03571429  35.96428571],0
v3,1,0.009554,6.716226,[20 59] ; [70 95],[29.13934426 49.86065574] ; [ 60.86065574 104.13934426],0
b2,1,0.010828,6.493403,[14 33] ; [60 56],[21.33742331 25.66257669] ; [52.66257669 63.33742331],0
b3,1,0.010828,6.493403,[14 33] ; [60 56],[21.33742331 25.66257669] ; [52.66257669 63.33742331],0
b5,1,0.018924,5.508518,[47 35] ; [ 72 101],[38.26666667 43.73333333] ; [80.73333333 92.26666667],0
a6,1,0.022357,5.217762,[26 56] ; [81 92],[34.40784314 47.59215686] ; [ 72.59215686 100.40784314],0
p2,1,0.027976,4.829517,[52 29] ; [130  38],[59.20481928 21.79518072] ; [122.79518072  45.20481928],0
r4,1,0.029534,4.73622,[64 18] ; [153  20],[69.78039216 12.21960784] ; [147.21960784  25.78039216],0
n3,1,0.02993,4.713289,[16 13] ; [37 10],[20.22368421  8.77631579] ; [32.77631579 14.22368421],0
s6,1,0.03671,4.363805,[41 37] ; [111  56],[48.39183673 29.60816327] ; [103.60816327  63.39183673],0
p10,1,0.038325,4.290518,[51 29] ; [129  40],[57.8313253 22.1686747] ; [122.1686747  46.8313253],0
s5,1,0.055477,3.667701,[22 54] ; [69 96],[28.69709544 47.30290456] ; [ 62.30290456 102.69709544],0
v2,1,0.064436,3.419369,[29 46] ; [87 82],[35.6557377 39.3442623] ; [80.3442623 88.6557377],0
s2,1,0.067087,3.352892,[31 50] ; [87 85],[37.77865613 43.22134387] ; [80.22134387 91.77865613],0
v4,1,0.072432,3.227037,[71 10] ; [162  10],[74.59683794  6.40316206] ; [158.40316206  13.59683794],0
