Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.9e-05,17.495112,[12 33] ; [56 30],[23.35877863 21.64122137] ; [44.64122137 41.35877863],1
v4,1,0.003183,8.69966,[31 14] ; [77  9],[37.09923664  7.90076336] ; [70.90076336 15.09923664],0
u1,1,0.008935,6.835806,[ 2 43] ; [19 67],[ 7.21374046 37.78625954] ; [13.78625954 72.21374046],0
r4,1,0.020244,5.390722,[27 18] ; [68 18],[32.63358779 12.36641221] ; [62.36641221 23.63358779],0
r2,1,0.021062,5.321692,[34 10] ; [78  7],[38.20155039  5.79844961] ; [73.79844961 11.20155039],0
b5,1,0.024404,5.065655,[19 26] ; [54 32],[25.07633588 19.92366412] ; [47.92366412 38.07633588],0
u2,1,0.028782,4.780635,[11  3] ; [13 17],[7.63636364 6.36363636] ; [16.36363636 13.63636364],0
n4,1,0.035331,4.429099,[23 22] ; [60 26],[28.51145038 16.48854962] ; [54.48854962 31.51145038],0
p11,1,0.037774,4.315188,[16 29] ; [47 39],[21.64122137 23.35877863] ; [41.35877863 44.64122137],0
r3,1,0.041376,4.160537,[35 10] ; [78  8],[38.81679389  6.18320611] ; [74.18320611 11.81679389],0
s6,1,0.049102,3.871846,[17 28] ; [47 37],[22.3255814 22.6744186] ; [41.6744186 42.3255814],0
s7,1,0.063312,3.448426,[ 8 32] ; [30 52],[12.45901639 27.54098361] ; [25.54098361 56.45901639],0
p4,1,0.119257,2.427055,[13 32] ; [36 48],[17.09302326 27.90697674] ; [31.90697674 52.09302326],0
s8,1,0.167883,1.901744,[ 7 38] ; [22 62],[10.11627907 34.88372093] ; [18.88372093 65.11627907],0
a7,1,0.192869,1.695566,[28 17] ; [63 23],[31.25954198 13.74045802] ; [59.74045802 26.25954198],0
s3,1,0.204154,1.612403,[22 22] ; [33 53],[18.61538462 25.38461538] ; [36.38461538 49.61538462],0
n2,1,0.209077,1.577804,[9 8] ; [20  8],[10.95555556  6.04444444] ; [18.04444444  9.95555556],0
