Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.424907,[14 24] ; [45  8],[24.63736264 13.36263736] ; [34.36263736 18.63736264],1
a4,1,0.023279,5.147577,[ 7 31] ; [22 32],[11.97826087 26.02173913] ; [17.02173913 36.97826087],0
n2,1,0.033132,4.538947,[ 6 13] ; [16  9],[9.5 9.5] ; [12.5 12.5],0
p1,1,0.039,4.260879,[ 1 36] ; [ 9 46],[ 4.02173913 32.97826087] ; [ 5.97826087 49.02173913],0
p3,1,0.047685,3.92106,[ 5 33] ; [17 38],[ 8.98924731 29.01075269] ; [13.01075269 41.98924731],0
a7,1,0.052022,3.77507,[24 14] ; [23 31],[19.41304348 18.58695652] ; [27.58695652 26.41304348],0
v3,1,0.054007,3.712479,[ 3 34] ; [13 42],[ 6.43478261 30.56521739] ; [ 9.56521739 45.43478261],0
b5,1,0.06405,3.429282,[24 14] ; [24 31],[19.61290323 18.38709677] ; [28.38709677 26.61290323],0
a5,1,0.06405,3.429282,[14 24] ; [31 24],[18.38709677 19.61290323] ; [26.61290323 28.38709677],0
a1,1,0.087849,2.91335,[ 1 37] ; [ 7 48],[ 3.2688172 34.7311828] ; [ 4.7311828 50.2688172],0
a6,1,0.109276,2.564663,[15 23] ; [31 24],[18.79569892 19.20430108] ; [27.20430108 27.79569892],0
p8,1,0.119356,2.425752,[14 22] ; [13 42],[10.68131868 25.31868132] ; [16.31868132 38.68131868],0
r3,1,0.126639,2.333226,[23 15] ; [23 29],[19.42222222 18.57777778] ; [26.57777778 25.42222222],0
d2,1,0.13538,2.229696,[12 26] ; [25 28],[15.45054945 22.54945055] ; [21.54945055 31.45054945],0
b2,1,0.166758,1.91185,[ 4 14] ; [16 23],[ 6.31578947 11.68421053] ; [13.68421053 25.31578947],0
b3,1,0.166758,1.91185,[ 4 14] ; [16 23],[ 6.31578947 11.68421053] ; [13.68421053 25.31578947],0
s7,1,0.193994,1.687019,[ 7 28] ; [17 35],[ 9.65517241 25.34482759] ; [14.34482759 37.65517241],0
p2,1,0.2884,1.127076,[22 15] ; [26 28],[19.51648352 17.48351648] ; [28.48351648 25.51648352],0
a3,1,0.306723,1.044735,[17 21] ; [30 24],[19.41304348 18.58695652] ; [27.58695652 26.41304348],0
s6,1,0.316941,1.001529,[ 9 29] ; [18 36],[11.15217391 26.84782609] ; [15.84782609 38.15217391],0
