Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,79.2,[72 24] ; [ 60 196],[36. 60.] ; [ 96. 160.],1
s8,1,0.000183,13.99855,[44 51] ; [ 65 190],[29.58571429 65.41428571] ; [ 79.41428571 175.58571429],1
s2,1,0.000254,13.382072,[53 41] ; [ 87 164],[38.14492754 55.85507246] ; [101.85507246 149.14492754],1
p6,1,0.000362,12.719865,[24 71] ; [ 26 228],[13.61031519 81.38968481] ; [ 36.38968481 217.61031519],1
s6,1,0.001985,9.563049,[64 31] ; [123 129],[51.19596542 43.80403458] ; [135.80403458 116.19596542],0
p1,1,0.004118,8.230972,[13 83] ; [ 12 243],[ 6.83760684 89.16239316] ; [ 18.16239316 236.83760684],0
r2,1,0.006521,7.400489,[93  3] ; [220  33],[86.0974212  9.9025788] ; [226.9025788  26.0974212],0
n4,1,0.008069,7.018069,[77 19] ; [168  88],[66.81818182 29.18181818] ; [178.18181818  77.81818182],0
v4,1,0.010548,6.539898,[90  6] ; [212  43],[82.5982906 13.4017094] ; [219.4017094  35.5982906],0
s3,1,0.011424,6.398079,[53 42] ; [102 149],[42.55780347 52.44219653] ; [112.44219653 138.55780347],0
r4,1,0.011792,6.34185,[83 13] ; [189  67],[74.18181818 21.81818182] ; [197.81818182  58.18181818],0
p8,1,0.017813,5.614446,[29 67] ; [ 47 207],[20.84571429 75.15428571] ; [ 55.15428571 198.84571429],0
p2,1,0.022995,5.168869,[71 25] ; [156 100],[61.90909091 34.09090909] ; [165.09090909  90.90909091],0
a5,1,0.027563,4.855172,[72 24] ; [160  96],[63.27272727 32.72727273] ; [168.72727273  87.27272727],0
v1,1,0.029473,4.739743,[46 45] ; [ 94 157],[37.25146199 53.74853801] ; [102.74853801 148.25146199],0
p10,1,0.039215,4.251536,[69 26] ; [153  99],[60.77809798 34.22190202] ; [161.22190202  90.77809798],0
n3,1,0.042399,4.119192,[21  5] ; [55 38],[16.60504202  9.39495798] ; [59.39495798 33.60504202],0
p9,1,0.053808,3.718635,[75 20] ; [169  78],[67.77777778 27.22222222] ; [176.22222222  70.77777778],0
r3,1,0.055832,3.657076,[89  7] ; [216  38],[83.65714286 12.34285714] ; [221.34285714  32.65714286],0
s5,1,0.071382,3.250962,[25 64] ; [ 46 197],[19.03313253 69.96686747] ; [ 51.96686747 191.03313253],0
b1,1,0.071762,3.24226,[43 53] ; [ 88 168],[35.72727273 60.27272727] ; [ 95.27272727 160.72727273],0
s7,1,0.083101,3.003181,[36 49] ; [ 79 168],[29.44277108 55.55722892] ; [ 85.55722892 161.44277108],0
d5,1,0.084132,2.98321,[78 18] ; [185  71],[71.72727273 24.27272727] ; [191.27272727  64.72727273],0
r1,1,0.09216,2.836231,[73 22] ; [173  83],[66.58119658 28.41880342] ; [179.41880342  76.58119658],0
n5,1,0.124703,2.357241,[69 27] ; [161  94],[62.90598291 33.09401709] ; [167.09401709  87.90598291],0
p12,1,0.143204,2.143193,[ 9 87] ; [ 13 241],[ 6.03428571 89.96571429] ; [ 15.96571429 238.03428571],0
u4,1,0.144273,2.131783,[ 4 92] ; [  4 252],[ 2.18181818 93.81818182] ; [  5.81818182 250.18181818],0
v2,1,0.169,1.891794,[49 43] ; [109 134],[43.39104478 48.60895522] ; [114.60895522 128.39104478],0
d2,1,0.184523,1.760813,[50 45] ; [113 140],[44.49712644 50.50287356] ; [118.50287356 134.49712644],0
a3,1,0.186294,1.746683,[67 29] ; [158  96],[61.71428571 34.28571429] ; [163.28571429  90.71428571],0
d1,1,0.198943,1.650119,[55 41] ; [127 129],[49.63636364 46.36363636] ; [132.36363636 123.63636364],0
a4,1,0.199444,1.646439,[47 49] ; [105 149],[41.69142857 54.30857143] ; [110.30857143 143.69142857],0
p11,1,0.227372,1.457225,[67 29] ; [161  95],[62.18181818 33.81818182] ; [165.81818182  90.18181818],0
n6,1,0.232066,1.428152,[76 20] ; [186  69],[71.65811966 24.34188034] ; [190.34188034  64.65811966],0
a8,1,0.345636,0.889414,[ 6 80] ; [ 25 214],[ 8.20307692 77.79692308] ; [ 22.79692308 216.20307692],0
