Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,256.000962,[ 32 204] ; [276  64],[126.19444444 109.80555556] ; [181.80555556 158.19444444],1
s7,1,0.0,92.052334,[ 69 155] ; [236  91],[123.99274047 100.00725953] ; [181.00725953 145.99274047],1
s6,1,0.0,82.090285,[115 118] ; [283  51],[163.55202822  69.44797178] ; [234.44797178  99.55202822],1
s8,1,0.0,42.756383,[ 77 159] ; [204 134],[115.53310105 120.46689895] ; [165.46689895 172.53310105],1
s5,1,0.000127,14.681671,[ 62 170] ; [139 188],[ 83.42039356 148.57960644] ; [117.57960644 209.42039356],1
s4,1,0.000729,11.413523,[ 20 213] ; [ 63 273],[ 33.98769772 199.01230228] ; [ 49.01230228 286.98769772],1
n5,1,0.014275,6.003812,[194  44] ; [300  38],[204.11805556  33.88194444] ; [289.88194444  48.11805556],0
p12,1,0.01552,5.856451,[ 14 223] ; [ 40 296],[ 22.33507853 214.66492147] ; [ 31.66492147 304.33507853],0
u4,1,0.017736,5.622036,[  2 237] ; [ 14 326],[  6.6044905 232.3955095] ; [  9.3955095 330.6044905],0
r2,1,0.041546,4.153608,[226  10] ; [333   5],[229.83275261   6.16724739] ; [329.16724739   8.83275261],0
a3,1,0.046414,3.966501,[168  69] ; [265  74],[178.16145833  58.83854167] ; [254.83854167  84.16145833],0
p5,1,0.050943,3.810135,[ 24 213] ; [ 53 283],[ 31.84816754 205.15183246] ; [ 45.15183246 290.84816754],0
a6,1,0.051002,3.808211,[177  62] ; [224 113],[166.38715278  72.61284722] ; [234.61284722 102.38715278],0
n2,1,0.068123,3.327669,[32 18] ; [47 12],[36.23853211 13.76146789] ; [42.76146789 16.23853211],0
s1,1,0.071772,3.242026,[  5 231] ; [ 17 319],[  9.07692308 226.92307692] ; [ 12.92307692 323.07692308],0
n1,1,0.076478,3.138201,[17 31] ; [31 28],[21.53271028 26.46728972] ; [26.46728972 32.53271028],0
p6,1,0.107154,2.5957,[ 86 150] ; [145 191],[ 95.30769231 140.69230769] ; [135.69230769 200.30769231],0
p7,1,0.120097,2.416049,[147  87] ; [228 102],[155.58510638  78.41489362] ; [219.41489362 110.58510638],0
p9,1,0.12615,2.339259,[192  44] ; [291  47],[198.58536585  37.41463415] ; [284.41463415  53.58536585],0
v4,1,0.136231,2.220021,[227  12] ; [329   9],[230.30155979   8.69844021] ; [325.69844021  12.30155979],0
b1,1,0.148246,2.090203,[ 89 150] ; [147 193],[ 97.41623489 141.58376511] ; [138.58376511 201.41623489],0
n6,1,0.164484,1.932507,[205  33] ; [303  34],[210.26782609  27.73217391] ; [297.73217391  39.26782609],0
d1,1,0.174344,1.845185,[145  94] ; [225 115],[152.72884283  86.27115717] ; [217.27115717 122.72884283],0
a5,1,0.198529,1.653162,[198  41] ; [267  73],[191.94300518  47.05699482] ; [273.05699482  66.94300518],0
