Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.014707,5.95125,[3 7] ; [7 1],[5.55555556 4.44444444] ; [4.44444444 3.55555556],0
d1,1,0.016306,5.769596,[ 7 15] ; [12  5],[10.71794872 11.28205128] ; [8.28205128 8.71794872],0
v3,1,0.022489,5.20753,[ 2 19] ; [ 7 10],[ 4.97368421 16.02631579] ; [ 4.02631579 12.97368421],0
s2,1,0.033974,4.496032,[ 8 14] ; [12  5],[11.28205128 10.71794872] ; [8.71794872 8.28205128],0
r4,1,0.081062,3.043481,[14  8] ; [15  2],[16.35897436  5.64102564] ; [12.64102564  4.35897436],0
d4,1,0.081062,3.043481,[14  8] ; [15  2],[16.35897436  5.64102564] ; [12.64102564  4.35897436],0
p7,1,0.087569,2.918495,[19  3] ; [10  6],[16.78947368  5.21052632] ; [12.21052632  3.78947368],0
s6,1,0.092003,2.838971,[11 11] ; [13  4],[13.53846154  8.46153846] ; [10.46153846  6.53846154],0
d3,1,0.125847,2.343004,[11 10] ; [13  4],[13.26315789  7.73684211] ; [10.73684211  6.26315789],0
s3,1,0.153887,2.033295,[10 12] ; [11  5],[12.15789474  9.84210526] ; [8.84210526 7.15789474],0
p10,1,0.156954,2.003331,[12 10] ; [13  4],[14.1025641  7.8974359] ; [10.8974359  6.1025641],0
a4,1,0.194916,1.680067,[11 11] ; [ 5 12],[ 9.02564103 12.97435897] ; [ 6.97435897 10.02564103],0
p9,1,0.197743,1.658969,[14  8] ; [14  3],[15.79487179  6.20512821] ; [12.20512821  4.79487179],0
v4,1,0.254587,1.297955,[18  4] ; [16  1],[19.17948718  2.82051282] ; [14.82051282  2.17948718],0
v1,1,0.267047,1.231853,[ 9 13] ; [10  7],[10.71794872 11.28205128] ; [8.28205128 8.71794872],0
b1,1,0.361054,0.834225,[16  6] ; [10  7],[14.66666667  7.33333333] ; [11.33333333  5.66666667],0
u2,1,0.374857,0.7875,[7 3] ; [7 1],[7.77777778 2.22222222] ; [6.22222222 1.77777778],0
r2,1,0.376362,0.782551,[17  5] ; [15  2],[18.05128205  3.94871795] ; [13.94871795  3.05128205],0
a8,1,0.38347,0.759549,[ 1 19] ; [ 2 13],[ 1.71428571 18.28571429] ; [ 1.28571429 13.71428571],0
p1,1,0.428674,0.626413,[ 3 19] ; [ 1 16],[ 2.25641026 19.74358974] ; [ 1.74358974 15.25641026],0
a5,1,0.454812,0.558633,[ 9 13] ; [9 8],[10.15384615 11.84615385] ; [7.84615385 9.15384615],0
p11,1,0.457956,0.550886,[13  9] ; [12  5],[14.1025641  7.8974359] ; [10.8974359  6.1025641],0
s7,1,0.468981,0.524376,[ 8 13] ; [8 8],[ 9.08108108 11.91891892] ; [6.91891892 9.08108108],0
d5,1,0.479265,0.500535,[16  6] ; [14  3],[16.92307692  5.07692308] ; [13.07692308  3.92307692],0
s4,1,0.500733,0.453383,[ 8 14] ; [8 9],[ 9.02564103 12.97435897] ; [ 6.97435897 10.02564103],0
v2,1,0.511098,0.431818,[12 10] ; [7 9],[11. 11.] ; [8. 8.],0
p8,1,0.522387,0.409178,[12 10] ; [11  6],[12.97435897  9.02564103] ; [10.02564103  6.97435897],0
a6,1,0.545757,0.364973,[15  7] ; [10  7],[14.1025641  7.8974359] ; [10.8974359  6.1025641],0
a2,1,0.581787,0.303354,[ 4 18] ; [ 2 15],[ 3.38461538 18.61538462] ; [ 2.61538462 14.38461538],0
d2,1,0.700941,0.147495,[ 9 13] ; [8 9],[ 9.58974359 12.41025641] ; [7.41025641 9.58974359],0
r3,1,0.70924,0.139037,[20  2] ; [16  1],[20.30769231  1.69230769] ; [15.69230769  1.30769231],0
a7,1,0.720786,0.127741,[13  9] ; [11  6],[13.53846154  8.46153846] ; [10.46153846  6.53846154],0
n5,1,0.744231,0.106443,[10 11] ; [9 8],[10.5 10.5] ; [8.5 8.5],0
s5,1,0.833497,0.044192,[ 6 14] ; [ 5 10],[ 6.28571429 13.71428571] ; [ 4.71428571 10.28571429],0
p5,1,0.851116,0.035229,[ 1 21] ; [ 1 16],[ 1.12820513 20.87179487] ; [ 0.87179487 16.12820513],0
n4,1,0.85541,0.033204,[11 11] ; [8 9],[10.71794872 11.28205128] ; [8.28205128 8.71794872],0
b5,1,0.882973,0.021668,[16  6] ; [12  5],[15.79487179  6.20512821] ; [12.20512821  4.79487179],0
b3,1,0.898708,0.016204,[4 5] ; [5 7],[3.85714286 5.14285714] ; [5.14285714 6.85714286],0
b2,1,0.898708,0.016204,[4 5] ; [5 7],[3.85714286 5.14285714] ; [5.14285714 6.85714286],0
b4,1,0.920618,0.009931,[12 10] ; [9 8],[11.84615385 10.15384615] ; [9.15384615 7.84615385],0
a3,1,0.920618,0.009931,[12 10] ; [9 8],[11.84615385 10.15384615] ; [9.15384615 7.84615385],0
p3,1,0.920618,0.009931,[12 10] ; [9 8],[11.84615385 10.15384615] ; [9.15384615 7.84615385],0
n3,1,0.931175,0.007459,[9 4] ; [2 1],[8.9375 4.0625] ; [2.0625 0.9375],0
p4,1,0.944955,0.004767,[14  8] ; [11  6],[14.1025641  7.8974359] ; [10.8974359  6.1025641],0
r1,1,0.944955,0.004767,[14  8] ; [11  6],[14.1025641  7.8974359] ; [10.8974359  6.1025641],0
p2,1,0.96558,0.001862,[18  4] ; [14  3],[18.05128205  3.94871795] ; [13.94871795  3.05128205],0
