Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3.2e-05,17.320885,[ 86 144] ; [94 66],[106.15384615 123.84615385] ; [73.84615385 86.15384615],1
v3,1,4.4e-05,16.69266,[ 50 184] ; [65 96],[ 68.12658228 165.87341772] ; [ 46.87341772 114.12658228],1
p2,1,0.000281,13.192427,[154  87] ; [133  32],[170.36206897  70.63793103] ; [116.63793103  48.36206897],1
p3,1,0.000725,11.423572,[ 61 180] ; [68 97],[ 76.57389163 164.42610837] ; [ 52.42610837 112.57389163],1
p4,1,0.002396,9.218418,[ 79 159] ; [80 86],[ 93.66831683 144.33168317] ; [ 65.33168317 100.66831683],0
p9,1,0.003935,8.313495,[150  84] ; [128  37],[163.03759398  70.96240602] ; [114.96240602  50.03759398],0
n5,1,0.005063,7.856763,[143  96] ; [121  44],[156.17821782  82.82178218] ; [107.82178218  57.17821782],0
s6,1,0.009036,6.815788,[ 96 143] ; [87 76],[108.79850746 130.20149254] ; [74.20149254 88.79850746],0
p5,1,0.011893,6.326713,[  6 234] ; [ 13 152],[ 11.25925926 228.74074074] ; [  7.74074074 157.25925926],0
p10,1,0.012805,6.195844,[146  91] ; [122  44],[157.60794045  79.39205955] ; [110.39205955  55.60794045],0
p12,1,0.013895,6.051437,[  3 238] ; [  9 156],[  7.12315271 233.87684729] ; [  4.87684729 160.12315271],0
r4,1,0.014207,6.012177,[176  66] ; [138  28],[186.24509804  55.75490196] ; [127.75490196  38.24509804],0
a5,1,0.014534,5.972075,[145  97] ; [119  47],[156.58823529  85.41176471] ; [107.41176471  58.58823529],0
n6,1,0.017899,5.605974,[168  72] ; [132  32],[178.21782178  61.78217822] ; [121.78217822  42.21782178],0
v4,1,0.031993,4.598849,[201  38] ; [149  14],[208.08457711  30.91542289] ; [141.91542289  21.08457711],0
b2,1,0.036466,4.375169,[ 30 102] ; [32 58],[36.86486486 95.13513514] ; [25.13513514 64.86486486],0
b3,1,0.036466,4.375169,[ 30 102] ; [32 58],[36.86486486 95.13513514] ; [25.13513514 64.86486486],0
p11,1,0.039801,4.226343,[156  86] ; [123  43],[165.48529412  76.51470588] ; [113.51470588  52.48529412],0
u3,1,0.042852,4.10123,[42 60] ; [33 24],[48.11320755 53.88679245] ; [26.88679245 30.11320755],0
r3,1,0.050577,3.822215,[202  38] ; [149  15],[208.51485149  31.48514851] ; [142.48514851  21.51485149],0
r2,1,0.053666,3.723073,[204  34] ; [150  13],[210.10473815  27.89526185] ; [143.89526185  19.10473815],0
n2,1,0.072894,3.21662,[48 30] ; [29  8],[52.22608696 25.77391304] ; [24.77391304 12.22608696],0
a3,1,0.074414,3.18287,[138 103] ; [109  56],[146.6182266  94.3817734] ; [100.3817734  64.6182266],0
r1,1,0.085682,2.953681,[160  81] ; [122  42],[167.80740741  73.19259259] ; [114.19259259  49.80740741],0
u1,1,0.097649,2.743528,[ 21 221] ; [ 23 143],[ 26.09803922 215.90196078] ; [ 17.90196078 148.09803922],0
n4,1,0.100872,2.691695,[152  89] ; [117  48],[159.6773399  81.3226601] ; [109.3226601  55.6773399],0
b1,1,0.102082,2.672718,[ 98 144] ; [ 54 112],[ 90.15686275 151.84313725] ; [ 61.84313725 104.15686275],0
u2,1,0.124289,2.36242,[43 58] ; [31 25],[47.60509554 53.39490446] ; [26.39490446 29.60509554],0
a2,1,0.126162,2.339101,[ 33 209] ; [ 32 134],[ 38.55392157 203.44607843] ; [ 26.44607843 139.55392157],0
p8,1,0.149174,2.080681,[ 78 161] ; [65 99],[ 84.80645161 154.19354839] ; [ 58.19354839 105.80645161],0
n3,1,0.157226,2.000702,[48 28] ; [29  9],[51.33333333 24.66666667] ; [25.66666667 12.33333333],0
b5,1,0.166847,1.911046,[138 104] ; [106  60],[144.7254902  97.2745098] ; [99.2745098 66.7254902],0
p7,1,0.177213,1.82084,[ 95 140] ; [77 86],[101.55778894 133.44221106] ; [70.44221106 92.55778894],0
a7,1,0.190487,1.71385,[159  82] ; [119  46],[165.01970443  75.98029557] ; [112.98029557  52.01970443],0
s4,1,0.230138,1.440008,[ 40 201] ; [ 20 143],[ 35.79207921 205.20792079] ; [ 24.20792079 138.79207921],0
d1,1,0.249815,1.324338,[107 135] ; [83 83],[112.69607843 129.30392157] ; [77.30392157 88.69607843],0
a4,1,0.259572,1.27104,[ 86 155] ; [68 97],[ 91.4137931 149.5862069] ; [ 62.5862069 102.4137931],0
s1,1,0.337419,0.920214,[ 12 228] ; [  5 159],[ 10.0990099 229.9009901] ; [  6.9009901 157.0990099],0
s2,1,0.382246,0.763467,[ 66 174] ; [ 52 113],[ 69.92592593 170.07407407] ; [ 48.07407407 116.92592593],0
b4,1,0.412024,0.672952,[144  98] ; [92 74],[139.98039216 102.01960784] ; [96.01960784 69.98039216],0
a6,1,0.482452,0.493316,[153  88] ; [111  55],[156.32432432  84.67567568] ; [107.67567568  58.32432432],0
d3,1,0.506212,0.441889,[149  92] ; [108  58],[152.17936118  88.82063882] ; [104.82063882  61.17936118],0
s5,1,0.613893,0.254545,[ 46 191] ; [ 35 128],[ 47.9925 189.0075] ; [ 33.0075 129.9925],0
d5,1,0.639702,0.219132,[175  66] ; [124  42],[177.04914005  63.95085995] ; [121.95085995  44.04914005],0
d4,1,0.67727,0.173215,[180  59] ; [128  38],[181.75802469  57.24197531] ; [126.24197531  39.75802469],0
s7,1,0.7004,0.148056,[ 46 185] ; [ 34 124],[ 47.50642674 183.49357326] ; [ 32.49357326 125.50642674],0
s3,1,0.707573,0.140714,[ 94 143] ; [ 62 102],[ 92.19950125 144.80049875] ; [ 63.80049875 100.19950125],0
p1,1,0.720206,0.128296,[ 15 224] ; [  9 157],[ 14.16296296 224.83703704] ; [  9.83703704 156.16296296],0
u4,1,0.788096,0.072245,[  1 241] ; [  1 165],[  1.18627451 240.81372549] ; [  0.81372549 165.18627451],0
d2,1,0.848677,0.036407,[ 94 144] ; [ 64 102],[ 93.07920792 144.92079208] ; [ 64.92079208 101.07920792],0
n1,1,0.887517,0.020007,[26 51] ; [12 25],[25.66666667 51.33333333] ; [12.33333333 24.66666667],0
a1,1,0.8974,0.016627,[ 11 231] ; [  8 158],[ 11.26960784 230.73039216] ; [  7.73039216 158.26960784],0
a8,1,0.924971,0.008869,[ 24 199] ; [ 16 137],[ 23.72340426 199.27659574] ; [ 16.27659574 136.72340426],0
