Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2e-06,22.968619,[51 19] ; [ 3 18],[41.53846154 28.46153846] ; [12.46153846  8.53846154],1
n5,1,0.004769,7.965091,[12 57] ; [10 11],[16.86666667 52.13333333] ; [ 5.13333333 15.86666667],0
d5,1,0.004838,7.939054,[54 16] ; [10 12],[48.69565217 21.30434783] ; [15.30434783  6.69565217],0
b1,1,0.004851,7.934297,[30 40] ; [17  5],[35.76086957 34.23913043] ; [11.23913043 10.76086957],0
r1,1,0.01054,6.54124,[49 20] ; [ 9 13],[43.97802198 25.02197802] ; [14.02197802  7.97802198],0
a6,1,0.013671,6.080177,[49 21] ; [ 9 13],[44.13043478 25.86956522] ; [13.86956522  8.13043478],0
s6,1,0.023082,5.162309,[38 31] ; [ 6 16],[33.36263736 35.63736264] ; [10.63736264 11.36263736],0
s1,1,0.033973,4.496047,[ 3 66] ; [ 4 18],[ 5.30769231 63.69230769] ; [ 1.69230769 20.30769231],0
s3,1,0.038197,4.296214,[40 30] ; [ 7 15],[35.76086957 34.23913043] ; [11.23913043 10.76086957],0
r4,1,0.046054,3.979601,[51 19] ; [11 11],[47.17391304 22.82608696] ; [14.82608696  7.17391304],0
b4,1,0.052204,3.769212,[42 28] ; [ 8 14],[38.04347826 31.95652174] ; [11.95652174 10.04347826],0
a7,1,0.063622,3.440357,[50 20] ; [11 11],[46.41304348 23.58695652] ; [14.58695652  7.41304348],0
n3,1,0.065501,3.392308,[15  9] ; [11  1],[17.33333333  6.66666667] ; [8.66666667 3.33333333],0
v3,1,0.094059,2.803499,[17 48] ; [ 2 20],[14.1954023 50.8045977] ; [ 4.8045977 17.1954023],0
r2,1,0.096741,2.758457,[59 11] ; [15  7],[56.30434783 13.69565217] ; [17.69565217  4.30434783],0
s7,1,0.101717,2.678411,[21 43] ; [ 3 18],[18.07058824 45.92941176] ; [ 5.92941176 15.07058824],0
a3,1,0.116075,2.469493,[42 28] ; [ 9 13],[38.80434783 31.19565217] ; [12.19565217  9.80434783],0
a4,1,0.122605,2.383725,[25 45] ; [ 4 18],[22.06521739 47.93478261] ; [ 6.93478261 15.06521739],0
r3,1,0.170317,1.880147,[59 10] ; [16  6],[56.86813187 12.13186813] ; [18.13186813  3.86813187],0
a2,1,0.174834,1.840996,[11 59] ; [ 1 21],[ 9.13043478 60.86956522] ; [ 2.86956522 19.13043478],0
s4,1,0.193407,1.691469,[15 55] ; [ 2 20],[12.93478261 57.06521739] ; [ 4.06521739 17.93478261],0
u2,1,0.200782,1.636675,[20  7] ; [7 6],[18.225  8.775] ; [8.775 4.225],0
p7,1,0.213939,1.544568,[28 36] ; [13  9],[30.51162791 33.48837209] ; [10.48837209 11.51162791],0
s2,1,0.249948,1.323592,[32 38] ; [ 7 15],[29.67391304 40.32608696] ; [ 9.32608696 12.67391304],0
d2,1,0.25702,1.284737,[25 45] ; [ 5 17],[22.82608696 47.17391304] ; [ 7.17391304 14.82608696],0
a5,1,0.273592,1.198647,[38 32] ; [ 9 13],[35.76086957 34.23913043] ; [11.23913043 10.76086957],0
p9,1,0.284549,1.145232,[45 22] ; [12 10],[42.91011236 24.08988764] ; [14.08988764  7.91011236],0
p1,1,0.345751,0.888992,[ 5 65] ; [ 3 19],[ 6.08695652 63.91304348] ; [ 1.91304348 20.08695652],0
s8,1,0.367738,0.811294,[23 47] ; [ 5 17],[21.30434783 48.69565217] ; [ 6.69565217 15.30434783],0
v2,1,0.378967,0.774049,[30 35] ; [ 7 13],[28.29411765 36.70588235] ; [ 8.70588235 11.29411765],0
b2,1,0.379283,0.773025,[13 28] ; [2 9],[11.82692308 29.17307692] ; [3.17307692 7.82692308],0
b3,1,0.379283,0.773025,[13 28] ; [2 9],[11.82692308 29.17307692] ; [3.17307692 7.82692308],0
p11,1,0.389249,0.741288,[34 36] ; [13  9],[35.76086957 34.23913043] ; [11.23913043 10.76086957],0
v4,1,0.449055,0.573035,[59 11] ; [17  5],[57.82608696 12.17391304] ; [18.17391304  3.82608696],0
b5,1,0.479307,0.50044,[41 29] ; [11 11],[39.56521739 30.43478261] ; [12.43478261  9.56521739],0
n1,1,0.554015,0.350173,[ 9 15] ; [3 8],[ 8.22857143 15.77142857] ; [3.77142857 7.22857143],0
p4,1,0.633834,0.226898,[27 41] ; [10 12],[27.95555556 40.04444444] ; [ 9.04444444 12.95555556],0
v1,1,0.637591,0.221907,[29 40] ; [ 8 14],[28.05494505 40.94505495] ; [ 8.94505495 13.05494505],0
p3,1,0.654588,0.200165,[22 46] ; [ 6 16],[21.15555556 46.84444444] ; [ 6.84444444 15.15555556],0
p10,1,0.670288,0.181265,[40 27] ; [12 10],[39.14606742 27.85393258] ; [12.85393258  9.14606742],0
a8,1,0.744201,0.106469,[ 2 63] ; [ 1 21],[ 2.24137931 62.75862069] ; [ 0.75862069 21.24137931],0
u3,1,0.750112,0.101437,[18  9] ; [8 5],[17.55  9.45] ; [8.45 4.55],0
p2,1,0.786399,0.073435,[43 26] ; [13  9],[42.46153846 26.53846154] ; [13.53846154  8.46153846],0
p8,1,0.931182,0.007458,[28 39] ; [ 9 12],[28.17045455 38.82954545] ; [ 8.82954545 12.17045455],0
p5,1,0.946028,0.004583,[ 3 65] ; [ 1 20],[ 3.05617978 64.94382022] ; [ 0.94382022 20.05617978],0
p6,1,0.973124,0.001135,[15 50] ; [ 5 17],[14.94252874 50.05747126] ; [ 5.05747126 16.94252874],0
n2,1,1.0,0.0,[14 10] ; [7 5],[14. 10.] ; [7. 5.],0
