Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.016573,5.741039,[ 6 16] ; [15  9],[10.04347826 11.95652174] ; [10.95652174 13.04347826],0
d4,1,0.017188,5.677078,[17  7] ; [24  1],[20.08163265  3.91836735] ; [20.91836735  4.08163265],0
p4,1,0.062465,3.470693,[11 13] ; [18  7],[14.20408163  9.79591837] ; [14.79591837 10.20408163],0
p3,1,0.063596,3.441025,[ 9 15] ; [16  9],[12.24489796 11.75510204] ; [12.75510204 12.24489796],0
v3,1,0.078947,3.086445,[ 3 18] ; [ 9 15],[ 5.6 15.4] ; [ 6.4 17.6],0
p9,1,0.093006,2.821565,[17  6] ; [23  2],[19.16666667  3.83333333] ; [20.83333333  4.16666667],0
n3,1,0.095852,2.773232,[7 4] ; [2 6],[5.21052632 5.78947368] ; [3.78947368 4.21052632],0
p10,1,0.116162,2.46832,[16  7] ; [22  3],[18.20833333  4.79166667] ; [19.79166667  5.20833333],0
p2,1,0.133277,2.253913,[15  8] ; [21  4],[17.25  5.75] ; [18.75  6.25],0
s8,1,0.176189,1.829477,[ 7 17] ; [12 13],[ 9.30612245 14.69387755] ; [ 9.69387755 15.30612245],0
p8,1,0.181489,1.785392,[ 8 15] ; [13 11],[10.27659574 12.72340426] ; [10.72340426 13.27659574],0
s4,1,0.195506,1.67563,[11 13] ; [ 7 18],[ 8.81632653 15.18367347] ; [ 9.18367347 15.81632653],0
a1,1,0.199375,1.646944,[ 5 19] ; [ 2 23],[ 3.42857143 20.57142857] ; [ 3.57142857 21.42857143],0
d1,1,0.199375,1.646944,[10 14] ; [15 10],[12.24489796 11.75510204] ; [12.75510204 12.24489796],0
p5,1,0.202431,1.624751,[ 3 20] ; [ 7 18],[ 4.79166667 18.20833333] ; [ 5.20833333 19.79166667],0
d5,1,0.269491,1.219334,[17  7] ; [21  4],[18.6122449  5.3877551] ; [19.3877551  5.6122449],0
s1,1,0.277339,1.180083,[ 3 21] ; [ 1 24],[ 1.95918367 22.04081633] ; [ 2.04081633 22.95918367],0
n6,1,0.298688,1.080042,[21  3] ; [19  6],[19.59183673  4.40816327] ; [20.40816327  4.59183673],0
