Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,29.944666,[43 50] ; [ 17 112],[25.13513514 67.86486486] ; [34.86486486 94.13513514],1
a5,1,0.001012,10.805712,[76 19] ; [79 54],[64.58333333 30.41666667] ; [90.41666667 42.58333333],0
d5,1,0.003503,8.525083,[82 13] ; [92 40],[72.81938326 22.18061674] ; [101.18061674  30.81938326],0
r1,1,0.013075,6.158895,[82 12] ; [98 35],[74.53744493 19.46255507] ; [105.46255507  27.53744493],0
r3,1,0.014312,5.999276,[92  2] ; [118  14],[87.34513274  6.65486726] ; [122.65486726   9.34513274],0
a3,1,0.015375,5.872932,[73 22] ; [82 51],[64.58333333 30.41666667] ; [90.41666667 42.58333333],0
p10,1,0.01634,5.765894,[80 15] ; [93 39],[72.40088106 22.59911894] ; [100.59911894  31.40088106],0
s1,1,0.016838,5.713158,[ 1 93] ; [ 11 122],[ 4.969163 89.030837] ; [  7.030837 125.969163],0
a7,1,0.03506,4.442257,[75 20] ; [88 45],[67.91666667 27.08333333] ; [95.08333333 37.91666667],0
p12,1,0.039294,4.248092,[ 9 86] ; [  4 128],[ 5.44052863 89.55947137] ; [  7.55947137 124.44052863],0
d1,1,0.055424,3.669269,[60 35] ; [67 66],[52.91666667 42.08333333] ; [74.08333333 58.91666667],0
n2,1,0.084802,2.970375,[19  2] ; [27 11],[16.37288136  4.62711864] ; [29.62711864  8.37288136],0
n3,1,0.090219,2.870469,[18  2] ; [26 11],[15.43859649  4.56140351] ; [28.56140351  8.43859649],0
p9,1,0.097132,2.752014,[81 14] ; [100  31],[76.0840708 18.9159292] ; [104.9159292  26.0840708],0
p11,1,0.100237,2.701763,[75 20] ; [92 41],[69.58333333 25.41666667] ; [97.41666667 35.58333333],0
a2,1,0.105688,2.617541,[24 71] ; [ 22 111],[19.16666667 75.83333333] ; [ 26.83333333 106.16666667],0
d2,1,0.108316,2.578619,[52 43] ; [58 74],[46.03524229 48.96475771] ; [63.96475771 68.03524229],0
r4,1,0.124776,2.356322,[86  9] ; [111  22],[82.08333333 12.91666667] ; [114.91666667  18.08333333],0
p1,1,0.15212,2.050858,[ 4 91] ; [ 12 119],[ 6.72566372 88.27433628] ; [  9.27433628 121.72566372],0
r2,1,0.153602,2.036107,[90  4] ; [118  12],[87.28571429  6.71428571] ; [120.71428571   9.28571429],0
d4,1,0.154766,2.024634,[80 15] ; [101  31],[75.74889868 19.25110132] ; [105.25110132  26.74889868],0
s8,1,0.157097,2.001951,[49 46] ; [56 77],[43.75 51.25] ; [61.25 71.75],0
s7,1,0.180503,1.793478,[60 32] ; [72 56],[55.2 36.8] ; [76.8 51.2],0
b3,1,0.18236,1.778289,[19 32] ; [21 59],[15.57251908 35.42748092] ; [24.42748092 55.57251908],0
b2,1,0.18236,1.778289,[19 32] ; [21 59],[15.57251908 35.42748092] ; [24.42748092 55.57251908],0
p2,1,0.189514,1.721388,[75 20] ; [113  19],[78.6784141 16.3215859] ; [109.3215859  22.6784141],0
a6,1,0.20945,1.575223,[68 27] ; [84 48],[63.6123348 31.3876652] ; [88.3876652 43.6123348],0
u2,1,0.221182,1.496689,[ 8 13] ; [27 23],[10.35211268 10.64788732] ; [24.64788732 25.35211268],0
u3,1,0.252559,1.309091,[10 12] ; [30 20],[12.22222222  9.77777778] ; [27.77777778 22.22222222],0
b4,1,0.255509,1.292927,[60 35] ; [74 59],[55.83333333 39.16666667] ; [78.16666667 54.83333333],0
n6,1,0.281126,1.16164,[77 17] ; [101  32],[73.7092511 20.2907489] ; [104.2907489  28.7092511],0
s6,1,0.29973,1.075396,[77 17] ; [99 31],[73.85714286 20.14285714] ; [102.14285714  27.85714286],0
s2,1,0.299876,1.074747,[71 24] ; [91 42],[67.5 27.5] ; [94.5 38.5],0
s4,1,0.371673,0.798065,[22 73] ; [37 93],[24.91111111 70.08888889] ; [34.08888889 95.91111111],0
b5,1,0.381088,0.767188,[48 47] ; [75 58],[51.25 43.75] ; [71.75 61.25],0
p5,1,0.435605,0.607833,[ 6 89] ; [ 12 119],[ 7.56637168 87.43362832] ; [ 10.43362832 120.56637168],0
p3,1,0.450365,0.569734,[48 47] ; [60 72],[45.19823789 49.80176211] ; [62.80176211 69.19823789],0
p8,1,0.457575,0.551819,[46 48] ; [58 74],[43.25663717 50.74336283] ; [60.74336283 71.25663717],0
p6,1,0.520022,0.413849,[29 66] ; [46 87],[31.25 63.75] ; [43.75 89.25],0
n5,1,0.52853,0.397218,[64 30] ; [95 37],[66.13274336 27.86725664] ; [92.86725664 39.13274336],0
p7,1,0.670403,0.181131,[61 34] ; [78 49],[59.48198198 35.51801802] ; [79.51801802 47.48198198],0
b1,1,0.680167,0.169938,[39 56] ; [51 82],[37.5 57.5] ; [52.5 80.5],0
d3,1,0.691413,0.157559,[65 30] ; [87 45],[63.6123348 31.3876652] ; [88.3876652 43.6123348],0
s5,1,0.694214,0.154562,[30 56] ; [42 88],[28.66666667 57.33333333] ; [43.33333333 86.66666667],0
n1,1,0.702601,0.14578,[ 7 12] ; [16 22],[ 7.66666667 11.33333333] ; [15.33333333 22.66666667],0
p4,1,0.783145,0.075747,[55 40] ; [74 58],[53.98678414 41.01321586] ; [75.01321586 56.98678414],0
u1,1,0.789042,0.071586,[17 78] ; [ 22 111],[16.25 78.75] ; [ 22.75 110.25],0
