Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,29.845664,[106   6] ; [11 10],[98.52631579 13.47368421] ; [18.47368421  2.52631579],1
n6,1,5.1e-05,16.419261,[101  10] ; [12  9],[95.02272727 15.97727273] ; [17.97727273  3.02272727],1
p2,1,0.002285,9.305397,[95 16] ; [12  9],[89.97727273 21.02272727] ; [17.02272727  3.97727273],0
b4,1,0.016113,5.790476,[48 64] ; [15  6],[53.05263158 58.94736842] ; [ 9.94736842 11.05263158],0
p1,1,0.01921,5.482306,[  8 103] ; [ 5 16],[ 10.93181818 100.06818182] ; [ 2.06818182 18.93181818],0
v3,1,0.023674,5.118345,[57 55] ; [ 4 14],[52.55384615 59.44615385] ; [8.44615385 9.55384615],0
s8,1,0.027352,4.86846,[85 27] ; [11 10],[80.84210526 31.15789474] ; [15.15789474  5.84210526],0
p9,1,0.029642,4.729933,[99 12] ; [15  6],[95.86363636 15.13636364] ; [18.13636364  2.86363636],0
s2,1,0.035244,4.433333,[84 28] ; [11 10],[80. 32.] ; [15.  6.],0
p7,1,0.095501,2.779122,[78 32] ; [11 10],[74.73282443 35.26717557] ; [14.26717557  6.73282443],0
p4,1,0.107695,2.587727,[74 38] ; [10 11],[70.73684211 41.26315789] ; [13.26315789  7.73684211],0
p10,1,0.110416,2.548263,[95 16] ; [15  6],[92.5 18.5] ; [17.5  3.5],0
s4,1,0.158568,1.987828,[26 85] ; [ 8 13],[28.59090909 82.40909091] ; [ 5.40909091 15.59090909],0
p5,1,0.165482,1.923401,[19 92] ; [ 1 19],[16.94656489 94.05343511] ; [ 3.05343511 16.94656489],0
b1,1,0.168297,1.898046,[61 51] ; [ 8 13],[58.10526316 53.89473684] ; [10.89473684 10.10526316],0
v4,1,0.177724,1.816551,[104   7] ; [17  3],[102.52671756   8.47328244] ; [18.47328244  1.52671756],0
s6,1,0.192211,1.700586,[91 18] ; [15  6],[88.87692308 20.12307692] ; [17.12307692  3.87692308],0
u3,1,0.236724,1.4,[8 8] ; [4 1],[9.14285714 6.85714286] ; [2.85714286 2.14285714],0
a8,1,0.239478,1.383666,[16 93] ; [ 1 19],[14.36434109 94.63565891] ; [ 2.63565891 17.36434109],0
a3,1,0.272056,1.206349,[96 16] ; [16  5],[94.31578947 17.68421053] ; [17.68421053  3.31578947],0
p8,1,0.30543,1.050333,[60 49] ; [ 9 12],[57.85384615 51.14615385] ; [11.14615385  9.85384615],0
v1,1,0.364719,0.821577,[63 45] ; [10 11],[61.11627907 46.88372093] ; [11.88372093  9.11627907],0
a6,1,0.385218,0.753982,[37 75] ; [ 9 12],[38.73684211 73.26315789] ; [ 7.26315789 13.73684211],0
a4,1,0.408666,0.682678,[53 59] ; [12  9],[54.73684211 57.26315789] ; [10.26315789 10.73684211],0
p3,1,0.416072,0.661383,[64 48] ; [14  7],[65.68421053 46.31578947] ; [12.31578947  8.68421053],0
b5,1,0.420159,0.64987,[48 64] ; [11 10],[49.68421053 62.31578947] ; [ 9.31578947 11.68421053],0
p6,1,0.439226,0.598303,[52 58] ; [ 8 13],[50.38167939 59.61832061] ; [ 9.61832061 11.38167939],0
d4,1,0.444718,0.584078,[87 24] ; [18  3],[88.29545455 22.70454545] ; [16.70454545  4.29545455],0
u1,1,0.457707,0.551495,[ 11 101] ; [ 1 20],[ 10.10526316 101.89473684] ; [ 1.89473684 19.10526316],0
u2,1,0.468717,0.525,[10  6] ; [4 1],[10.66666667  5.33333333] ; [3.33333333 1.66666667],0
d5,1,0.496546,0.462312,[88 23] ; [18  3],[89.13636364 21.86363636] ; [16.86363636  4.13636364],0
a2,1,0.540717,0.374212,[ 11 101] ; [ 3 18],[ 11.78947368 100.21052632] ; [ 2.21052632 18.78947368],0
d1,1,0.547904,0.361086,[56 56] ; [12  9],[57.26315789 54.73684211] ; [10.73684211 10.26315789],0
d2,1,0.547904,0.361086,[56 56] ; [12  9],[57.26315789 54.73684211] ; [10.73684211 10.26315789],0
r1,1,0.558146,0.342925,[84 28] ; [17  4],[85.05263158 26.94736842] ; [15.94736842  5.05263158],0
a5,1,0.558146,0.342925,[84 28] ; [17  4],[85.05263158 26.94736842] ; [15.94736842  5.05263158],0
s3,1,0.663817,0.18892,[85 27] ; [15  6],[84.21052632 27.78947368] ; [15.78947368  5.21052632],0
d3,1,0.670229,0.181334,[53 59] ; [11 10],[53.89473684 58.10526316] ; [10.10526316 10.89473684],0
r4,1,0.691276,0.157708,[92 20] ; [18  3],[92.63157895 19.36842105] ; [17.36842105  3.63157895],0
n2,1,0.703273,0.145089,[25  7] ; [5 2],[24.61538462  7.38461538] ; [5.38461538 1.61538462],0
r2,1,0.721847,0.12673,[102   8] ; [19  2],[101.60305344   8.39694656] ; [19.39694656  1.60305344],0
b2,1,0.754835,0.097513,[42 40] ; [8 9],[41.41414141 40.58585859] ; [8.58585859 8.41414141],0
b3,1,0.754835,0.097513,[42 40] ; [8 9],[41.41414141 40.58585859] ; [8.58585859 8.41414141],0
p11,1,0.896424,0.016947,[92 20] ; [17  4],[91.78947368 20.21052632] ; [17.21052632  3.78947368],0
v2,1,0.909893,0.012808,[53 56] ; [10 10],[53.23255814 55.76744186] ; [ 9.76744186 10.23255814],0
n3,1,0.960637,0.002436,[21 11] ; [4 2],[21.05263158 10.94736842] ; [3.94736842 2.05263158],0
s5,1,0.963375,0.002109,[48 60] ; [ 9 11],[48.09375 59.90625] ; [ 8.90625 11.09375],0
