Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,2e-06,22.593993,[  4 128] ; [13 37],[ 12.32967033 119.67032967] ; [ 4.67032967 45.32967033],1
a7,1,0.002363,9.243591,[107  24] ; [30 20],[99.15469613 31.84530387] ; [37.84530387 12.15469613],0
s6,1,0.002692,9.004989,[63 69] ; [35 13],[71.86666667 60.13333333] ; [26.13333333 21.86666667],0
d4,1,0.003885,8.33657,[95 37] ; [46  4],[102.26373626  29.73626374] ; [38.73626374 11.26373626],0
p10,1,0.00617,7.500069,[96 35] ; [46  4],[102.77348066  28.22651934] ; [39.22651934 10.77348066],0
p9,1,0.014071,6.029227,[100  32] ; [46  4],[105.89010989  26.10989011] ; [40.10989011  9.89010989],0
b5,1,0.018806,5.519491,[81 51] ; [21 29],[73.97802198 58.02197802] ; [28.02197802 21.97802198],0
s2,1,0.046717,3.955555,[35 96] ; [21 29],[40.53038674 90.46961326] ; [15.46961326 34.53038674],0
d1,1,0.05305,3.742329,[66 66] ; [33 17],[71.8021978 60.1978022] ; [27.1978022 22.8021978],0
a3,1,0.086771,2.933282,[74 58] ; [35 15],[79.05494505 52.94505495] ; [29.94505495 20.05494505],0
a5,1,0.094859,2.78992,[92 40] ; [41  9],[96.46153846 35.53846154] ; [36.53846154 13.46153846],0
b3,1,0.124984,2.353724,[24 55] ; [13 15],[27.31775701 51.68224299] ; [ 9.68224299 18.31775701],0
b2,1,0.124984,2.353724,[24 55] ; [13 15],[27.31775701 51.68224299] ; [ 9.68224299 18.31775701],0
n4,1,0.129185,2.302267,[104  28] ; [34 16],[100.08791209  31.91208791] ; [37.91208791 12.08791209],0
d3,1,0.240827,1.375746,[80 52] ; [35 15],[83.40659341 48.59340659] ; [31.59340659 18.40659341],0
p6,1,0.249145,1.328091,[44 87] ; [21 28],[47.30555556 83.69444444] ; [17.69444444 31.30555556],0
a4,1,0.269357,1.220016,[54 78] ; [25 25],[57.2967033 74.7032967] ; [21.7032967 28.2967033],0
p11,1,0.270466,1.214384,[104  28] ; [43  7],[106.61538462  25.38461538] ; [40.38461538  9.61538462],0
v1,1,0.283004,1.152606,[69 60] ; [30 18],[72.15254237 56.84745763] ; [26.84745763 21.15254237],0
s1,1,0.307431,1.041682,[  2 130] ; [ 2 48],[  2.9010989 129.0989011] ; [ 1.0989011 48.9010989],0
v4,1,0.310943,1.026667,[121  11] ; [48  2],[122.57142857   9.42857143] ; [46.42857143  3.57142857],0
a1,1,0.352406,0.864776,[  4 128] ; [ 3 47],[  5.07692308 126.92307692] ; [ 1.92307692 48.07692308],0
u1,1,0.356318,0.850827,[ 19 113] ; [10 40],[ 21.03296703 110.96703297] ; [ 7.96703297 42.03296703],0
n6,1,0.362283,0.829964,[105  26] ; [43  7],[107.1160221  23.8839779] ; [40.8839779  9.1160221],0
r1,1,0.388201,0.74457,[99 32] ; [40  9],[101.16111111  29.83888889] ; [37.83888889 11.16111111],0
r4,1,0.427473,0.629681,[116  16] ; [46  4],[117.49450549  14.50549451] ; [44.50549451  5.49450549],0
u3,1,0.461872,0.541353,[32 25] ; [10  5],[33.25 23.75] ; [8.75 6.25],0
s8,1,0.494424,0.466884,[33 99] ; [15 35],[34.81318681 97.18681319] ; [13.18681319 36.81318681],0
d5,1,0.496098,0.463273,[105  27] ; [42  8],[106.61538462  25.38461538] ; [40.38461538  9.61538462],0
d2,1,0.498725,0.457649,[56 76] ; [24 26],[58.02197802 73.97802198] ; [21.97802198 28.02197802],0
s4,1,0.515798,0.422287,[ 17 115] ; [ 8 40],[ 18.33333333 113.66666667] ; [ 6.66666667 41.33333333],0
s3,1,0.52119,0.411538,[50 79] ; [22 28],[51.88826816 77.11173184] ; [20.11173184 29.88826816],0
u2,1,0.528879,0.396546,[28 29] ; [6 9],[26.91666667 30.08333333] ; [7.08333333 7.91666667],0
v3,1,0.53445,0.385923,[42 85] ; [19 31],[43.76836158 83.23163842] ; [17.23163842 32.76836158],0
b4,1,0.545465,0.365504,[78 54] ; [32 18],[79.78021978 52.21978022] ; [30.21978022 19.78021978],0
a2,1,0.556428,0.345927,[ 29 103] ; [ 9 41],[ 27.56043956 104.43956044] ; [10.43956044 39.56043956],0
p8,1,0.563847,0.333086,[81 51] ; [33 17],[82.68131868 49.31868132] ; [31.31868132 18.68131868],0
p2,1,0.564971,0.33117,[108  23] ; [43  7],[109.28729282  21.71270718] ; [41.71270718  8.28729282],0
p1,1,0.56812,0.325839,[ 12 119] ; [ 6 44],[ 13.02762431 117.97237569] ; [ 4.97237569 45.02762431],0
p4,1,0.602593,0.271103,[100  32] ; [36 14],[98.63736264 33.36263736] ; [37.36263736 12.63736264],0
b1,1,0.61019,0.259898,[61 71] ; [21 29],[59.47252747 72.52747253] ; [22.52747253 27.47252747],0
n3,1,0.658173,0.19575,[21  4] ; [3 1],[20.68965517  4.31034483] ; [3.31034483 0.68965517],0
p7,1,0.819277,0.052201,[94 37] ; [36 13],[94.61111111 36.38888889] ; [35.38888889 13.61111111],0
r2,1,0.824022,0.049451,[121   9] ; [47  3],[121.33333333   8.66666667] ; [46.66666667  3.33333333],0
n5,1,0.893436,0.017945,[93 38] ; [36 14],[93.36464088 37.63535912] ; [35.63535912 14.36464088],0
n2,1,0.900807,0.015536,[18  7] ; [3 1],[18.10344828  6.89655172] ; [2.89655172 1.10344828],0
n1,1,0.900807,0.015536,[ 7 18] ; [1 3],[ 6.89655172 18.10344828] ; [1.10344828 2.89655172],0
v2,1,0.911975,0.012221,[74 53] ; [29 20],[74.32386364 52.67613636] ; [28.67613636 20.32386364],0
r3,1,0.92362,0.009192,[122  10] ; [46  4],[121.84615385  10.15384615] ; [46.15384615  3.84615385],0
a8,1,0.950787,0.003809,[ 12 102] ; [ 5 44],[ 11.88957055 102.11042945] ; [ 5.11042945 43.88957055],0
a6,1,0.952218,0.003591,[93 39] ; [35 15],[92.83516484 39.16483516] ; [35.16483516 14.83516484],0
p12,1,0.987654,0.000239,[  8 124] ; [ 3 46],[  8.02209945 123.97790055] ; [ 2.97790055 46.02209945],0
