Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,65.131369,[44 72] ; [135  24],[75.50545455 40.49454545] ; [103.49454545  55.50545455],1
s2,1,1e-06,23.4,[70 51] ; [138  27],[88. 33.] ; [120.  45.],1
s3,1,7e-06,20.320798,[64 54] ; [131  34],[81.30742049 36.69257951] ; [113.69257951  51.30742049],1
v1,1,9.6e-05,15.217896,[58 61] ; [118  47],[73.74647887 45.25352113] ; [102.25352113  62.74647887],1
a5,1,0.000301,13.06672,[83 38] ; [144  23],[95.37152778 25.62847222] ; [131.62847222  35.37152778],1
a3,1,0.000465,12.251673,[80 40] ; [140  26],[92.30769231 27.69230769] ; [127.69230769  38.30769231],1
s6,1,0.001897,9.647002,[94 24] ; [154  13],[102.68070175  15.31929825] ; [145.31929825  21.68070175],0
v3,1,0.002188,9.384371,[41 80] ; [85 78],[53.68309859 67.31690141] ; [72.31690141 90.68309859],0
d1,1,0.003494,8.529898,[66 55] ; [119  48],[77.72569444 43.27430556] ; [107.27430556  59.72569444],0
p10,1,0.006298,7.462988,[96 22] ; [153  13],[103.45774648  14.54225352] ; [145.54225352  20.45774648],0
n5,1,0.008973,6.828153,[85 35] ; [139  27],[93.98601399 26.01398601] ; [130.01398601  35.98601399],0
p6,1,0.009115,6.800137,[44 73] ; [88 77],[54.76595745 62.23404255] ; [77.23404255 87.76595745],0
p9,1,0.01378,6.066159,[97 18] ; [156  11],[103.17375887  11.82624113] ; [149.82624113  17.17375887],0
a6,1,0.017029,5.693336,[68 53] ; [116  50],[77.57491289 43.42508711] ; [106.42508711  59.57491289],0
b1,1,0.018102,5.58625,[37 84] ; [74 93],[46.63541667 74.36458333] ; [ 64.36458333 102.63541667],0
p7,1,0.0254,4.996407,[77 39] ; [127  35],[85.12230216 30.87769784] ; [118.87769784  43.12230216],0
r1,1,0.02889,4.774178,[94 26] ; [146  20],[100.6993007  19.3006993] ; [139.3006993  26.6993007],0
d5,1,0.031357,4.633298,[95 26] ; [146  20],[101.60627178  19.39372822] ; [139.39372822  26.60627178],0
v2,1,0.03474,4.457886,[61 58] ; [104  59],[69.62765957 49.37234043] ; [95.37234043 67.62765957],0
u1,1,0.03686,4.35689,[ 20 101] ; [ 45 122],[27.30902778 93.69097222] ; [ 37.69097222 129.30902778],0
n1,1,0.066831,3.35918,[ 7 15] ; [24 19],[10.49230769 11.50769231] ; [20.50769231 22.49230769],0
p8,1,0.077308,3.120599,[62 56] ; [104  61],[69.2155477 48.7844523] ; [96.7844523 68.2155477],0
d3,1,0.083204,3.001186,[80 41] ; [126  41],[86.54861111 34.45138889] ; [119.45138889  47.54861111],0
d2,1,0.123461,2.372854,[56 63] ; [94 73],[62.41258741 56.58741259] ; [87.58741259 79.41258741],0
b4,1,0.126715,2.332298,[81 40] ; [97 70],[74.78472222 46.21527778] ; [103.21527778  63.78472222],0
r2,1,0.130355,2.288277,[115   6] ; [163   3],[117.20557491   3.79442509] ; [160.79442509   5.20557491],0
a2,1,0.134763,2.236763,[28 93] ; [ 52 115],[33.61111111 87.38888889] ; [ 46.38888889 120.61111111],0
r4,1,0.144409,2.130342,[113   8] ; [162   5],[115.53819444   5.46180556] ; [159.46180556   7.53819444],0
b2,1,0.174444,1.844335,[24 44] ; [48 57],[28.30057803 39.69942197] ; [43.69942197 61.30057803],0
b3,1,0.174444,1.844335,[24 44] ; [48 57],[28.30057803 39.69942197] ; [43.69942197 61.30057803],0
n4,1,0.209423,1.57541,[90 31] ; [133  32],[94.34615385 26.65384615] ; [128.65384615  36.34615385],0
a8,1,0.212559,1.553913,[ 11 100] ; [ 23 129],[14.34980989 96.65019011] ; [ 19.65019011 132.34980989],0
p4,1,0.219255,1.509241,[75 43] ; [117  49],[79.77464789 38.22535211] ; [112.22535211  53.77464789],0
r3,1,0.2298,1.442097,[112   7] ; [162   5],[114.00699301   4.99300699] ; [159.99300699   7.00699301],0
n2,1,0.284706,1.144489,[21  2] ; [35  8],[19.51515152  3.48484848] ; [36.48484848  6.51515152],0
u2,1,0.295271,1.095429,[20 20] ; [17 10],[22.08955224 17.91044776] ; [14.91044776 12.08955224],0
a7,1,0.364946,0.820801,[78 42] ; [117  50],[81.53310105 38.46689895] ; [113.46689895  53.53310105],0
b5,1,0.396111,0.720099,[62 59] ; [94 73],[65.54166667 55.45833333] ; [90.45833333 76.54166667],0
u3,1,0.427662,0.629164,[25 16] ; [19  8],[26.52941176 14.47058824] ; [17.47058824  9.52941176],0
p11,1,0.475882,0.508284,[97 24] ; [128  39],[94.53125 26.46875] ; [130.46875  36.53125],0
p3,1,0.479451,0.500112,[67 52] ; [101  66],[69.9020979 49.0979021] ; [98.0979021 68.9020979],0
a4,1,0.485646,0.486159,[58 63] ; [87 80],[60.92013889 60.07986111] ; [84.07986111 82.92013889],0
p12,1,0.56724,0.327323,[ 13 106] ; [ 22 145],[ 14.56293706 104.43706294] ; [ 20.43706294 146.56293706],0
s1,1,0.586308,0.296146,[  6 114] ; [  6 157],[  5.08833922 114.91166078] ; [  6.91166078 156.08833922],0
d4,1,0.598329,0.277524,[103  17] ; [146  20],[104.47552448  15.52447552] ; [144.52447552  21.47552448],0
s4,1,0.610783,0.259037,[29 89] ; [ 45 120],[30.85512367 87.14487633] ; [ 43.14487633 121.85512367],0
p1,1,0.689804,0.159297,[ 14 106] ; [ 22 144],[ 15.1048951 104.8951049] ; [ 20.8951049 145.1048951],0
p2,1,0.716847,0.131534,[103  16] ; [142  25],[101.94055944  17.05944056] ; [143.05944056  23.94055944],0
n6,1,0.804981,0.060963,[108  12] ; [147  18],[107.36842105  12.63157895] ; [147.63157895  17.36842105],0
n3,1,0.828897,0.046706,[16  7] ; [31 12],[16.37878788  6.62121212] ; [30.62121212 12.37878788],0
p5,1,0.870718,0.026486,[24 95] ; [ 35 132],[24.54895105 94.45104895] ; [ 34.45104895 132.54895105],0
a1,1,0.993338,7e-05,[  8 113] ; [ 11 156],[  7.98263889 113.01736111] ; [ 11.01736111 155.98263889],0
