Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,4e-05,16.878858,[254  34] ; [16 11],[246.85714286  41.14285714] ; [23.14285714  3.85714286],1
n5,1,0.001439,10.154686,[254  33] ; [18  9],[248.61146497  38.38853503] ; [23.38853503  3.61146497],0
d5,1,0.011433,6.396698,[253  35] ; [19  8],[248.68571429  39.31428571] ; [23.31428571  3.68571429],0
p8,1,0.01253,6.234328,[204  82] ; [13 14],[198.28115016  87.71884984] ; [18.71884984  8.28115016],0
v3,1,0.016229,5.777933,[155 125] ; [ 8 18],[149.1503268 130.8496732] ; [13.8496732 12.1503268],0
p7,1,0.019319,5.472365,[224  63] ; [15 11],[219.14696486  67.85303514] ; [19.85303514  6.14696486],0
a7,1,0.030754,4.666667,[224  64] ; [16 11],[219.42857143  68.57142857] ; [20.57142857  6.42857143],0
p10,1,0.038713,4.273433,[259  27] ; [21  6],[255.84664537  30.15335463] ; [24.15335463  2.84664537],0
v2,1,0.041951,4.13717,[201  83] ; [14 13],[196.33440514  87.66559486] ; [18.66559486  8.33440514],0
a6,1,0.044127,4.051703,[204  85] ; [14 13],[199.37341772  89.62658228] ; [18.62658228  8.37341772],0
a3,1,0.049598,3.854994,[220  68] ; [16 11],[215.77142857  72.22857143] ; [20.22857143  6.77142857],0
u3,1,0.074282,3.185778,[44 25] ; [10  1],[46.575 22.425] ; [7.425 3.575],0
r4,1,0.074738,3.175775,[272  17] ; [23  4],[269.7943038  19.2056962] ; [25.2056962  1.7943038],0
a5,1,0.07699,3.127327,[234  55] ; [18  9],[230.46835443  58.53164557] ; [21.53164557  5.46835443],0
a2,1,0.093385,2.815026,[ 87 202] ; [ 4 23],[ 83.22468354 205.77531646] ; [ 7.77531646 19.22468354],0
d3,1,0.108804,2.57151,[222  67] ; [17 10],[218.57911392  70.42088608] ; [20.42088608  6.57911392],0
p3,1,0.124448,2.360428,[202  87] ; [15 12],[198.45886076  90.54113924] ; [18.54113924  8.45886076],0
p11,1,0.13254,2.262499,[246  43] ; [20  7],[243.2721519  45.7278481] ; [22.7278481  4.2721519],0
r1,1,0.137341,2.207505,[244  43] ; [20  7],[241.29936306  45.70063694] ; [22.70063694  4.29936306],0
r2,1,0.173098,1.855908,[272  14] ; [24  3],[270.46645367  15.53354633] ; [25.53354633  1.46645367],0
r3,1,0.187864,1.734288,[281   8] ; [25  2],[279.85443038   9.14556962] ; [26.14556962  0.85443038],0
a1,1,0.204286,1.611464,[ 15 274] ; [ 3 24],[ 16.46202532 272.53797468] ; [ 1.53797468 25.46202532],0
p1,1,0.229456,1.44423,[ 32 256] ; [ 1 26],[ 30.17142857 257.82857143] ; [ 2.82857143 24.17142857],0
d4,1,0.241013,1.374657,[248  40] ; [21  6],[245.94285714  42.05714286] ; [23.05714286  3.94285714],0
v4,1,0.248449,1.332001,[278   9] ; [25  2],[276.94585987  10.05414013] ; [26.05414013  0.94585987],0
d2,1,0.26751,1.229468,[160 128] ; [12 15],[157.25714286 130.74285714] ; [14.74285714 12.25714286],0
s4,1,0.305982,1.047939,[ 44 242] ; [ 6 20],[ 45.83333333 240.16666667] ; [ 4.16666667 21.83333333],0
d1,1,0.306376,1.046235,[199  90] ; [16 11],[196.62974684  92.37025316] ; [18.37025316  8.62974684],0
s7,1,0.311394,1.024755,[159 113] ; [12 13],[156.60606061 115.39393939] ; [14.39393939 10.60606061],0
s2,1,0.409803,0.679371,[162 122] ; [17  9],[163.98709677 120.01290323] ; [15.01290323 10.98709677],0
p6,1,0.431184,0.619631,[155 131] ; [12 14],[153.08333333 132.91666667] ; [13.91666667 12.08333333],0
