Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,3.4e-05,17.196801,[23  4] ; [17 31],[14.4 12.6] ; [25.6 22.4],1
v3,1,0.003517,8.517664,[14 15] ; [ 8 39],[ 8.39473684 20.60526316] ; [13.60526316 33.39473684],0
d1,1,0.004303,8.151237,[20  9] ; [17 31],[13.93506494 15.06493506] ; [23.06493506 24.93506494],0
s6,1,0.004359,8.127698,[15 12] ; [11 37],[ 9.36 17.64] ; [16.64 31.36],0
d5,1,0.016582,5.740091,[25  4] ; [29 19],[20.33766234  8.66233766] ; [33.66233766 14.33766234],0
p6,1,0.016739,5.723584,[11 17] ; [ 7 40],[ 6.72 21.28] ; [11.28 35.72],0
d4,1,0.021723,5.267802,[23  5] ; [27 21],[18.42105263  9.57894737] ; [31.57894737 16.42105263],0
s2,1,0.02669,4.910769,[14 14] ; [12 36],[ 9.57894737 18.42105263] ; [16.42105263 31.57894737],0
s5,1,0.045677,3.993458,[ 9 17] ; [ 7 41],[ 5.62162162 20.37837838] ; [10.37837838 37.62162162],0
b5,1,0.048239,3.901628,[20  9] ; [22 26],[15.81818182 13.18181818] ; [26.18181818 21.81818182],0
s8,1,0.081261,3.0395,[ 8 20] ; [ 6 42],[ 5.15789474 22.84210526] ; [ 8.84210526 39.15789474],0
v4,1,0.109762,2.557644,[22  5] ; [30 17],[18.97297297  8.02702703] ; [33.02702703 13.97297297],0
a3,1,0.136152,2.220924,[21  8] ; [26 21],[17.93421053 11.06578947] ; [29.06578947 17.93421053],0
p4,1,0.157995,1.993315,[12 16] ; [13 35],[ 9.21052632 18.78947368] ; [15.78947368 32.21052632],0
n1,1,0.173023,1.856556,[ 3 10] ; [11 13],[4.91891892 8.08108108] ; [ 9.08108108 14.91891892],0
b1,1,0.205995,1.599352,[17 12] ; [21 27],[14.31168831 14.68831169] ; [23.68831169 24.31168831],0
p3,1,0.211504,1.561102,[11 17] ; [12 35],[ 8.58666667 19.41333333] ; [14.41333333 32.58666667],0
a2,1,0.211948,1.55807,[ 6 23] ; [ 5 43],[ 4.14285714 24.85714286] ; [ 6.85714286 41.14285714],0
d3,1,0.216865,1.524993,[19 10] ; [24 23],[16.40789474 12.59210526] ; [26.59210526 20.40789474],0
s7,1,0.22782,1.45442,[11 14] ; [14 33],[ 8.68055556 16.31944444] ; [16.31944444 30.68055556],0
n6,1,0.264525,1.244918,[18 10] ; [24 23],[15.68 12.32] ; [26.32 20.68],0
p11,1,0.276824,1.182615,[17 12] ; [22 26],[14.68831169 14.31168831] ; [24.31168831 23.68831169],0
v1,1,0.277655,1.178532,[12 16] ; [14 32],[ 9.83783784 18.16216216] ; [16.16216216 29.83783784],0
a1,1,0.309028,1.034827,[ 2 27] ; [ 7 41],[ 3.38961039 25.61038961] ; [ 5.61038961 42.38961039],0
b4,1,0.327448,0.958966,[19 10] ; [26 22],[16.94805195 12.05194805] ; [28.05194805 19.94805195],0
p7,1,0.35593,0.852202,[13 16] ; [15 29],[11.12328767 17.87671233] ; [16.87671233 27.12328767],0
p2,1,0.357283,0.847422,[18 10] ; [24 21],[16.10958904 11.89041096] ; [25.89041096 19.10958904],0
p8,1,0.397692,0.715295,[ 7 20] ; [17 31],[ 8.64 18.36] ; [15.36 32.64],0
s1,1,0.399276,0.710504,[ 1 28] ; [ 4 44],[ 1.88311688 27.11688312] ; [ 3.11688312 44.88311688],0
p5,1,0.401012,0.705291,[ 2 27] ; [ 6 40],[ 3.09333333 25.90666667] ; [ 4.90666667 41.09333333],0
n5,1,0.476283,0.507363,[17 11] ; [33 15],[18.42105263  9.57894737] ; [31.57894737 16.42105263],0
p10,1,0.489164,0.478364,[15 13] ; [29 18],[16.42666667 11.57333333] ; [27.57333333 19.42666667],0
