Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,6e-06,20.458438,[26  7] ; [ 8 26],[16.74626866 16.25373134] ; [17.25373134 16.74626866],1
s2,1,0.000146,14.416858,[25  8] ; [10 24],[17.23880597 15.76119403] ; [17.76119403 16.23880597],1
a5,1,0.001941,9.604274,[25  8] ; [13 21],[18.71641791 14.28358209] ; [19.28358209 14.71641791],0
s6,1,0.003659,8.445748,[25  6] ; [15 18],[19.375 11.625] ; [20.625 12.375],0
s7,1,0.003765,8.39395,[23  9] ; [11 20],[17.26984127 14.73015873] ; [16.73015873 14.26984127],0
d1,1,0.020346,5.381995,[21 12] ; [12 22],[16.25373134 16.74626866] ; [16.74626866 17.25373134],0
v3,1,0.037429,4.330764,[16 15] ; [ 9 25],[11.92307692 19.07692308] ; [13.07692308 20.92307692],0
v4,1,0.041452,4.157429,[27  6] ; [33  1],[29.55223881  3.44776119] ; [30.44776119  3.55223881],0
n4,1,0.045936,3.983942,[26  7] ; [19 15],[22.1641791 10.8358209] ; [22.8358209 11.1641791],0
s5,1,0.0514,3.795179,[14 13] ; [ 9 24],[10.35 16.65] ; [12.65 20.35],0
a2,1,0.08013,3.06226,[ 5 28] ; [ 1 33],[ 2.95522388 30.04477612] ; [ 3.04477612 30.95522388],0
p12,1,0.08013,3.06226,[ 5 28] ; [ 1 33],[ 2.95522388 30.04477612] ; [ 3.04477612 30.95522388],0
p3,1,0.105346,2.622682,[22 11] ; [16 18],[18.71641791 14.28358209] ; [19.28358209 14.71641791],0
d2,1,0.109226,2.565383,[16 17] ; [10 24],[12.80597015 20.19402985] ; [13.19402985 20.80597015],0
s4,1,0.12572,2.344571,[10 23] ; [ 5 29],[ 7.3880597 25.6119403] ; [ 7.6119403 26.3880597],0
v2,1,0.125788,2.34373,[20 11] ; [15 18],[16.953125 14.046875] ; [18.046875 14.953125],0
v1,1,0.144654,2.127741,[17 15] ; [12 22],[14.06060606 17.93939394] ; [14.93939394 19.06060606],0
n5,1,0.174051,1.847704,[26  7] ; [21 12],[23.5  9.5] ; [23.5  9.5],0
a6,1,0.252161,1.311293,[22 11] ; [18 16],[19.70149254 13.29850746] ; [20.29850746 13.70149254],0
a3,1,0.252161,1.311293,[22 11] ; [18 16],[19.70149254 13.29850746] ; [20.29850746 13.70149254],0
p1,1,0.261421,1.261218,[ 6 27] ; [ 3 31],[ 4.43283582 28.56716418] ; [ 4.56716418 29.43283582],0
d5,1,0.378223,0.776471,[27  6] ; [24  9],[25.5  7.5] ; [25.5  7.5],0
b5,1,0.394121,0.726189,[19 14] ; [23 11],[20.68656716 12.31343284] ; [21.31343284 12.68656716],0
d4,1,0.440639,0.594619,[26  7] ; [24 10],[24.62686567  8.37313433] ; [25.37313433  8.62686567],0
n3,1,0.475512,0.509138,[7 4] ; [10  3],[7.79166667 3.20833333] ; [9.20833333 3.79166667],0
r2,1,0.478501,0.502278,[29  3] ; [28  5],[28.06153846  3.93846154] ; [28.93846154  4.06153846],0
p2,1,0.561761,0.336665,[28  5] ; [27  7],[27.08955224  5.91044776] ; [27.91044776  6.08955224],0
p9,1,0.561761,0.336665,[28  5] ; [27  7],[27.08955224  5.91044776] ; [27.91044776  6.08955224],0
n2,1,0.562343,0.335664,[8 3] ; [8 5],[7.33333333 3.66666667] ; [8.66666667 4.33333333],0
p10,1,0.565659,0.33,[26  7] ; [24  9],[25.  8.] ; [25.  8.],0
u1,1,0.617324,0.249646,[ 3 30] ; [ 2 32],[ 2.46268657 30.53731343] ; [ 2.53731343 31.46268657],0
u3,1,0.691398,0.157576,[6 5] ; [7 8],[5.5 5.5] ; [7.5 7.5],0
b2,1,0.697168,0.151435,[ 9 14] ; [ 9 11],[ 9.62790698 13.37209302] ; [ 8.37209302 11.62790698],0
b3,1,0.697168,0.151435,[ 9 14] ; [ 9 11],[ 9.62790698 13.37209302] ; [ 8.37209302 11.62790698],0
