Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.005247,7.792208,[16 12] ; [ 4 18],[11.2 16.8] ; [ 8.8 13.2],0
r4,1,0.0083,6.967636,[12 16] ; [ 2 20],[ 7.84 20.16] ; [ 6.16 15.84],0
d5,1,0.014585,5.965909,[21  7] ; [ 9 13],[16.8 11.2] ; [13.2  8.8],0
a8,1,0.015451,5.864277,[ 1 26] ; [ 6 15],[ 3.9375 23.0625] ; [ 3.0625 17.9375],0
v2,1,0.031753,4.611765,[12 16] ; [ 3 18],[ 8.57142857 19.42857143] ; [ 6.42857143 14.57142857],0
d2,1,0.055564,3.665082,[16 11] ; [ 7 15],[12.67346939 14.32653061] ; [10.32653061 11.67346939],0
d3,1,0.061448,3.497857,[15 13] ; [ 6 16],[11.76 16.24] ; [ 9.24 12.76],0
r3,1,0.062749,3.463203,[20  8] ; [10 12],[16.8 11.2] ; [13.2  8.8],0
b5,1,0.0997,2.710333,[10 18] ; [13  9],[12.88 15.12] ; [10.12 11.88],0
r1,1,0.103451,2.651515,[14 14] ; [ 6 16],[11.2 16.8] ; [ 8.8 13.2],0
b3,1,0.136037,2.222222,[8 7] ; [ 4 11],[6. 9.] ; [6. 9.],0
b2,1,0.136037,2.222222,[8 7] ; [ 4 11],[6. 9.] ; [6. 9.],0
d4,1,0.231277,1.432988,[21  7] ; [13  9],[19.04  8.96] ; [14.96  7.04],0
s3,1,0.243345,1.361111,[14 14] ; [ 7 14],[12. 16.] ; [ 9. 12.],0
a1,1,0.254451,1.298701,[ 4 24] ; [ 1 21],[ 2.8 25.2] ; [ 2.2 19.8],0
s5,1,0.288379,1.127173,[ 7 20] ; [ 3 19],[ 5.51020408 21.48979592] ; [ 4.48979592 17.51020408],0
v3,1,0.348226,0.87991,[ 5 22] ; [ 2 20],[ 3.85714286 23.14285714] ; [ 3.14285714 18.85714286],0
b4,1,0.373405,0.7923,[17 11] ; [16  6],[18.48  9.52] ; [14.52  7.48],0
p3,1,0.393177,0.729095,[ 8 20] ; [ 4 18],[ 6.72 21.28] ; [ 5.28 16.72],0
a2,1,0.414636,0.665469,[ 1 27] ; [ 2 20],[ 1.68 26.32] ; [ 1.32 20.68],0
p1,1,0.450017,0.570609,[ 3 25] ; [ 4 18],[ 3.92 24.08] ; [ 3.08 18.92],0
n3,1,0.456057,0.555556,[4 8] ; [4 4],[4.8 7.2] ; [3.2 4.8],0
s6,1,0.468475,0.525571,[10 17] ; [ 6 16],[ 8.81632653 18.18367347] ; [ 7.18367347 14.81632653],0
s2,1,0.563455,0.333757,[ 7 21] ; [ 4 18],[ 6.16 21.84] ; [ 4.84 17.16],0
a5,1,0.568811,0.324675,[13 15] ; [12 10],[14. 14.] ; [11. 11.],0
p2,1,0.584281,0.299365,[ 9 18] ; [ 9 13],[ 9.91836735 17.08163265] ; [ 8.08163265 13.91836735],0
p7,1,0.594032,0.284091,[ 7 21] ; [ 7 15],[ 7.84 20.16] ; [ 6.16 15.84],0
a4,1,0.647061,0.209626,[ 9 18] ; [ 6 16],[ 8.26530612 18.73469388] ; [ 6.73469388 15.26530612],0
n6,1,0.65591,0.19853,[14 13] ; [10 12],[13.2244898 13.7755102] ; [10.7755102 11.2244898],0
a3,1,0.679988,0.170139,[15 13] ; [10 11],[14.28571429 13.71428571] ; [10.71428571 10.28571429],0
a6,1,0.696325,0.152323,[13 15] ; [ 9 13],[12.32 15.68] ; [ 9.68 12.32],0
s7,1,0.707447,0.14084,[ 5 21] ; [ 3 17],[ 4.52173913 21.47826087] ; [ 3.47826087 16.52173913],0
s8,1,0.709131,0.139147,[ 4 24] ; [ 4 18],[ 4.48 23.52] ; [ 3.52 18.48],0
p9,1,0.740157,0.109989,[12 16] ; [10 11],[12.57142857 15.42857143] ; [ 9.42857143 11.57142857],0
u2,1,0.748233,0.103022,[4 9] ; [3 9],[3.64 9.36] ; [3.36 8.64],0
p11,1,0.749465,0.101981,[14 14] ; [10 12],[13.44 14.56] ; [10.56 11.44],0
p5,1,0.763238,0.090741,[ 2 26] ; [ 2 19],[ 2.28571429 25.71428571] ; [ 1.71428571 19.28571429],0
p8,1,0.788188,0.07218,[ 6 21] ; [ 4 17],[ 5.625 21.375] ; [ 4.375 16.625],0
s1,1,0.801011,0.063523,[ 2 26] ; [ 2 20],[ 2.24 25.76] ; [ 1.76 20.24],0
b1,1,0.801881,0.062958,[15 13] ; [11 11],[14.56 13.44] ; [11.44 10.56],0
p4,1,0.803606,0.061843,[ 8 20] ; [ 7 15],[ 8.4 19.6] ; [ 6.6 15.4],0
s4,1,0.849361,0.036075,[ 3 25] ; [ 2 20],[ 2.8 25.2] ; [ 2.2 19.8],0
u1,1,0.861499,0.030438,[ 1 27] ; [ 1 21],[ 1.12 26.88] ; [ 0.88 21.12],0
n1,1,0.863926,0.029371,[6 7] ; [4 4],[6.19047619 6.80952381] ; [3.80952381 4.19047619],0
p10,1,0.932548,0.007164,[11 17] ; [ 8 13],[10.85714286 17.14285714] ; [ 8.14285714 12.85714286],0
a7,1,0.945311,0.004705,[13 15] ; [10 12],[12.88 15.12] ; [10.12 11.88],0
p6,1,0.958908,0.002655,[ 4 23] ; [ 3 18],[ 3.9375 23.0625] ; [ 3.0625 17.9375],0
n5,1,0.962128,0.002255,[18 10] ; [14  8],[17.92 10.08] ; [14.08  7.92],0
n4,1,0.962128,0.002255,[18 10] ; [14  8],[17.92 10.08] ; [14.08  7.92],0
n2,1,0.964854,0.001942,[5 8] ; [3 5],[4.95238095 8.04761905] ; [3.04761905 4.95238095],0
