Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.007544,7.138659,[16  8] ; [ 6 16],[11.47826087 12.52173913] ; [10.52173913 11.47826087],0
p8,1,0.057224,3.616071,[11 13] ; [ 4 17],[ 8. 16.] ; [ 7. 14.],0
b5,1,0.06424,3.42439,[11 13] ; [16  6],[14.08695652  9.91304348] ; [12.91304348  9.08695652],0
r2,1,0.086068,2.946429,[18  6] ; [10 10],[15.27272727  8.72727273] ; [12.72727273  7.27272727],0
v1,1,0.102023,2.673634,[10 14] ; [ 4 17],[ 7.46666667 16.53333333] ; [ 6.53333333 14.46666667],0
b4,1,0.146068,2.112842,[15  9] ; [18  4],[17.2173913  6.7826087] ; [15.7826087  6.2173913],0
p9,1,0.169201,1.890007,[13 10] ; [16  5],[15.15909091  7.84090909] ; [13.84090909  7.15909091],0
d4,1,0.207079,1.591728,[21  3] ; [16  6],[19.30434783  4.69565217] ; [17.69565217  4.30434783],0
n5,1,0.210916,1.565125,[12 12] ; [15  7],[14.08695652  9.91304348] ; [12.91304348  9.08695652],0
d3,1,0.237741,1.393939,[10 14] ; [13  9],[12. 12.] ; [11. 11.],0
d1,1,0.246302,1.344156,[ 9 15] ; [12 10],[10.95652174 13.04347826] ; [10.04347826 11.95652174],0
a6,1,0.246302,1.344156,[ 9 15] ; [12 10],[10.95652174 13.04347826] ; [10.04347826 11.95652174],0
u1,1,0.254863,1.296447,[ 1 23] ; [ 3 19],[ 2.08695652 21.91304348] ; [ 1.91304348 20.08695652],0
a8,1,0.262193,1.257143,[ 3 19] ; [ 6 16],[ 4.5 17.5] ; [ 4.5 17.5],0
s5,1,0.26419,1.246667,[ 7 17] ; [ 3 17],[ 5.45454545 18.54545455] ; [ 4.54545455 15.45454545],0
p10,1,0.273203,1.200593,[12 11] ; [15  7],[13.8  9.2] ; [13.2  8.8],0
u2,1,0.279642,1.168831,[5 5] ; [2 6],[3.88888889 6.11111111] ; [3.11111111 4.88888889],0
