Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,40.05345,[107  15] ; [35 41],[87.49494949 34.50505051] ; [54.50505051 21.49494949],1
r2,1,1.8e-05,18.439851,[113   8] ; [53 22],[102.47959184  18.52040816] ; [63.52040816 11.47959184],1
u3,1,0.000497,12.127098,[44 23] ; [17 34],[34.63559322 32.36440678] ; [26.36440678 24.63559322],1
d5,1,0.000771,11.31002,[84 38] ; [34 42],[72.70707071 49.29292929] ; [45.29292929 30.70707071],1
v4,1,0.000923,10.9761,[112   9] ; [56 18],[104.24615385  16.75384615] ; [63.75384615 10.24615385],1
d1,1,0.000963,10.897587,[50 72] ; [14 62],[39.43434343 82.56565657] ; [24.56565657 51.43434343],1
a7,1,0.004282,8.159993,[85 36] ; [38 38],[75.54822335 45.45177665] ; [47.45177665 28.54822335],0
r3,1,0.004892,7.918903,[110  11] ; [58 18],[103.18781726  17.81218274] ; [64.81218274 11.18781726],0
d4,1,0.006731,7.343314,[86 34] ; [40 36],[77.14285714 42.85714286] ; [48.85714286 27.14285714],0
a6,1,0.009674,6.694044,[68 54] ; [28 48],[59.15151515 62.84848485] ; [36.84848485 39.15151515],0
s8,1,0.011355,6.408948,[39 83] ; [12 64],[31.42424242 90.57575758] ; [19.57575758 56.42424242],0
d3,1,0.028687,4.786281,[74 48] ; [34 42],[66.54545455 55.45454545] ; [41.45454545 34.54545455],0
s7,1,0.036665,4.365903,[37 77] ; [14 61],[30.76190476 83.23809524] ; [20.23809524 54.76190476],0
v2,1,0.036715,4.363571,[49 61] ; [22 53],[42.21621622 67.78378378] ; [28.78378378 46.21621622],0
u2,1,0.04167,4.148569,[39 27] ; [20 30],[33.56896552 32.43103448] ; [25.43103448 24.56896552],0
v3,1,0.051756,3.783643,[39 74] ; [16 59],[33.05851064 79.94148936] ; [21.94148936 53.05851064],0
a1,1,0.052609,3.756288,[  1 121] ; [ 4 72],[  3.08080808 118.91919192] ; [ 1.91919192 74.08080808],0
s6,1,0.063317,3.448296,[66 54] ; [31 44],[59.69230769 60.30769231] ; [37.30769231 37.69230769],0
a4,1,0.08467,2.972904,[24 97] ; [ 8 68],[ 19.65482234 101.34517766] ; [12.34517766 63.65482234],0
b3,1,0.092882,2.823697,[ 8 51] ; [12 33],[11.34615385 47.65384615] ; [ 8.65384615 36.34615385],0
b2,1,0.092882,2.823697,[ 8 51] ; [12 33],[11.34615385 47.65384615] ; [ 8.65384615 36.34615385],0
a3,1,0.117154,2.454959,[54 67] ; [25 50],[48.77040816 72.22959184] ; [30.22959184 44.77040816],0
s1,1,0.14548,2.119011,[  9 110] ; [ 2 74],[  6.71282051 112.28717949] ; [ 4.28717949 71.71282051],0
p5,1,0.150621,2.065946,[  4 116] ; [ 6 69],[  6.15384615 113.84615385] ; [ 3.84615385 71.15384615],0
s4,1,0.162634,1.949565,[ 19 102] ; [18 58],[22.72588832 98.27411168] ; [14.27411168 61.72588832],0
p11,1,0.184977,1.75718,[82 40] ; [44 32],[77.63636364 44.36363636] ; [48.36363636 27.63636364],0
s3,1,0.193381,1.691673,[64 54] ; [33 41],[59.61458333 58.38541667] ; [37.38541667 36.61458333],0
s2,1,0.218281,1.515635,[50 70] ; [25 51],[45.91836735 74.08163265] ; [29.08163265 46.91836735],0
p10,1,0.221443,1.494994,[82 37] ; [44 29],[78.09375 40.90625] ; [47.90625 25.09375],0
n1,1,0.233414,1.419937,[12 22] ; [ 5 19],[ 9.96551724 24.03448276] ; [ 7.03448276 16.96551724],0
n6,1,0.252508,1.309374,[94 28] ; [53 23],[90.57575758 31.42424242] ; [56.42424242 19.57575758],0
a8,1,0.25358,1.303472,[ 12 101] ; [ 4 66],[  9.87978142 103.12021858] ; [ 6.12021858 63.87978142],0
u1,1,0.266651,1.233896,[  5 117] ; [ 1 75],[  3.6969697 118.3030303] ; [ 2.3030303 73.6969697],0
b4,1,0.395403,0.722261,[78 44] ; [44 32],[75.17171717 46.82828283] ; [46.82828283 29.17171717],0
n3,1,0.46729,0.528377,[23 11] ; [14 10],[21.68965517 12.31034483] ; [15.31034483  8.68965517],0
s5,1,0.521611,0.410707,[25 92] ; [13 61],[23.27748691 93.72251309] ; [14.72251309 59.27748691],0
p1,1,0.544764,0.366781,[  7 114] ; [ 6 69],[  8.0255102 112.9744898] ; [ 4.9744898 70.0255102],0
p4,1,0.643389,0.214337,[43 76] ; [25 51],[41.4974359 77.5025641] ; [26.5025641 49.4974359],0
p8,1,0.670166,0.181408,[39 82] ; [22 53],[37.65816327 83.34183673] ; [23.34183673 51.65816327],0
n5,1,0.682791,0.167001,[73 47] ; [44 32],[71.63265306 48.36734694] ; [45.36734694 30.63265306],0
v1,1,0.711959,0.136329,[44 74] ; [26 49],[42.79792746 75.20207254] ; [27.20207254 47.79792746],0
b5,1,0.787008,0.073007,[73 49] ; [44 32],[72.09090909 49.90909091] ; [44.90909091 31.09090909],0
d2,1,0.796286,0.066645,[29 92] ; [17 59],[28.25380711 92.74619289] ; [17.74619289 58.25380711],0
p7,1,0.854668,0.03355,[49 68] ; [30 44],[48.39267016 68.60732984] ; [30.60732984 43.39267016],0
n4,1,0.860476,0.030895,[70 51] ; [43 33],[69.40609137 51.59390863] ; [43.59390863 32.40609137],0
p3,1,0.872412,0.025791,[35 87] ; [21 55],[34.50505051 87.49494949] ; [21.49494949 54.50505051],0
p9,1,0.884623,0.021057,[82 36] ; [50 23],[81.54973822 36.45026178] ; [50.45026178 22.54973822],0
n2,1,0.930026,0.007711,[21 12] ; [15  9],[20.84210526 12.15789474] ; [15.15789474  8.84210526],0
p2,1,0.943491,0.005024,[84 38] ; [52 23],[84.22335025 37.77664975] ; [51.77664975 23.22335025],0
p12,1,0.954604,0.003241,[  3 117] ; [ 2 74],[  3.06122449 116.93877551] ; [ 1.93877551 74.06122449],0
b1,1,0.995118,3.7e-05,[45 77] ; [28 48],[44.97979798 77.02020202] ; [28.02020202 47.97979798],0
