Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,1.6e-05,18.584526,[88 72] ; [36  3],[99.69849246 60.30150754] ; [24.30150754 14.69849246],1
p7,1,1.9e-05,18.292028,[ 56 102] ; [28 10],[67.71428571 90.28571429] ; [16.28571429 21.71428571],1
s7,1,6.3e-05,16.023757,[ 20 129] ; [16 22],[ 28.68449198 120.31550802] ; [ 7.31550802 30.68449198],1
p4,1,0.000981,10.8627,[ 42 117] ; [21 18],[ 50.59090909 108.40909091] ; [12.40909091 26.59090909],1
p3,1,0.001028,10.777298,[ 36 124] ; [19 20],[ 44.22110553 115.77889447] ; [10.77889447 28.22110553],0
b3,1,0.007767,7.086327,[27 66] ; [13  9],[32.34782609 60.65217391] ; [ 7.65217391 14.34782609],0
b2,1,0.007767,7.086327,[27 66] ; [13  9],[32.34782609 60.65217391] ; [ 7.65217391 14.34782609],0
b4,1,0.013922,6.047989,[97 64] ; [15 24],[90.16 70.84] ; [21.84 17.16],0
v4,1,0.030955,4.655443,[128  31] ; [37  2],[132.5  26.5] ; [32.5  6.5],0
p8,1,0.032665,4.56327,[ 49 111] ; [19 20],[ 54.67336683 105.32663317] ; [13.32663317 25.67336683],0
n3,1,0.035383,4.426588,[32 26] ; [12  2],[35.44444444 22.55555556] ; [8.55555556 5.44444444],0
s2,1,0.053281,3.735077,[ 21 139] ; [10 29],[ 24.92462312 135.07537688] ; [ 6.07537688 32.92462312],0
u2,1,0.05412,3.709007,[28 37] ; [10  4],[31.26582278 33.73417722] ; [6.73417722 7.26582278],0
a8,1,0.083527,2.994908,[ 11 138] ; [ 6 30],[ 13.69189189 135.30810811] ; [ 3.30810811 32.69189189],0
s4,1,0.085745,2.952488,[ 11 150] ; [ 6 33],[ 13.685 147.315] ; [ 3.315 35.685],0
r3,1,0.101212,2.686333,[125  35] ; [35  4],[128.64321608  31.35678392] ; [31.35678392  7.64321608],0
d5,1,0.105167,2.625379,[115  46] ; [22 16],[110.83919598  50.16080402] ; [26.16080402 11.83919598],0
s8,1,0.119967,2.417754,[ 18 143] ; [ 8 31],[ 20.93 140.07] ; [ 5.07 33.93],0
p9,1,0.130084,2.291499,[92 65] ; [28 11],[96.12244898 60.87755102] ; [23.87755102 15.12244898],0
r2,1,0.136088,2.22164,[130  28] ; [35  3],[133.01020408  24.98979592] ; [31.98979592  6.01020408],0
d4,1,0.136505,2.216923,[117  42] ; [24 15],[113.22727273  45.77272727] ; [27.77272727 11.22727273],0
n6,1,0.175589,1.834564,[105  55] ; [30  9],[108.54271357  51.45728643] ; [26.45728643 12.54271357],0
a4,1,0.196244,1.670111,[ 56 104] ; [18 21],[ 59.49748744 100.50251256] ; [14.50251256 24.49748744],0
r4,1,0.206902,1.592976,[107  54] ; [30  9],[110.285  50.715] ; [26.715 12.285],0
u1,1,0.216173,1.529598,[ 11 150] ; [ 5 34],[ 12.88 148.12] ; [ 3.12 35.88],0
a7,1,0.219449,1.507971,[101  59] ; [28 10],[104.24242424  55.75757576] ; [24.75757576 13.24242424],0
v2,1,0.222865,1.485826,[56 96] ; [10 28],[52.8 99.2] ; [13.2 24.8],0
b1,1,0.24864,1.330928,[70 91] ; [13 26],[66.815 94.185] ; [16.185 22.815],0
a2,1,0.282547,1.154799,[ 22 139] ; [ 8 31],[ 24.15 136.85] ; [ 5.85 33.15],0
n2,1,0.33311,0.936768,[35 26] ; [10  4],[36.6 24.4] ; [8.4 5.6],0
u3,1,0.341471,0.904902,[24 42] ; [7 7],[25.575 40.425] ; [5.425 8.575],0
r1,1,0.381939,0.764453,[99 62] ; [21 18],[96.6 64.4] ; [23.4 15.6],0
s5,1,0.40672,0.688367,[ 11 146] ; [ 4 32],[ 12.20207254 144.79792746] ; [ 2.79792746 33.20207254],0
b5,1,0.444898,0.583618,[84 77] ; [23 16],[86.135 74.865] ; [20.865 18.135],0
