Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,56.425678,[65 15] ; [ 1 30],[47.56756757 32.43243243] ; [18.43243243 12.56756757],1
v4,1,0.0,25.769004,[69  9] ; [13 18],[58.67889908 19.32110092] ; [23.32110092  7.67889908],1
r1,1,1e-06,24.232619,[63 17] ; [ 9 22],[51.89189189 28.10810811] ; [20.10810811 10.89189189],1
p11,1,8.7e-05,15.397301,[46 34] ; [ 5 26],[36.75675676 43.24324324] ; [14.24324324 16.75675676],1
v2,1,0.000439,12.356984,[34 39] ; [ 3 27],[26.22330097 46.77669903] ; [10.77669903 19.22330097],1
a1,1,0.000506,12.091698,[ 2 78] ; [ 7 24],[ 6.48648649 73.51351351] ; [ 2.51351351 28.48648649],1
p2,1,0.000992,10.843168,[51 29] ; [ 9 22],[43.24324324 36.75675676] ; [16.75675676 14.24324324],1
s6,1,0.001355,10.266581,[36 43] ; [ 4 27],[28.72727273 50.27272727] ; [11.27272727 19.72727273],0
s2,1,0.002038,9.515363,[32 48] ; [ 3 28],[25.22522523 54.77477477] ; [ 9.77477477 21.22522523],0
d4,1,0.003612,8.469031,[62 16] ; [16 15],[55.81651376 22.18348624] ; [22.18348624  8.81651376],0
b5,1,0.005575,7.682654,[54 26] ; [12 19],[47.56756757 32.43243243] ; [18.43243243 12.56756757],0
s3,1,0.005684,7.647992,[45 35] ; [ 8 22],[38.54545455 41.45454545] ; [14.45454545 15.54545455],0
r2,1,0.012748,6.203693,[69 10] ; [20 10],[64.50458716 14.49541284] ; [24.49541284  5.50458716],0
p9,1,0.014287,6.002308,[49 29] ; [11 19],[43.33333333 34.66666667] ; [16.66666667 13.33333333],0
s8,1,0.020947,5.331185,[21 59] ; [ 2 29],[16.57657658 63.42342342] ; [ 6.42342342 24.57657658],0
a7,1,0.023592,5.124368,[57 23] ; [15 16],[51.89189189 28.10810811] ; [20.10810811 10.89189189],0
u3,1,0.024861,5.033549,[17 11] ; [ 3 10],[13.65853659 14.34146341] ; [6.34146341 6.65853659],0
p10,1,0.02619,4.943463,[42 36] ; [ 9 21],[36.83333333 41.16666667] ; [14.16666667 15.83333333],0
d3,1,0.034517,4.468908,[50 28] ; [13 18],[45.08256881 32.91743119] ; [17.91743119 13.08256881],0
b2,1,0.040635,4.191176,[ 8 30] ; [ 9 10],[11.33333333 26.66666667] ; [ 5.66666667 13.33333333],0
b3,1,0.040635,4.191176,[ 8 30] ; [ 9 10],[11.33333333 26.66666667] ; [ 5.66666667 13.33333333],0
n5,1,0.049754,3.849726,[30 50] ; [18 13],[34.59459459 45.40540541] ; [13.40540541 17.59459459],0
d5,1,0.055821,3.657394,[56 23] ; [16 15],[51.70909091 27.29090909] ; [20.29090909 10.70909091],0
n3,1,0.063972,3.4313,[20  9] ; [6 9],[17.13636364 11.86363636] ; [8.86363636 6.13636364],0
