Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,31.690986,[ 16 100] ; [17  9],[26.95774648 89.04225352] ; [ 6.04225352 19.95774648],1
s8,1,0.006433,7.424714,[24 93] ; [12 14],[29.45454545 87.54545455] ; [ 6.54545455 19.45454545],0
p12,1,0.006438,7.423348,[  3 113] ; [ 4 22],[  5.71830986 110.28169014] ; [ 1.28169014 24.71830986],0
s7,1,0.008211,6.986767,[24 85] ; [12 13],[29.28358209 79.71641791] ; [ 6.71641791 18.28358209],0
a1,1,0.027769,4.842328,[  1 116] ; [ 2 24],[  2.45454545 114.54545455] ; [ 0.54545455 25.45454545],0
v1,1,0.096679,2.759488,[63 53] ; [ 9 16],[59.23404255 56.76595745] ; [12.76595745 12.23404255],0
a4,1,0.102591,2.664803,[47 70] ; [ 6 20],[43.36363636 73.63636364] ; [ 9.63636364 16.36363636],0
s5,1,0.103964,2.643652,[ 13 104] ; [ 6 20],[ 15.54545455 101.45454545] ; [ 3.45454545 22.54545455],0
b5,1,0.149487,2.077482,[72 45] ; [12 14],[68.72727273 48.27272727] ; [15.27272727 10.72727273],0
p4,1,0.191923,1.702792,[74 42] ; [13 13],[71.07042254 44.92957746] ; [15.92957746 10.07042254],0
a8,1,0.204708,1.608462,[ 9 96] ; [ 4 19],[10.6640625 94.3359375] ; [ 2.3359375 20.6640625],0
s4,1,0.223435,1.482172,[  6 111] ; [ 3 23],[  7.36363636 109.63636364] ; [ 1.63636364 24.36363636],0
n1,1,0.24135,1.372689,[ 9 12] ; [1 5],[ 7.77777778 13.22222222] ; [2.22222222 3.77777778],0
a7,1,0.308719,1.036147,[83 34] ; [21  5],[85.09090909 31.90909091] ; [18.90909091  7.09090909],0
u2,1,0.310909,1.026809,[18 25] ; [7 5],[19.54545455 23.45454545] ; [5.45454545 6.54545455],0
r1,1,0.314521,1.011594,[91 25] ; [18  8],[89.04225352 26.95774648] ; [19.95774648  6.04225352],0
a3,1,0.345015,0.891709,[74 42] ; [14 12],[71.88732394 44.11267606] ; [16.11267606  9.88732394],0
