Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,27.55802,[34  7] ; [ 8 27],[22.65789474 18.34210526] ; [19.34210526 15.65789474],1
u3,1,0.022407,5.213904,[ 4 18] ; [9 8],[ 7.33333333 14.66666667] ; [ 5.66666667 11.33333333],0
a2,1,0.0251,5.016955,[ 8 33] ; [ 1 34],[ 4.85526316 36.14473684] ; [ 4.14473684 30.85526316],0
r3,1,0.039085,4.257178,[21 20] ; [26  9],[25.35526316 15.64473684] ; [21.64473684 13.35526316],0
v4,1,0.04481,4.025766,[24 17] ; [28  7],[28.05263158 12.94736842] ; [23.94736842 11.05263158],0
a6,1,0.107193,2.595122,[24 17] ; [14 21],[20.5 20.5] ; [17.5 17.5],0
n1,1,0.153046,2.041629,[7 8] ; [ 3 11],[5.17241379 9.82758621] ; [4.82758621 9.17241379],0
n2,1,0.197631,1.659799,[10  5] ; [6 8],[8.27586207 6.72413793] ; [7.72413793 6.27586207],0
s5,1,0.207537,1.588527,[ 6 31] ; [10 25],[ 8.22222222 28.77777778] ; [ 7.77777778 27.22222222],0
a8,1,0.21709,1.523505,[ 4 35] ; [ 1 33],[ 2.67123288 36.32876712] ; [ 2.32876712 31.67123288],0
u1,1,0.226582,1.46219,[ 4 37] ; [ 1 34],[ 2.69736842 38.30263158] ; [ 2.30263158 32.69736842],0
s4,1,0.230533,1.437569,[ 7 34] ; [10 25],[ 9.17105263 31.82894737] ; [ 7.82894737 27.17105263],0
b3,1,0.288776,1.12532,[12 11] ; [ 6 11],[10.35 12.65] ; [7.65 9.35],0
b2,1,0.288776,1.12532,[12 11] ; [ 6 11],[10.35 12.65] ; [7.65 9.35],0
r2,1,0.312808,1.018784,[30  8] ; [24 11],[28.10958904  9.89041096] ; [25.89041096  9.10958904],0
s2,1,0.334981,0.929545,[11 30] ; [13 22],[12.94736842 28.05263158] ; [11.05263158 23.94736842],0
s8,1,0.342344,0.901632,[ 4 37] ; [ 6 29],[ 5.39473684 35.60526316] ; [ 4.60526316 30.39473684],0
v3,1,0.344393,0.894008,[11 30] ; [ 6 28],[ 9.29333333 31.70666667] ; [ 7.70666667 26.29333333],0
p4,1,0.363962,0.824176,[12 28] ; [14 21],[13.86666667 26.13333333] ; [12.13333333 22.86666667],0
b1,1,0.418188,0.655401,[22 19] ; [22 13],[23.73684211 17.26315789] ; [20.26315789 14.73684211],0
d4,1,0.418188,0.655401,[22 19] ; [22 13],[23.73684211 17.26315789] ; [20.26315789 14.73684211],0
p7,1,0.419569,0.651523,[15 26] ; [16 19],[16.72368421 24.27631579] ; [14.27631579 20.72368421],0
d1,1,0.458584,0.549348,[15 26] ; [10 25],[13.48684211 27.51315789] ; [11.51315789 23.48684211],0
