Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,23.924499,[21 21] ; [ 8 71],[10.0661157 31.9338843] ; [18.9338843 60.0661157],1
s5,1,4e-06,21.419936,[16 25] ; [ 4 72],[ 7.00854701 33.99145299] ; [12.99145299 63.00854701],1
r4,1,0.000175,14.080983,[37  6] ; [41 38],[27.49180328 15.50819672] ; [50.50819672 28.49180328],1
p6,1,0.000309,13.012482,[11 31] ; [ 3 74],[ 4.94117647 37.05882353] ; [ 9.05882353 67.94117647],1
p4,1,0.000857,11.114153,[19 23] ; [13 64],[11.29411765 30.70588235] ; [20.70588235 56.29411765],1
s8,1,0.000876,11.073817,[10 33] ; [ 3 76],[ 4.58196721 38.41803279] ; [ 8.41803279 70.58196721],1
v1,1,0.001322,10.310986,[20 23] ; [15 64],[12.33606557 30.66393443] ; [22.66393443 56.33606557],0
n6,1,0.001398,10.208396,[35  8] ; [40 37],[26.875 16.125] ; [48.125 28.875],0
s4,1,0.001614,9.944246,[12 29] ; [ 6 73],[ 6.15 34.85] ; [11.85 67.15],0
s3,1,0.003297,8.635376,[19 22] ; [16 62],[12.05882353 28.94117647] ; [22.94117647 55.05882353],0
r3,1,0.006068,7.529933,[38  5] ; [51 27],[31.62809917 11.37190083] ; [57.37190083 20.62809917],0
v2,1,0.006548,7.39293,[24 17] ; [24 50],[17.11304348 23.88695652] ; [30.88695652 43.11304348],0
p12,1,0.011454,6.393525,[ 5 38] ; [ 1 78],[ 2.1147541 40.8852459] ; [ 3.8852459 75.1147541],0
p5,1,0.012104,6.295528,[ 5 38] ; [ 1 77],[ 2.1322314 40.8677686] ; [ 3.8677686 74.1322314],0
v4,1,0.01277,6.200701,[38  5] ; [53 25],[32.33884298 10.66115702] ; [58.66115702 19.33884298],0
r1,1,0.012919,6.180193,[31 12] ; [38 40],[24.52066116 18.47933884] ; [44.47933884 33.52066116],0
p3,1,0.015361,5.874576,[17 26] ; [15 63],[11.37190083 31.62809917] ; [20.62809917 57.37190083],0
p8,1,0.036739,4.362477,[15 28] ; [14 64],[10.30578512 32.69421488] ; [18.69421488 59.30578512],0
p11,1,0.037105,4.345599,[27 16] ; [34 45],[21.5 21.5] ; [39.5 39.5],0
s1,1,0.089083,2.890866,[ 1 40] ; [ 9 69],[ 3.44537815 37.55462185] ; [ 6.55462185 71.44537815],0
n2,1,0.139158,2.187245,[9 2] ; [20 15],[6.93478261 4.06521739] ; [22.06521739 12.93478261],0
b4,1,0.155187,2.020515,[27 16] ; [39 40],[23.26229508 19.73770492] ; [42.73770492 36.26229508],0
b1,1,0.159406,1.979849,[15 28] ; [38 41],[18.68032787 24.31967213] ; [34.31967213 44.68032787],0
b5,1,0.159406,1.979849,[28 15] ; [41 38],[24.31967213 18.68032787] ; [44.68032787 34.31967213],0
p1,1,0.214249,1.54248,[ 2 41] ; [ 9 70],[ 3.87704918 39.12295082] ; [ 7.12295082 71.87704918],0
n3,1,0.218685,1.512982,[8 3] ; [17 16],[6.25 4.75] ; [18.75 14.25],0
a3,1,0.233028,1.422281,[20 22] ; [46 32],[23.1 18.9] ; [42.9 35.1],0
a2,1,0.250067,1.322929,[ 3 40] ; [11 68],[ 4.93442623 38.06557377] ; [ 9.06557377 69.93442623],0
d2,1,0.267735,1.228316,[14 29] ; [33 44],[16.84166667 26.15833333] ; [30.15833333 46.84166667],0
a1,1,0.331231,0.944081,[ 3 40] ; [10 69],[ 4.58196721 38.41803279] ; [ 8.41803279 70.58196721],0
d3,1,0.331812,0.941815,[23 20] ; [35 44],[20.44262295 22.55737705] ; [37.55737705 41.44262295],0
p7,1,0.334214,0.932501,[14 28] ; [19 57],[11.74576271 30.25423729] ; [21.25423729 54.74576271],0
a4,1,0.342958,0.899341,[12 30] ; [29 49],[14.35 27.65] ; [26.65 51.35],0
v3,1,0.36693,0.814035,[12 28] ; [17 59],[10. 30.] ; [19. 57.],0
a6,1,0.389596,0.740202,[21 22] ; [45 34],[23.26229508 19.73770492] ; [42.73770492 36.26229508],0
a8,1,0.40788,0.684972,[ 5 35] ; [ 6 71],[ 3.76068376 36.23931624] ; [ 7.23931624 69.76068376],0
p9,1,0.435639,0.607743,[23 20] ; [35 41],[20.95798319 22.04201681] ; [37.04201681 38.95798319],0
n4,1,0.450823,0.568583,[24 19] ; [49 29],[25.94214876 17.05785124] ; [47.05785124 30.94214876],0
u3,1,0.471704,0.517983,[12 11] ; [14 19],[10.67857143 12.32142857] ; [15.32142857 17.67857143],0
u1,1,0.548376,0.360235,[ 4 39] ; [ 5 74],[ 3.17213115 39.82786885] ; [ 5.82786885 73.17213115],0
n1,1,0.572314,0.318826,[5 5] ; [14 21],[4.22222222 5.77777778] ; [14.77777778 20.22222222],0
d5,1,0.610852,0.258936,[26 17] ; [44 35],[24.67213115 18.32786885] ; [45.32786885 33.67213115],0
r2,1,0.617447,0.249471,[36  7] ; [60 15],[34.98305085  8.01694915] ; [61.01694915 13.98305085],0
d1,1,0.635243,0.225017,[15 28] ; [31 48],[16.21311475 26.78688525] ; [29.78688525 49.21311475],0
u4,1,0.659661,0.193936,[ 1 42] ; [ 1 78],[ 0.70491803 42.29508197] ; [ 1.29508197 77.70491803],0
p10,1,0.716879,0.131503,[20 22] ; [34 43],[19.05882353 22.94117647] ; [34.94117647 42.05882353],0
u2,1,0.802938,0.062274,[10 13] ; [15 17],[10.45454545 12.54545455] ; [14.54545455 17.45454545],0
a7,1,0.841662,0.039907,[24 19] ; [45 33],[24.52066116 18.47933884] ; [44.47933884 33.52066116],0
b2,1,0.859191,0.031472,[ 7 13] ; [19 32],[ 7.32394366 12.67605634] ; [18.67605634 32.32394366],0
b3,1,0.859191,0.031472,[ 7 13] ; [19 32],[ 7.32394366 12.67605634] ; [18.67605634 32.32394366],0
a5,1,0.920542,0.00995,[23 20] ; [43 36],[23.26229508 19.73770492] ; [42.73770492 36.26229508],0
n5,1,0.926555,0.008497,[27 16] ; [49 28],[27.23333333 15.76666667] ; [48.76666667 28.23333333],0
d4,1,0.968326,0.001577,[29 14] ; [53 26],[28.90163934 14.09836066] ; [53.09836066 25.90163934],0
